149:	test: 0.8346103	best: 0.8346103 (149)	total: 10m 49s	remaining: 25m 15s
150:	test: 0.8346555	best: 0.8346555 (150)	total: 10m 53s	remaining: 25m 9s
151:	test: 0.8347478	best: 0.8347478 (151)	total: 10m 57s	remaining: 25m 5s
152:	test: 0.8348092	best: 0.8348092 (152)	total: 11m 1s	remaining: 25m
153:	test: 0.8348868	best: 0.8348868 (153)	total: 11m 6s	remaining: 24m 57s
154:	test: 0.8349479	best: 0.8349479 (154)	total: 11m 10s	remaining: 24m 51s
155:	test: 0.8350281	best: 0.8350281 (155)	total: 11m 15s	remaining: 24m 49s
156:	test: 0.8350935	best: 0.8350935 (156)	total: 11m 19s	remaining: 24m 43s
157:	test: 0.8351706	best: 0.8351706 (157)	total: 11m 22s	remaining: 24m 38s
158:	test: 0.8352929	best: 0.8352929 (158)	total: 11m 27s	remaining: 24m 34s
159:	test: 0.8353913	best: 0.8353913 (159)	total: 11m 31s	remaining: 24m 29s
160:	test: 0.8354747	best: 0.8354747 (160)	total: 11m 35s	remaining: 24m 24s
161:	test: 0.8355300	best: 0.8355300 (161)	total: 11m 39s	remaining: 24m 19s
162:	test: 0.8355787	best: 0.8355787 (162)	total: 11m 43s	remaining: 24m 13s
163:	test: 0.8356766	best: 0.8356766 (163)	total: 11m 47s	remaining: 24m 9s
164:	test: 0.8357473	best: 0.8357473 (164)	total: 11m 53s	remaining: 24m 7s
165:	test: 0.8358210	best: 0.8358210 (165)	total: 11m 57s	remaining: 24m 3s
166:	test: 0.8359033	best: 0.8359033 (166)	total: 12m 1s	remaining: 23m 59s
167:	test: 0.8359571	best: 0.8359571 (167)	total: 12m 5s	remaining: 23m 53s
168:	test: 0.8360139	best: 0.8360139 (168)	total: 12m 9s	remaining: 23m 49s
169:	test: 0.8360412	best: 0.8360412 (169)	total: 12m 12s	remaining: 23m 41s
170:	test: 0.8360924	best: 0.8360924 (170)	total: 12m 16s	remaining: 23m 37s
171:	test: 0.8361313	best: 0.8361313 (171)	total: 12m 19s	remaining: 23m 29s
172:	test: 0.8362015	best: 0.8362015 (172)	total: 12m 25s	remaining: 23m 28s
173:	test: 0.8362681	best: 0.8362681 (173)	total: 12m 30s	remaining: 23m 25s
174:	test: 0.8363264	best: 0.8363264 (174)	total: 12m 35s	remaining: 23m 22s
175:	test: 0.8364075	best: 0.8364075 (175)	total: 12m 39s	remaining: 23m 18s
176:	test: 0.8364544	best: 0.8364544 (176)	total: 12m 42s	remaining: 23m 12s
177:	test: 0.8365511	best: 0.8365511 (177)	total: 12m 47s	remaining: 23m 8s
178:	test: 0.8366237	best: 0.8366237 (178)	total: 12m 52s	remaining: 23m 5s
179:	test: 0.8366953	best: 0.8366953 (179)	total: 12m 58s	remaining: 23m 4s
180:	test: 0.8367664	best: 0.8367664 (180)	total: 13m 4s	remaining: 23m 2s
181:	test: 0.8368482	best: 0.8368482 (181)	total: 13m 8s	remaining: 22m 57s
182:	test: 0.8369137	best: 0.8369137 (182)	total: 13m 14s	remaining: 22m 55s
183:	test: 0.8369484	best: 0.8369484 (183)	total: 13m 16s	remaining: 22m 48s
184:	test: 0.8370240	best: 0.8370240 (184)	total: 13m 21s	remaining: 22m 44s
185:	test: 0.8370729	best: 0.8370729 (185)	total: 13m 25s	remaining: 22m 39s
186:	test: 0.8371147	best: 0.8371147 (186)	total: 13m 28s	remaining: 22m 33s
187:	test: 0.8371606	best: 0.8371606 (187)	total: 13m 32s	remaining: 22m 27s
188:	test: 0.8372185	best: 0.8372185 (188)	total: 13m 37s	remaining: 22m 25s
189:	test: 0.8372650	best: 0.8372650 (189)	total: 13m 40s	remaining: 22m 19s
190:	test: 0.8373152	best: 0.8373152 (190)	total: 13m 45s	remaining: 22m 14s
191:	test: 0.8373586	best: 0.8373586 (191)	total: 13m 49s	remaining: 22m 9s
192:	test: 0.8374129	best: 0.8374129 (192)	total: 13m 53s	remaining: 22m 5s
193:	test: 0.8374600	best: 0.8374600 (193)	total: 13m 56s	remaining: 21m 59s
194:	test: 0.8375193	best: 0.8375193 (194)	total: 14m 1s	remaining: 21m 56s
195:	test: 0.8375634	best: 0.8375634 (195)	total: 14m 5s	remaining: 21m 52s
196:	test: 0.8376379	best: 0.8376379 (196)	total: 14m 10s	remaining: 21m 47s
197:	test: 0.8377143	best: 0.8377143 (197)	total: 14m 15s	remaining: 21m 44s
198:	test: 0.8377686	best: 0.8377686 (198)	total: 14m 19s	remaining: 21m 40s
199:	test: 0.8378368	best: 0.8378368 (199)	total: 14m 23s	remaining: 21m 35s
200:	test: 0.8378845	best: 0.8378845 (200)	total: 14m 28s	remaining: 21m 32s
201:	test: 0.8379436	best: 0.8379436 (201)	total: 14m 32s	remaining: 21m 27s
202:	test: 0.8380043	best: 0.8380043 (202)	total: 14m 36s	remaining: 21m 22s
203:	test: 0.8380403	best: 0.8380403 (203)	total: 14m 40s	remaining: 21m 17s
204:	test: 0.8381183	best: 0.8381183 (204)	total: 14m 45s	remaining: 21m 14s
205:	test: 0.8381725	best: 0.8381725 (205)	total: 14m 50s	remaining: 21m 10s
206:	test: 0.8382247	best: 0.8382247 (206)	total: 14m 55s	remaining: 21m 7s
207:	test: 0.8382548	best: 0.8382548 (207)	total: 14m 58s	remaining: 21m 1s
208:	test: 0.8382806	best: 0.8382806 (208)	total: 15m 2s	remaining: 20m 55s
209:	test: 0.8383483	best: 0.8383483 (209)	total: 15m 7s	remaining: 20m 52s
210:	test: 0.8384013	best: 0.8384013 (210)	total: 15m 12s	remaining: 20m 49s
211:	test: 0.8384423	best: 0.8384423 (211)	total: 15m 15s	remaining: 20m 44s
212:	test: 0.8384974	best: 0.8384974 (212)	total: 15m 19s	remaining: 20m 39s
213:	test: 0.8385454	best: 0.8385454 (213)	total: 15m 23s	remaining: 20m 34s
214:	test: 0.8385831	best: 0.8385831 (214)	total: 15m 27s	remaining: 20m 29s
215:	test: 0.8386278	best: 0.8386278 (215)	total: 15m 30s	remaining: 20m 23s
216:	test: 0.8386580	best: 0.8386580 (216)	total: 15m 33s	remaining: 20m 17s
217:	test: 0.8386804	best: 0.8386804 (217)	total: 15m 36s	remaining: 20m 11s
218:	test: 0.8387110	best: 0.8387110 (218)	total: 15m 40s	remaining: 20m 6s
219:	test: 0.8387543	best: 0.8387543 (219)	total: 15m 44s	remaining: 20m 1s
220:	test: 0.8387929	best: 0.8387929 (220)	total: 15m 48s	remaining: 19m 58s
221:	test: 0.8388273	best: 0.8388273 (221)	total: 15m 52s	remaining: 19m 52s
222:	test: 0.8388709	best: 0.8388709 (222)	total: 15m 56s	remaining: 19m 47s
223:	test: 0.8389140	best: 0.8389140 (223)	total: 16m	remaining: 19m 43s
224:	test: 0.8389285	best: 0.8389285 (224)	total: 16m 2s	remaining: 19m 36s
225:	test: 0.8389653	best: 0.8389653 (225)	total: 16m 6s	remaining: 19m 31s
226:	test: 0.8390638	best: 0.8390638 (226)	total: 16m 11s	remaining: 19m 28s
227:	test: 0.8390933	best: 0.8390933 (227)	total: 16m 15s	remaining: 19m 23s
228:	test: 0.8391408	best: 0.8391408 (228)	total: 16m 22s	remaining: 19m 22s
229:	test: 0.8391697	best: 0.8391697 (229)	total: 16m 24s	remaining: 19m 15s
230:	test: 0.8392076	best: 0.8392076 (230)	total: 16m 29s	remaining: 19m 11s
231:	test: 0.8392555	best: 0.8392555 (231)	total: 16m 32s	remaining: 19m 6s
