201:	test: 0.7905364	best: 0.7905364 (201)	total: 5m 18s	remaining: 7m 49s
202:	test: 0.7905585	best: 0.7905585 (202)	total: 5m 19s	remaining: 7m 47s
203:	test: 0.7905982	best: 0.7905982 (203)	total: 5m 21s	remaining: 7m 45s
204:	test: 0.7906225	best: 0.7906225 (204)	total: 5m 22s	remaining: 7m 44s
205:	test: 0.7907728	best: 0.7907728 (205)	total: 5m 23s	remaining: 7m 42s
206:	test: 0.7907528	best: 0.7907728 (205)	total: 5m 25s	remaining: 7m 40s
207:	test: 0.7908606	best: 0.7908606 (207)	total: 5m 26s	remaining: 7m 38s
208:	test: 0.7910270	best: 0.7910270 (208)	total: 5m 28s	remaining: 7m 37s
209:	test: 0.7911803	best: 0.7911803 (209)	total: 5m 30s	remaining: 7m 36s
210:	test: 0.7912520	best: 0.7912520 (210)	total: 5m 31s	remaining: 7m 34s
211:	test: 0.7910154	best: 0.7912520 (210)	total: 5m 33s	remaining: 7m 32s
212:	test: 0.7910939	best: 0.7912520 (210)	total: 5m 34s	remaining: 7m 31s
213:	test: 0.7911679	best: 0.7912520 (210)	total: 5m 36s	remaining: 7m 30s
214:	test: 0.7912495	best: 0.7912520 (210)	total: 5m 38s	remaining: 7m 28s
215:	test: 0.7913381	best: 0.7913381 (215)	total: 5m 39s	remaining: 7m 26s
216:	test: 0.7912732	best: 0.7913381 (215)	total: 5m 40s	remaining: 7m 24s
217:	test: 0.7913386	best: 0.7913386 (217)	total: 5m 42s	remaining: 7m 22s
218:	test: 0.7912450	best: 0.7913386 (217)	total: 5m 44s	remaining: 7m 21s
219:	test: 0.7913992	best: 0.7913992 (219)	total: 5m 45s	remaining: 7m 20s
220:	test: 0.7912608	best: 0.7913992 (219)	total: 5m 47s	remaining: 7m 18s
221:	test: 0.7914063	best: 0.7914063 (221)	total: 5m 48s	remaining: 7m 16s
222:	test: 0.7913882	best: 0.7914063 (221)	total: 5m 50s	remaining: 7m 15s
223:	test: 0.7915208	best: 0.7915208 (223)	total: 5m 52s	remaining: 7m 13s
224:	test: 0.7914960	best: 0.7915208 (223)	total: 5m 54s	remaining: 7m 13s
225:	test: 0.7916245	best: 0.7916245 (225)	total: 5m 56s	remaining: 7m 12s
226:	test: 0.7915756	best: 0.7916245 (225)	total: 5m 57s	remaining: 7m 10s
227:	test: 0.7916296	best: 0.7916296 (227)	total: 5m 59s	remaining: 7m 8s
228:	test: 0.7913995	best: 0.7916296 (227)	total: 6m	remaining: 7m 6s
229:	test: 0.7914845	best: 0.7916296 (227)	total: 6m 2s	remaining: 7m 5s
230:	test: 0.7913441	best: 0.7916296 (227)	total: 6m 4s	remaining: 7m 4s
231:	test: 0.7913301	best: 0.7916296 (227)	total: 6m 5s	remaining: 7m 2s
232:	test: 0.7912279	best: 0.7916296 (227)	total: 6m 7s	remaining: 7m
233:	test: 0.7915320	best: 0.7916296 (227)	total: 6m 8s	remaining: 6m 58s
234:	test: 0.7916233	best: 0.7916296 (227)	total: 6m 9s	remaining: 6m 57s
235:	test: 0.7916620	best: 0.7916620 (235)	total: 6m 11s	remaining: 6m 55s
236:	test: 0.7916419	best: 0.7916620 (235)	total: 6m 12s	remaining: 6m 53s
237:	test: 0.7914747	best: 0.7916620 (235)	total: 6m 14s	remaining: 6m 51s
238:	test: 0.7914731	best: 0.7916620 (235)	total: 6m 15s	remaining: 6m 50s
239:	test: 0.7916038	best: 0.7916620 (235)	total: 6m 17s	remaining: 6m 48s
240:	test: 0.7914917	best: 0.7916620 (235)	total: 6m 18s	remaining: 6m 47s
241:	test: 0.7914488	best: 0.7916620 (235)	total: 6m 20s	remaining: 6m 45s
242:	test: 0.7914766	best: 0.7916620 (235)	total: 6m 21s	remaining: 6m 43s
243:	test: 0.7913433	best: 0.7916620 (235)	total: 6m 23s	remaining: 6m 41s
244:	test: 0.7915743	best: 0.7916620 (235)	total: 6m 24s	remaining: 6m 40s
245:	test: 0.7915484	best: 0.7916620 (235)	total: 6m 25s	remaining: 6m 38s
246:	test: 0.7916247	best: 0.7916620 (235)	total: 6m 27s	remaining: 6m 36s
247:	test: 0.7916870	best: 0.7916870 (247)	total: 6m 29s	remaining: 6m 35s
248:	test: 0.7917952	best: 0.7917952 (248)	total: 6m 31s	remaining: 6m 34s
249:	test: 0.7919360	best: 0.7919360 (249)	total: 6m 32s	remaining: 6m 32s
250:	test: 0.7917173	best: 0.7919360 (249)	total: 6m 34s	remaining: 6m 31s
