102:	test: 0.9216486	best: 0.9216486 (102)	total: 6m 45s	remaining: 26m 1s
103:	test: 0.9217997	best: 0.9217997 (103)	total: 6m 48s	remaining: 25m 55s
104:	test: 0.9220772	best: 0.9220772 (104)	total: 6m 52s	remaining: 25m 51s
105:	test: 0.9223349	best: 0.9223349 (105)	total: 6m 55s	remaining: 25m 46s
106:	test: 0.9225396	best: 0.9225396 (106)	total: 6m 59s	remaining: 25m 41s
107:	test: 0.9227576	best: 0.9227576 (107)	total: 7m 3s	remaining: 25m 35s
108:	test: 0.9229826	best: 0.9229826 (108)	total: 7m 6s	remaining: 25m 31s
109:	test: 0.9232075	best: 0.9232075 (109)	total: 7m 10s	remaining: 25m 26s
110:	test: 0.9234729	best: 0.9234729 (110)	total: 7m 14s	remaining: 25m 21s
111:	test: 0.9236396	best: 0.9236396 (111)	total: 7m 17s	remaining: 25m 16s
112:	test: 0.9238437	best: 0.9238437 (112)	total: 7m 21s	remaining: 25m 11s
113:	test: 0.9240820	best: 0.9240820 (113)	total: 7m 25s	remaining: 25m 6s
114:	test: 0.9243082	best: 0.9243082 (114)	total: 7m 28s	remaining: 25m 2s
115:	test: 0.9244989	best: 0.9244989 (115)	total: 7m 32s	remaining: 24m 57s
116:	test: 0.9246760	best: 0.9246760 (116)	total: 7m 35s	remaining: 24m 52s
117:	test: 0.9248661	best: 0.9248661 (117)	total: 7m 39s	remaining: 24m 46s
118:	test: 0.9251016	best: 0.9251016 (118)	total: 7m 42s	remaining: 24m 42s
119:	test: 0.9252604	best: 0.9252604 (119)	total: 7m 46s	remaining: 24m 36s
120:	test: 0.9254327	best: 0.9254327 (120)	total: 7m 50s	remaining: 24m 32s
121:	test: 0.9256165	best: 0.9256165 (121)	total: 7m 53s	remaining: 24m 27s
122:	test: 0.9257995	best: 0.9257995 (122)	total: 7m 57s	remaining: 24m 23s
123:	test: 0.9259936	best: 0.9259936 (123)	total: 8m	remaining: 24m 18s
124:	test: 0.9261458	best: 0.9261458 (124)	total: 8m 4s	remaining: 24m 13s
125:	test: 0.9263134	best: 0.9263134 (125)	total: 8m 8s	remaining: 24m 9s
126:	test: 0.9265030	best: 0.9265030 (126)	total: 8m 11s	remaining: 24m 4s
127:	test: 0.9266444	best: 0.9266444 (127)	total: 8m 15s	remaining: 23m 59s
128:	test: 0.9267552	best: 0.9267552 (128)	total: 8m 18s	remaining: 23m 54s
129:	test: 0.9269398	best: 0.9269398 (129)	total: 8m 22s	remaining: 23m 49s
130:	test: 0.9271463	best: 0.9271463 (130)	total: 8m 26s	remaining: 23m 45s
131:	test: 0.9272779	best: 0.9272779 (131)	total: 8m 29s	remaining: 23m 40s
132:	test: 0.9274550	best: 0.9274550 (132)	total: 8m 33s	remaining: 23m 36s
133:	test: 0.9275922	best: 0.9275922 (133)	total: 8m 37s	remaining: 23m 32s
134:	test: 0.9277686	best: 0.9277686 (134)	total: 8m 40s	remaining: 23m 27s
135:	test: 0.9279399	best: 0.9279399 (135)	total: 8m 44s	remaining: 23m 23s
136:	test: 0.9281007	best: 0.9281007 (136)	total: 8m 47s	remaining: 23m 18s
137:	test: 0.9282423	best: 0.9282423 (137)	total: 8m 51s	remaining: 23m 14s
138:	test: 0.9283812	best: 0.9283812 (138)	total: 8m 55s	remaining: 23m 9s
139:	test: 0.9285222	best: 0.9285222 (139)	total: 8m 59s	remaining: 23m 6s
140:	test: 0.9286533	best: 0.9286533 (140)	total: 9m 2s	remaining: 23m 2s
141:	test: 0.9288171	best: 0.9288171 (141)	total: 9m 6s	remaining: 22m 57s
