122:	test: 0.9314680	best: 0.9471144 (32)	total: 13m 16s	remaining: 40m 42s
123:	test: 0.9314686	best: 0.9471144 (32)	total: 13m 19s	remaining: 40m 23s
124:	test: 0.9314850	best: 0.9471144 (32)	total: 13m 23s	remaining: 40m 9s
125:	test: 0.9314731	best: 0.9471144 (32)	total: 13m 27s	remaining: 39m 56s
126:	test: 0.9314818	best: 0.9471144 (32)	total: 13m 42s	remaining: 40m 16s
127:	test: 0.9314693	best: 0.9471144 (32)	total: 13m 53s	remaining: 40m 22s
128:	test: 0.9314812	best: 0.9471144 (32)	total: 13m 58s	remaining: 40m 10s
129:	test: 0.9314943	best: 0.9471144 (32)	total: 14m 2s	remaining: 39m 57s
130:	test: 0.9314434	best: 0.9471144 (32)	total: 14m 4s	remaining: 39m 39s
131:	test: 0.9314426	best: 0.9471144 (32)	total: 14m 12s	remaining: 39m 35s
132:	test: 0.9314328	best: 0.9471144 (32)	total: 14m 18s	remaining: 39m 27s
133:	test: 0.9314308	best: 0.9471144 (32)	total: 14m 20s	remaining: 39m 9s
134:	test: 0.9314309	best: 0.9471144 (32)	total: 14m 25s	remaining: 38m 58s
135:	test: 0.9314205	best: 0.9471144 (32)	total: 14m 33s	remaining: 38m 57s
136:	test: 0.9314242	best: 0.9471144 (32)	total: 14m 38s	remaining: 38m 47s
137:	test: 0.9314338	best: 0.9471144 (32)	total: 14m 41s	remaining: 38m 33s
138:	test: 0.9314068	best: 0.9471144 (32)	total: 14m 46s	remaining: 38m 22s
139:	test: 0.9313525	best: 0.9471144 (32)	total: 14m 48s	remaining: 38m 5s
140:	test: 0.9313606	best: 0.9471144 (32)	total: 14m 51s	remaining: 37m 49s
141:	test: 0.9315856	best: 0.9471144 (32)	total: 14m 54s	remaining: 37m 35s
142:	test: 0.9315712	best: 0.9471144 (32)	total: 14m 59s	remaining: 37m 24s
143:	test: 0.9315630	best: 0.9471144 (32)	total: 15m 5s	remaining: 37m 19s
144:	test: 0.9315639	best: 0.9471144 (32)	total: 15m 8s	remaining: 37m 4s
145:	test: 0.9315368	best: 0.9471144 (32)	total: 15m 13s	remaining: 36m 54s
146:	test: 0.9315409	best: 0.9471144 (32)	total: 15m 21s	remaining: 36m 52s
