222:	test: 0.5165810	best: 0.5165810 (222)	total: 10m 4s	remaining: 12m 31s
223:	test: 0.5164204	best: 0.5165810 (222)	total: 10m 7s	remaining: 12m 28s
224:	test: 0.5162899	best: 0.5165810 (222)	total: 10m 10s	remaining: 12m 25s
225:	test: 0.5162783	best: 0.5165810 (222)	total: 10m 12s	remaining: 12m 22s
226:	test: 0.5162717	best: 0.5165810 (222)	total: 10m 14s	remaining: 12m 19s
227:	test: 0.5160440	best: 0.5165810 (222)	total: 10m 17s	remaining: 12m 17s
228:	test: 0.5161764	best: 0.5165810 (222)	total: 10m 21s	remaining: 12m 15s
229:	test: 0.5160486	best: 0.5165810 (222)	total: 10m 24s	remaining: 12m 13s
230:	test: 0.5159443	best: 0.5165810 (222)	total: 10m 27s	remaining: 12m 10s
231:	test: 0.5161574	best: 0.5165810 (222)	total: 10m 30s	remaining: 12m 7s
232:	test: 0.5160397	best: 0.5165810 (222)	total: 10m 33s	remaining: 12m 5s
233:	test: 0.5160146	best: 0.5165810 (222)	total: 10m 36s	remaining: 12m 3s
234:	test: 0.5160229	best: 0.5165810 (222)	total: 10m 38s	remaining: 12m
235:	test: 0.5162537	best: 0.5165810 (222)	total: 10m 41s	remaining: 11m 57s
236:	test: 0.5162789	best: 0.5165810 (222)	total: 10m 44s	remaining: 11m 55s
237:	test: 0.5163535	best: 0.5165810 (222)	total: 10m 48s	remaining: 11m 53s
238:	test: 0.5164281	best: 0.5165810 (222)	total: 10m 51s	remaining: 11m 51s
239:	test: 0.5165205	best: 0.5165810 (222)	total: 10m 54s	remaining: 11m 48s
240:	test: 0.5164099	best: 0.5165810 (222)	total: 10m 57s	remaining: 11m 46s
241:	test: 0.5163205	best: 0.5165810 (222)	total: 10m 59s	remaining: 11m 42s
242:	test: 0.5162871	best: 0.5165810 (222)	total: 11m 2s	remaining: 11m 40s
243:	test: 0.5164221	best: 0.5165810 (222)	total: 11m 4s	remaining: 11m 36s
244:	test: 0.5164317	best: 0.5165810 (222)	total: 11m 6s	remaining: 11m 33s
245:	test: 0.5162785	best: 0.5165810 (222)	total: 11m 8s	remaining: 11m 30s
246:	test: 0.5162189	best: 0.5165810 (222)	total: 11m 11s	remaining: 11m 27s
247:	test: 0.5162892	best: 0.5165810 (222)	total: 11m 13s	remaining: 11m 24s
248:	test: 0.5163257	best: 0.5165810 (222)	total: 11m 15s	remaining: 11m 21s
249:	test: 0.5164583	best: 0.5165810 (222)	total: 11m 17s	remaining: 11m 17s
250:	test: 0.5163951	best: 0.5165810 (222)	total: 11m 21s	remaining: 11m 15s
251:	test: 0.5162997	best: 0.5165810 (222)	total: 11m 23s	remaining: 11m 12s
252:	test: 0.5162272	best: 0.5165810 (222)	total: 11m 26s	remaining: 11m 10s
253:	test: 0.5163256	best: 0.5165810 (222)	total: 11m 28s	remaining: 11m 6s
254:	test: 0.5165409	best: 0.5165810 (222)	total: 11m 31s	remaining: 11m 4s
255:	test: 0.5165759	best: 0.5165810 (222)	total: 11m 33s	remaining: 11m
256:	test: 0.5164830	best: 0.5165810 (222)	total: 11m 35s	remaining: 10m 57s
257:	test: 0.5167270	best: 0.5167270 (257)	total: 11m 38s	remaining: 10m 54s
258:	test: 0.5167077	best: 0.5167270 (257)	total: 11m 40s	remaining: 10m 52s
259:	test: 0.5168926	best: 0.5168926 (259)	total: 11m 43s	remaining: 10m 48s
260:	test: 0.5168379	best: 0.5168926 (259)	total: 11m 45s	remaining: 10m 46s
261:	test: 0.5168090	best: 0.5168926 (259)	total: 11m 49s	remaining: 10m 44s
262:	test: 0.5169169	best: 0.5169169 (262)	total: 11m 51s	remaining: 10m 41s
263:	test: 0.5167820	best: 0.5169169 (262)	total: 11m 54s	remaining: 10m 38s
264:	test: 0.5170117	best: 0.5170117 (264)	total: 11m 57s	remaining: 10m 36s
265:	test: 0.5170324	best: 0.5170324 (265)	total: 12m 1s	remaining: 10m 34s
266:	test: 0.5173031	best: 0.5173031 (266)	total: 12m 3s	remaining: 10m 31s
267:	test: 0.5174608	best: 0.5174608 (267)	total: 12m 6s	remaining: 10m 28s
268:	test: 0.5173555	best: 0.5174608 (267)	total: 12m 8s	remaining: 10m 25s
269:	test: 0.5173716	best: 0.5174608 (267)	total: 12m 10s	remaining: 10m 22s
270:	test: 0.5172560	best: 0.5174608 (267)	total: 12m 13s	remaining: 10m 19s
271:	test: 0.5173554	best: 0.5174608 (267)	total: 12m 16s	remaining: 10m 17s
272:	test: 0.5173334	best: 0.5174608 (267)	total: 12m 19s	remaining: 10m 14s
273:	test: 0.5173020	best: 0.5174608 (267)	total: 12m 21s	remaining: 10m 11s
274:	test: 0.5173413	best: 0.5174608 (267)	total: 12m 24s	remaining: 10m 8s
275:	test: 0.5173134	best: 0.5174608 (267)	total: 12m 26s	remaining: 10m 5s
276:	test: 0.5173781	best: 0.5174608 (267)	total: 12m 28s	remaining: 10m 2s
277:	test: 0.5173093	best: 0.5174608 (267)	total: 12m 30s	remaining: 9m 59s
278:	test: 0.5174500	best: 0.5174608 (267)	total: 12m 33s	remaining: 9m 56s
279:	test: 0.5174086	best: 0.5174608 (267)	total: 12m 35s	remaining: 9m 53s
280:	test: 0.5172723	best: 0.5174608 (267)	total: 12m 38s	remaining: 9m 50s
281:	test: 0.5170681	best: 0.5174608 (267)	total: 12m 40s	remaining: 9m 48s
282:	test: 0.5170000	best: 0.5174608 (267)	total: 12m 43s	remaining: 9m 45s
283:	test: 0.5171172	best: 0.5174608 (267)	total: 12m 45s	remaining: 9m 42s
284:	test: 0.5173051	best: 0.5174608 (267)	total: 12m 47s	remaining: 9m 39s
285:	test: 0.5172780	best: 0.5174608 (267)	total: 12m 50s	remaining: 9m 36s
286:	test: 0.5172986	best: 0.5174608 (267)	total: 12m 52s	remaining: 9m 33s
287:	test: 0.5174548	best: 0.5174608 (267)	total: 12m 55s	remaining: 9m 30s
288:	test: 0.5174923	best: 0.5174923 (288)	total: 12m 58s	remaining: 9m 28s
289:	test: 0.5173241	best: 0.5174923 (288)	total: 13m	remaining: 9m 25s
290:	test: 0.5174715	best: 0.5174923 (288)	total: 13m 2s	remaining: 9m 22s
291:	test: 0.5174953	best: 0.5174953 (291)	total: 13m 5s	remaining: 9m 19s
292:	test: 0.5174007	best: 0.5174953 (291)	total: 13m 7s	remaining: 9m 16s
293:	test: 0.5174479	best: 0.5174953 (291)	total: 13m 11s	remaining: 9m 14s
294:	test: 0.5174388	best: 0.5174953 (291)	total: 13m 13s	remaining: 9m 11s
295:	test: 0.5177391	best: 0.5177391 (295)	total: 13m 16s	remaining: 9m 8s
296:	test: 0.5177299	best: 0.5177391 (295)	total: 13m 19s	remaining: 9m 6s
297:	test: 0.5176487	best: 0.5177391 (295)	total: 13m 21s	remaining: 9m 3s
298:	test: 0.5175902	best: 0.5177391 (295)	total: 13m 23s	remaining: 9m
299:	test: 0.5176696	best: 0.5177391 (295)	total: 13m 26s	remaining: 8m 57s
300:	test: 0.5176473	best: 0.5177391 (295)	total: 13m 28s	remaining: 8m 54s
301:	test: 0.5176686	best: 0.5177391 (295)	total: 13m 31s	remaining: 8m 51s
302:	test: 0.5178428	best: 0.5178428 (302)	total: 13m 33s	remaining: 8m 48s
303:	test: 0.5178462	best: 0.5178462 (303)	total: 13m 35s	remaining: 8m 45s
304:	test: 0.5179205	best: 0.5179205 (304)	total: 13m 37s	remaining: 8m 42s
305:	test: 0.5179481	best: 0.5179481 (305)	total: 13m 39s	remaining: 8m 39s
306:	test: 0.5179111	best: 0.5179481 (305)	total: 13m 42s	remaining: 8m 36s
307:	test: 0.5178413	best: 0.5179481 (305)	total: 13m 44s	remaining: 8m 34s
308:	test: 0.5179026	best: 0.5179481 (305)	total: 13m 47s	remaining: 8m 31s
309:	test: 0.5178145	best: 0.5179481 (305)	total: 13m 50s	remaining: 8m 28s
310:	test: 0.5177005	best: 0.5179481 (305)	total: 13m 52s	remaining: 8m 26s
311:	test: 0.5176888	best: 0.5179481 (305)	total: 13m 55s	remaining: 8m 23s
