142:	test: 0.9372407	best: 0.9372407 (142)	total: 31.5s	remaining: 1m 18s
143:	test: 0.9373505	best: 0.9373505 (143)	total: 31.8s	remaining: 1m 18s
144:	test: 0.9374654	best: 0.9374654 (144)	total: 32s	remaining: 1m 18s
145:	test: 0.9376147	best: 0.9376147 (145)	total: 32.2s	remaining: 1m 17s
146:	test: 0.9376969	best: 0.9376969 (146)	total: 32.4s	remaining: 1m 17s
147:	test: 0.9378156	best: 0.9378156 (147)	total: 32.6s	remaining: 1m 17s
148:	test: 0.9379237	best: 0.9379237 (148)	total: 32.8s	remaining: 1m 17s
149:	test: 0.9380231	best: 0.9380231 (149)	total: 33s	remaining: 1m 17s
150:	test: 0.9381220	best: 0.9381220 (150)	total: 33.2s	remaining: 1m 16s
151:	test: 0.9382382	best: 0.9382382 (151)	total: 33.4s	remaining: 1m 16s
152:	test: 0.9383600	best: 0.9383600 (152)	total: 33.7s	remaining: 1m 16s
153:	test: 0.9384713	best: 0.9384713 (153)	total: 33.9s	remaining: 1m 16s
154:	test: 0.9385813	best: 0.9385813 (154)	total: 34.1s	remaining: 1m 15s
155:	test: 0.9386491	best: 0.9386491 (155)	total: 34.3s	remaining: 1m 15s
156:	test: 0.9387757	best: 0.9387757 (156)	total: 34.5s	remaining: 1m 15s
157:	test: 0.9388961	best: 0.9388961 (157)	total: 34.7s	remaining: 1m 15s
158:	test: 0.9390007	best: 0.9390007 (158)	total: 34.9s	remaining: 1m 14s
159:	test: 0.9391146	best: 0.9391146 (159)	total: 35.1s	remaining: 1m 14s
160:	test: 0.9392248	best: 0.9392248 (160)	total: 35.4s	remaining: 1m 14s
161:	test: 0.9393223	best: 0.9393223 (161)	total: 35.6s	remaining: 1m 14s
162:	test: 0.9394011	best: 0.9394011 (162)	total: 35.8s	remaining: 1m 13s
163:	test: 0.9395017	best: 0.9395017 (163)	total: 36s	remaining: 1m 13s
164:	test: 0.9395790	best: 0.9395790 (164)	total: 36.2s	remaining: 1m 13s
165:	test: 0.9396849	best: 0.9396849 (165)	total: 36.4s	remaining: 1m 13s
166:	test: 0.9397692	best: 0.9397692 (166)	total: 36.6s	remaining: 1m 13s
167:	test: 0.9398699	best: 0.9398699 (167)	total: 36.8s	remaining: 1m 12s
168:	test: 0.9399688	best: 0.9399688 (168)	total: 37s	remaining: 1m 12s
169:	test: 0.9400573	best: 0.9400573 (169)	total: 37.3s	remaining: 1m 12s
170:	test: 0.9401423	best: 0.9401423 (170)	total: 37.5s	remaining: 1m 12s
171:	test: 0.9402355	best: 0.9402355 (171)	total: 37.7s	remaining: 1m 11s
172:	test: 0.9403218	best: 0.9403218 (172)	total: 37.9s	remaining: 1m 11s
173:	test: 0.9404052	best: 0.9404052 (173)	total: 38.1s	remaining: 1m 11s
174:	test: 0.9404686	best: 0.9404686 (174)	total: 38.3s	remaining: 1m 11s
175:	test: 0.9405518	best: 0.9405518 (175)	total: 38.5s	remaining: 1m 10s
176:	test: 0.9406351	best: 0.9406351 (176)	total: 38.7s	remaining: 1m 10s
177:	test: 0.9407327	best: 0.9407327 (177)	total: 38.9s	remaining: 1m 10s
178:	test: 0.9408422	best: 0.9408422 (178)	total: 39.1s	remaining: 1m 10s
