174:	test: 0.8385595	best: 0.8385595 (174)	total: 25.5s	remaining: 47.4s
175:	test: 0.8385741	best: 0.8385741 (175)	total: 25.6s	remaining: 47.2s
176:	test: 0.8386104	best: 0.8386104 (176)	total: 25.8s	remaining: 47s
177:	test: 0.8386673	best: 0.8386673 (177)	total: 25.9s	remaining: 46.8s
178:	test: 0.8386811	best: 0.8386811 (178)	total: 26s	remaining: 46.6s
179:	test: 0.8387050	best: 0.8387050 (179)	total: 26.1s	remaining: 46.4s
180:	test: 0.8387080	best: 0.8387080 (180)	total: 26.2s	remaining: 46.1s
181:	test: 0.8387268	best: 0.8387268 (181)	total: 26.3s	remaining: 45.9s
182:	test: 0.8387961	best: 0.8387961 (182)	total: 26.4s	remaining: 45.8s
183:	test: 0.8388250	best: 0.8388250 (183)	total: 26.5s	remaining: 45.6s
184:	test: 0.8388665	best: 0.8388665 (184)	total: 26.7s	remaining: 45.4s
185:	test: 0.8388816	best: 0.8388816 (185)	total: 26.8s	remaining: 45.2s
186:	test: 0.8389258	best: 0.8389258 (186)	total: 26.9s	remaining: 45s
187:	test: 0.8389522	best: 0.8389522 (187)	total: 27s	remaining: 44.8s
188:	test: 0.8390107	best: 0.8390107 (188)	total: 27.1s	remaining: 44.6s
189:	test: 0.8390772	best: 0.8390772 (189)	total: 27.2s	remaining: 44.5s
190:	test: 0.8391402	best: 0.8391402 (190)	total: 27.4s	remaining: 44.3s
191:	test: 0.8391496	best: 0.8391496 (191)	total: 27.5s	remaining: 44.1s
192:	test: 0.8391575	best: 0.8391575 (192)	total: 27.6s	remaining: 43.9s
193:	test: 0.8391927	best: 0.8391927 (193)	total: 27.7s	remaining: 43.7s
194:	test: 0.8391986	best: 0.8391986 (194)	total: 27.8s	remaining: 43.4s
195:	test: 0.8392655	best: 0.8392655 (195)	total: 27.9s	remaining: 43.3s
196:	test: 0.8393025	best: 0.8393025 (196)	total: 28s	remaining: 43.1s
197:	test: 0.8393523	best: 0.8393523 (197)	total: 28.2s	remaining: 43s
198:	test: 0.8393602	best: 0.8393602 (198)	total: 28.3s	remaining: 42.7s
199:	test: 0.8393918	best: 0.8393918 (199)	total: 28.4s	remaining: 42.6s
200:	test: 0.8394563	best: 0.8394563 (200)	total: 28.5s	remaining: 42.4s
201:	test: 0.8394598	best: 0.8394598 (201)	total: 28.6s	remaining: 42.2s
202:	test: 0.8394932	best: 0.8394932 (202)	total: 28.7s	remaining: 42s
203:	test: 0.8395435	best: 0.8395435 (203)	total: 28.8s	remaining: 41.9s
204:	test: 0.8395573	best: 0.8395573 (204)	total: 28.9s	remaining: 41.6s
205:	test: 0.8396294	best: 0.8396294 (205)	total: 29.1s	remaining: 41.5s
206:	test: 0.8396757	best: 0.8396757 (206)	total: 29.2s	remaining: 41.3s
207:	test: 0.8397187	best: 0.8397187 (207)	total: 29.3s	remaining: 41.2s
208:	test: 0.8397485	best: 0.8397485 (208)	total: 29.5s	remaining: 41s
209:	test: 0.8397817	best: 0.8397817 (209)	total: 29.6s	remaining: 40.8s
210:	test: 0.8398282	best: 0.8398282 (210)	total: 29.7s	remaining: 40.7s
211:	test: 0.8398688	best: 0.8398688 (211)	total: 29.8s	remaining: 40.5s
212:	test: 0.8398999	best: 0.8398999 (212)	total: 30s	remaining: 40.4s
213:	test: 0.8399624	best: 0.8399624 (213)	total: 30.1s	remaining: 40.2s
214:	test: 0.8399853	best: 0.8399853 (214)	total: 30.2s	remaining: 40s
215:	test: 0.8400047	best: 0.8400047 (215)	total: 30.3s	remaining: 39.8s
216:	test: 0.8400043	best: 0.8400047 (215)	total: 30.4s	remaining: 39.6s
217:	test: 0.8400847	best: 0.8400847 (217)	total: 30.5s	remaining: 39.5s
218:	test: 0.8401328	best: 0.8401328 (218)	total: 30.6s	remaining: 39.3s
219:	test: 0.8401850	best: 0.8401850 (219)	total: 30.8s	remaining: 39.2s
220:	test: 0.8402021	best: 0.8402021 (220)	total: 30.9s	remaining: 38.9s
221:	test: 0.8402262	best: 0.8402262 (221)	total: 31s	remaining: 38.8s
222:	test: 0.8402352	best: 0.8402352 (222)	total: 31.1s	remaining: 38.6s
223:	test: 0.8402708	best: 0.8402708 (223)	total: 31.2s	remaining: 38.4s
224:	test: 0.8403217	best: 0.8403217 (224)	total: 31.3s	remaining: 38.3s
225:	test: 0.8403308	best: 0.8403308 (225)	total: 31.5s	remaining: 38.1s
226:	test: 0.8404641	best: 0.8404641 (226)	total: 31.6s	remaining: 38s
227:	test: 0.8404778	best: 0.8404778 (227)	total: 31.7s	remaining: 37.8s
228:	test: 0.8404882	best: 0.8404882 (228)	total: 31.8s	remaining: 37.6s
229:	test: 0.8405604	best: 0.8405604 (229)	total: 31.9s	remaining: 37.5s
230:	test: 0.8406096	best: 0.8406096 (230)	total: 32.1s	remaining: 37.3s
231:	test: 0.8406447	best: 0.8406447 (231)	total: 32.2s	remaining: 37.2s
232:	test: 0.8407010	best: 0.8407010 (232)	total: 32.3s	remaining: 37s
233:	test: 0.8407427	best: 0.8407427 (233)	total: 32.5s	remaining: 37s
234:	test: 0.8407710	best: 0.8407710 (234)	total: 32.6s	remaining: 36.8s
235:	test: 0.8408087	best: 0.8408087 (235)	total: 32.8s	remaining: 36.6s
236:	test: 0.8408465	best: 0.8408465 (236)	total: 32.9s	remaining: 36.5s
237:	test: 0.8408660	best: 0.8408660 (237)	total: 33s	remaining: 36.3s
238:	test: 0.8408681	best: 0.8408681 (238)	total: 33s	remaining: 36.1s
239:	test: 0.8409007	best: 0.8409007 (239)	total: 33.2s	remaining: 35.9s
240:	test: 0.8409265	best: 0.8409265 (240)	total: 33.3s	remaining: 35.8s
241:	test: 0.8409528	best: 0.8409528 (241)	total: 33.4s	remaining: 35.6s
242:	test: 0.8409605	best: 0.8409605 (242)	total: 33.5s	remaining: 35.4s
243:	test: 0.8409679	best: 0.8409679 (243)	total: 33.6s	remaining: 35.2s
244:	test: 0.8409758	best: 0.8409758 (244)	total: 33.7s	remaining: 35.1s
245:	test: 0.8411141	best: 0.8411141 (245)	total: 33.8s	remaining: 34.9s
246:	test: 0.8411288	best: 0.8411288 (246)	total: 33.9s	remaining: 34.7s
247:	test: 0.8411413	best: 0.8411413 (247)	total: 34s	remaining: 34.5s
248:	test: 0.8411745	best: 0.8411745 (248)	total: 34.1s	remaining: 34.4s
249:	test: 0.8411884	best: 0.8411884 (249)	total: 34.2s	remaining: 34.2s
250:	test: 0.8411922	best: 0.8411922 (250)	total: 34.3s	remaining: 34s
251:	test: 0.8411939	best: 0.8411939 (251)	total: 34.4s	remaining: 33.8s
252:	test: 0.8412419	best: 0.8412419 (252)	total: 34.5s	remaining: 33.7s
253:	test: 0.8412419	best: 0.8412419 (252)	total: 34.6s	remaining: 33.5s
254:	test: 0.8412682	best: 0.8412682 (254)	total: 34.7s	remaining: 33.4s
255:	test: 0.8413008	best: 0.8413008 (255)	total: 34.8s	remaining: 33.2s
256:	test: 0.8413115	best: 0.8413115 (256)	total: 34.9s	remaining: 33s
257:	test: 0.8413154	best: 0.8413154 (257)	total: 35s	remaining: 32.8s
258:	test: 0.8413196	best: 0.8413196 (258)	total: 35.1s	remaining: 32.7s
259:	test: 0.8413279	best: 0.8413279 (259)	total: 35.2s	remaining: 32.5s
260:	test: 0.8413556	best: 0.8413556 (260)	total: 35.3s	remaining: 32.4s
261:	test: 0.8413737	best: 0.8413737 (261)	total: 35.4s	remaining: 32.2s
262:	test: 0.8413772	best: 0.8413772 (262)	total: 35.5s	remaining: 32s
263:	test: 0.8413815	best: 0.8413815 (263)	total: 35.6s	remaining: 31.8s
264:	test: 0.8413846	best: 0.8413846 (264)	total: 35.7s	remaining: 31.6s
265:	test: 0.8414914	best: 0.8414914 (265)	total: 35.8s	remaining: 31.5s
266:	test: 0.8415022	best: 0.8415022 (266)	total: 35.9s	remaining: 31.3s
267:	test: 0.8415405	best: 0.8415405 (267)	total: 36s	remaining: 31.2s
268:	test: 0.8415419	best: 0.8415419 (268)	total: 36.1s	remaining: 31s
269:	test: 0.8415569	best: 0.8415569 (269)	total: 36.2s	remaining: 30.8s
270:	test: 0.8415682	best: 0.8415682 (270)	total: 36.3s	remaining: 30.7s
271:	test: 0.8415725	best: 0.8415725 (271)	total: 36.4s	remaining: 30.5s
272:	test: 0.8415730	best: 0.8415730 (272)	total: 36.5s	remaining: 30.3s
273:	test: 0.8415777	best: 0.8415777 (273)	total: 36.6s	remaining: 30.2s
274:	test: 0.8415808	best: 0.8415808 (274)	total: 36.6s	remaining: 30s
275:	test: 0.8415852	best: 0.8415852 (275)	total: 36.7s	remaining: 29.8s
276:	test: 0.8416167	best: 0.8416167 (276)	total: 36.8s	remaining: 29.6s
277:	test: 0.8416364	best: 0.8416364 (277)	total: 36.9s	remaining: 29.5s
278:	test: 0.8416395	best: 0.8416395 (278)	total: 37s	remaining: 29.3s
279:	test: 0.8416603	best: 0.8416603 (279)	total: 37.1s	remaining: 29.2s
280:	test: 0.8416719	best: 0.8416719 (280)	total: 37.2s	remaining: 29s
281:	test: 0.8416905	best: 0.8416905 (281)	total: 37.3s	remaining: 28.8s
282:	test: 0.8417114	best: 0.8417114 (282)	total: 37.4s	remaining: 28.7s
283:	test: 0.8417214	best: 0.8417214 (283)	total: 37.5s	remaining: 28.5s
284:	test: 0.8417208	best: 0.8417214 (283)	total: 37.6s	remaining: 28.4s
285:	test: 0.8417321	best: 0.8417321 (285)	total: 37.7s	remaining: 28.2s
286:	test: 0.8417361	best: 0.8417361 (286)	total: 37.8s	remaining: 28s
287:	test: 0.8417845	best: 0.8417845 (287)	total: 37.9s	remaining: 27.9s
288:	test: 0.8417903	best: 0.8417903 (288)	total: 38s	remaining: 27.7s
289:	test: 0.8417965	best: 0.8417965 (289)	total: 38.1s	remaining: 27.6s
290:	test: 0.8418636	best: 0.8418636 (290)	total: 38.2s	remaining: 27.5s
291:	test: 0.8418906	best: 0.8418906 (291)	total: 38.4s	remaining: 27.3s
292:	test: 0.8419081	best: 0.8419081 (292)	total: 38.5s	remaining: 27.2s
293:	test: 0.8419260	best: 0.8419260 (293)	total: 38.6s	remaining: 27s
294:	test: 0.8419321	best: 0.8419321 (294)	total: 38.6s	remaining: 26.9s
295:	test: 0.8419443	best: 0.8419443 (295)	total: 38.8s	remaining: 26.7s
296:	test: 0.8419415	best: 0.8419443 (295)	total: 38.8s	remaining: 26.5s
297:	test: 0.8419686	best: 0.8419686 (297)	total: 38.9s	remaining: 26.4s
298:	test: 0.8420170	best: 0.8420170 (298)	total: 39.1s	remaining: 26.3s
299:	test: 0.8420261	best: 0.8420261 (299)	total: 39.1s	remaining: 26.1s
300:	test: 0.8420269	best: 0.8420269 (300)	total: 39.2s	remaining: 25.9s
301:	test: 0.8420607	best: 0.8420607 (301)	total: 39.4s	remaining: 25.8s
302:	test: 0.8420746	best: 0.8420746 (302)	total: 39.5s	remaining: 25.7s
303:	test: 0.8420846	best: 0.8420846 (303)	total: 39.6s	remaining: 25.5s
304:	test: 0.8420986	best: 0.8420986 (304)	total: 39.7s	remaining: 25.4s
305:	test: 0.8421248	best: 0.8421248 (305)	total: 39.8s	remaining: 25.2s
306:	test: 0.8421443	best: 0.8421443 (306)	total: 39.9s	remaining: 25.1s
307:	test: 0.8421824	best: 0.8421824 (307)	total: 40s	remaining: 25s
