104:	test: 0.7959592	best: 0.7959592 (104)	total: 55.3s	remaining: 3m 28s
105:	test: 0.7960210	best: 0.7960210 (105)	total: 55.9s	remaining: 3m 27s
106:	test: 0.7961136	best: 0.7961136 (106)	total: 56.3s	remaining: 3m 26s
107:	test: 0.7961822	best: 0.7961822 (107)	total: 56.9s	remaining: 3m 26s
108:	test: 0.7962588	best: 0.7962588 (108)	total: 57.6s	remaining: 3m 26s
109:	test: 0.7963205	best: 0.7963205 (109)	total: 58s	remaining: 3m 25s
110:	test: 0.7963717	best: 0.7963717 (110)	total: 58.6s	remaining: 3m 25s
111:	test: 0.7964212	best: 0.7964212 (111)	total: 59.1s	remaining: 3m 24s
112:	test: 0.7964924	best: 0.7964924 (112)	total: 59.6s	remaining: 3m 23s
113:	test: 0.7965621	best: 0.7965621 (113)	total: 1m	remaining: 3m 23s
114:	test: 0.7966112	best: 0.7966112 (114)	total: 1m	remaining: 3m 22s
115:	test: 0.7966971	best: 0.7966971 (115)	total: 1m 1s	remaining: 3m 22s
116:	test: 0.7967577	best: 0.7967577 (116)	total: 1m 1s	remaining: 3m 21s
117:	test: 0.7968274	best: 0.7968274 (117)	total: 1m 2s	remaining: 3m 20s
118:	test: 0.7968819	best: 0.7968819 (118)	total: 1m 2s	remaining: 3m 20s
119:	test: 0.7969279	best: 0.7969279 (119)	total: 1m 3s	remaining: 3m 19s
120:	test: 0.7969880	best: 0.7969880 (120)	total: 1m 3s	remaining: 3m 19s
121:	test: 0.7970657	best: 0.7970657 (121)	total: 1m 3s	remaining: 3m 18s
122:	test: 0.7971336	best: 0.7971336 (122)	total: 1m 4s	remaining: 3m 17s
123:	test: 0.7971813	best: 0.7971813 (123)	total: 1m 5s	remaining: 3m 17s
124:	test: 0.7972290	best: 0.7972290 (124)	total: 1m 5s	remaining: 3m 16s
125:	test: 0.7972843	best: 0.7972843 (125)	total: 1m 5s	remaining: 3m 15s
126:	test: 0.7973273	best: 0.7973273 (126)	total: 1m 6s	remaining: 3m 15s
127:	test: 0.7973701	best: 0.7973701 (127)	total: 1m 6s	remaining: 3m 14s
128:	test: 0.7974163	best: 0.7974163 (128)	total: 1m 7s	remaining: 3m 14s
129:	test: 0.7974797	best: 0.7974797 (129)	total: 1m 7s	remaining: 3m 13s
130:	test: 0.7975240	best: 0.7975240 (130)	total: 1m 8s	remaining: 3m 12s
131:	test: 0.7975883	best: 0.7975883 (131)	total: 1m 8s	remaining: 3m 12s
132:	test: 0.7976681	best: 0.7976681 (132)	total: 1m 9s	remaining: 3m 11s
133:	test: 0.7977217	best: 0.7977217 (133)	total: 1m 9s	remaining: 3m 10s
134:	test: 0.7977687	best: 0.7977687 (134)	total: 1m 10s	remaining: 3m 10s
135:	test: 0.7978108	best: 0.7978108 (135)	total: 1m 10s	remaining: 3m 9s
136:	test: 0.7978444	best: 0.7978444 (136)	total: 1m 11s	remaining: 3m 8s
137:	test: 0.7978800	best: 0.7978800 (137)	total: 1m 11s	remaining: 3m 8s
138:	test: 0.7979492	best: 0.7979492 (138)	total: 1m 12s	remaining: 3m 7s
139:	test: 0.7979890	best: 0.7979890 (139)	total: 1m 12s	remaining: 3m 7s
140:	test: 0.7980313	best: 0.7980313 (140)	total: 1m 13s	remaining: 3m 6s
141:	test: 0.7980657	best: 0.7980657 (141)	total: 1m 13s	remaining: 3m 6s
142:	test: 0.7981060	best: 0.7981060 (142)	total: 1m 14s	remaining: 3m 6s
143:	test: 0.7981494	best: 0.7981494 (143)	total: 1m 15s	remaining: 3m 5s
144:	test: 0.7981685	best: 0.7981685 (144)	total: 1m 15s	remaining: 3m 4s
145:	test: 0.7982140	best: 0.7982140 (145)	total: 1m 16s	remaining: 3m 4s
146:	test: 0.7982716	best: 0.7982716 (146)	total: 1m 16s	remaining: 3m 3s
147:	test: 0.7983095	best: 0.7983095 (147)	total: 1m 16s	remaining: 3m 3s
148:	test: 0.7983446	best: 0.7983446 (148)	total: 1m 17s	remaining: 3m 2s
149:	test: 0.7983881	best: 0.7983881 (149)	total: 1m 17s	remaining: 3m 1s
150:	test: 0.7984228	best: 0.7984228 (150)	total: 1m 18s	remaining: 3m 1s
151:	test: 0.7984607	best: 0.7984607 (151)	total: 1m 18s	remaining: 3m
152:	test: 0.7985001	best: 0.7985001 (152)	total: 1m 19s	remaining: 3m
