117:	test: 0.9338078	best: 0.9338078 (117)	total: 26.2s	remaining: 1m 24s
118:	test: 0.9339891	best: 0.9339891 (118)	total: 26.4s	remaining: 1m 24s
119:	test: 0.9342085	best: 0.9342085 (119)	total: 26.6s	remaining: 1m 24s
120:	test: 0.9343587	best: 0.9343587 (120)	total: 26.8s	remaining: 1m 24s
121:	test: 0.9345333	best: 0.9345333 (121)	total: 27s	remaining: 1m 23s
122:	test: 0.9346698	best: 0.9346698 (122)	total: 27.3s	remaining: 1m 23s
123:	test: 0.9348029	best: 0.9348029 (123)	total: 27.5s	remaining: 1m 23s
124:	test: 0.9349310	best: 0.9349310 (124)	total: 27.7s	remaining: 1m 23s
125:	test: 0.9351190	best: 0.9351190 (125)	total: 27.9s	remaining: 1m 22s
126:	test: 0.9352649	best: 0.9352649 (126)	total: 28.1s	remaining: 1m 22s
127:	test: 0.9353911	best: 0.9353911 (127)	total: 28.3s	remaining: 1m 22s
128:	test: 0.9355498	best: 0.9355498 (128)	total: 28.5s	remaining: 1m 21s
129:	test: 0.9357246	best: 0.9357246 (129)	total: 28.7s	remaining: 1m 21s
130:	test: 0.9358905	best: 0.9358905 (130)	total: 28.9s	remaining: 1m 21s
131:	test: 0.9360169	best: 0.9360169 (131)	total: 29.2s	remaining: 1m 21s
132:	test: 0.9361563	best: 0.9361563 (132)	total: 29.4s	remaining: 1m 21s
133:	test: 0.9363034	best: 0.9363034 (133)	total: 29.6s	remaining: 1m 20s
134:	test: 0.9364424	best: 0.9364424 (134)	total: 29.8s	remaining: 1m 20s
135:	test: 0.9365560	best: 0.9365560 (135)	total: 30s	remaining: 1m 20s
136:	test: 0.9366791	best: 0.9366791 (136)	total: 30.2s	remaining: 1m 20s
137:	test: 0.9368104	best: 0.9368104 (137)	total: 30.4s	remaining: 1m 19s
138:	test: 0.9369115	best: 0.9369115 (138)	total: 30.6s	remaining: 1m 19s
139:	test: 0.9370342	best: 0.9370342 (139)	total: 30.8s	remaining: 1m 19s
140:	test: 0.9371574	best: 0.9371574 (140)	total: 31s	remaining: 1m 18s
141:	test: 0.9372711	best: 0.9372711 (141)	total: 31.2s	remaining: 1m 18s
142:	test: 0.9373866	best: 0.9373866 (142)	total: 31.4s	remaining: 1m 18s
143:	test: 0.9375040	best: 0.9375040 (143)	total: 31.6s	remaining: 1m 18s
144:	test: 0.9376172	best: 0.9376172 (144)	total: 31.9s	remaining: 1m 17s
145:	test: 0.9377546	best: 0.9377546 (145)	total: 32.1s	remaining: 1m 17s
146:	test: 0.9379030	best: 0.9379030 (146)	total: 32.3s	remaining: 1m 17s
147:	test: 0.9380255	best: 0.9380255 (147)	total: 32.5s	remaining: 1m 17s
148:	test: 0.9381636	best: 0.9381636 (148)	total: 32.7s	remaining: 1m 17s
149:	test: 0.9383078	best: 0.9383078 (149)	total: 32.9s	remaining: 1m 16s
150:	test: 0.9384016	best: 0.9384016 (150)	total: 33.1s	remaining: 1m 16s
151:	test: 0.9385451	best: 0.9385451 (151)	total: 33.3s	remaining: 1m 16s
152:	test: 0.9386679	best: 0.9386679 (152)	total: 33.5s	remaining: 1m 16s
153:	test: 0.9387792	best: 0.9387792 (153)	total: 33.7s	remaining: 1m 15s
154:	test: 0.9388677	best: 0.9388677 (154)	total: 33.9s	remaining: 1m 15s
155:	test: 0.9389816	best: 0.9389816 (155)	total: 34.2s	remaining: 1m 15s
156:	test: 0.9390931	best: 0.9390931 (156)	total: 34.4s	remaining: 1m 15s
157:	test: 0.9391714	best: 0.9391714 (157)	total: 34.6s	remaining: 1m 14s
158:	test: 0.9392807	best: 0.9392807 (158)	total: 34.9s	remaining: 1m 14s
