Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:top=10;type=Exp is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
123:	test: 0.7832516	best: 0.7832701 (119)	total: 18.1s	remaining: 55s
124:	test: 0.7836601	best: 0.7836601 (124)	total: 18.3s	remaining: 54.8s
125:	test: 0.7837506	best: 0.7837506 (125)	total: 18.4s	remaining: 54.6s
126:	test: 0.7836097	best: 0.7837506 (125)	total: 18.5s	remaining: 54.4s
127:	test: 0.7840549	best: 0.7840549 (127)	total: 18.7s	remaining: 54.2s
128:	test: 0.7840432	best: 0.7840549 (127)	total: 18.8s	remaining: 54.1s
129:	test: 0.7839509	best: 0.7840549 (127)	total: 18.9s	remaining: 53.9s
130:	test: 0.7838226	best: 0.7840549 (127)	total: 19.1s	remaining: 53.7s
131:	test: 0.7838033	best: 0.7840549 (127)	total: 19.2s	remaining: 53.6s
132:	test: 0.7836931	best: 0.7840549 (127)	total: 19.4s	remaining: 53.4s
133:	test: 0.7840257	best: 0.7840549 (127)	total: 19.5s	remaining: 53.2s
134:	test: 0.7840634	best: 0.7840634 (134)	total: 19.6s	remaining: 53.1s
135:	test: 0.7842026	best: 0.7842026 (135)	total: 19.8s	remaining: 52.9s
136:	test: 0.7844863	best: 0.7844863 (136)	total: 19.9s	remaining: 52.8s
137:	test: 0.7844750	best: 0.7844863 (136)	total: 20.1s	remaining: 52.6s
138:	test: 0.7846074	best: 0.7846074 (138)	total: 20.2s	remaining: 52.5s
139:	test: 0.7847291	best: 0.7847291 (139)	total: 20.3s	remaining: 52.3s
140:	test: 0.7847319	best: 0.7847319 (140)	total: 20.5s	remaining: 52.1s
141:	test: 0.7848470	best: 0.7848470 (141)	total: 20.6s	remaining: 52s
142:	test: 0.7850531	best: 0.7850531 (142)	total: 20.7s	remaining: 51.8s
143:	test: 0.7849713	best: 0.7850531 (142)	total: 20.9s	remaining: 51.6s
144:	test: 0.7850763	best: 0.7850763 (144)	total: 21s	remaining: 51.4s
145:	test: 0.7851658	best: 0.7851658 (145)	total: 21.2s	remaining: 51.3s
146:	test: 0.7849070	best: 0.7851658 (145)	total: 21.3s	remaining: 51.1s
147:	test: 0.7850742	best: 0.7851658 (145)	total: 21.4s	remaining: 51s
148:	test: 0.7852518	best: 0.7852518 (148)	total: 21.6s	remaining: 50.8s
149:	test: 0.7852005	best: 0.7852518 (148)	total: 21.7s	remaining: 50.6s
150:	test: 0.7853571	best: 0.7853571 (150)	total: 21.8s	remaining: 50.4s
151:	test: 0.7853812	best: 0.7853812 (151)	total: 22s	remaining: 50.3s
152:	test: 0.7856667	best: 0.7856667 (152)	total: 22.1s	remaining: 50.1s
153:	test: 0.7854804	best: 0.7856667 (152)	total: 22.2s	remaining: 50s
154:	test: 0.7855194	best: 0.7856667 (152)	total: 22.4s	remaining: 49.9s
155:	test: 0.7857739	best: 0.7857739 (155)	total: 22.5s	remaining: 49.7s
156:	test: 0.7856655	best: 0.7857739 (155)	total: 22.7s	remaining: 49.5s
157:	test: 0.7857541	best: 0.7857739 (155)	total: 22.8s	remaining: 49.4s
158:	test: 0.7857561	best: 0.7857739 (155)	total: 22.9s	remaining: 49.2s
159:	test: 0.7858010	best: 0.7858010 (159)	total: 23.1s	remaining: 49s
160:	test: 0.7858290	best: 0.7858290 (160)	total: 23.2s	remaining: 48.9s
161:	test: 0.7860543	best: 0.7860543 (161)	total: 23.4s	remaining: 48.7s
162:	test: 0.7860725	best: 0.7860725 (162)	total: 23.5s	remaining: 48.6s
163:	test: 0.7862713	best: 0.7862713 (163)	total: 23.6s	remaining: 48.4s
164:	test: 0.7863630	best: 0.7863630 (164)	total: 23.8s	remaining: 48.2s
