134:	learn: 0.0250571	total: 9m 41s	remaining: 26m 12s
135:	learn: 0.0250464	total: 9m 44s	remaining: 26m 4s
136:	learn: 0.0250305	total: 9m 50s	remaining: 26m 4s
137:	learn: 0.0250218	total: 9m 51s	remaining: 25m 51s
138:	learn: 0.0250073	total: 9m 53s	remaining: 25m 42s
139:	learn: 0.0249938	total: 9m 57s	remaining: 25m 36s
140:	learn: 0.0249777	total: 10m 1s	remaining: 25m 32s
141:	learn: 0.0249714	total: 10m 5s	remaining: 25m 27s
142:	learn: 0.0249533	total: 10m 9s	remaining: 25m 20s
143:	learn: 0.0249371	total: 10m 10s	remaining: 25m 9s
144:	learn: 0.0249240	total: 10m 12s	remaining: 24m 58s
145:	learn: 0.0248967	total: 10m 16s	remaining: 24m 55s
146:	learn: 0.0248842	total: 10m 20s	remaining: 24m 50s
147:	learn: 0.0248670	total: 10m 26s	remaining: 24m 49s
148:	learn: 0.0248540	total: 10m 31s	remaining: 24m 47s
149:	learn: 0.0248441	total: 10m 34s	remaining: 24m 41s
150:	learn: 0.0248276	total: 10m 40s	remaining: 24m 41s
151:	learn: 0.0248147	total: 10m 43s	remaining: 24m 33s
152:	learn: 0.0247924	total: 10m 46s	remaining: 24m 26s
153:	learn: 0.0247808	total: 10m 48s	remaining: 24m 16s
154:	learn: 0.0247690	total: 10m 52s	remaining: 24m 11s
155:	learn: 0.0247609	total: 10m 53s	remaining: 24m
156:	learn: 0.0247409	total: 10m 56s	remaining: 23m 55s
157:	learn: 0.0247307	total: 11m	remaining: 23m 50s
158:	learn: 0.0247217	total: 11m 6s	remaining: 23m 50s
159:	learn: 0.0247119	total: 11m 8s	remaining: 23m 41s
160:	learn: 0.0247024	total: 11m 9s	remaining: 23m 30s
161:	learn: 0.0246802	total: 11m 13s	remaining: 23m 24s
162:	learn: 0.0246706	total: 11m 18s	remaining: 23m 21s
163:	learn: 0.0246632	total: 11m 20s	remaining: 23m 13s
164:	learn: 0.0246515	total: 11m 21s	remaining: 23m 4s
165:	learn: 0.0246353	total: 11m 23s	remaining: 22m 55s
166:	learn: 0.0246252	total: 11m 24s	remaining: 22m 45s
167:	learn: 0.0245977	total: 11m 28s	remaining: 22m 40s
168:	learn: 0.0245798	total: 11m 32s	remaining: 22m 36s
169:	learn: 0.0245682	total: 11m 38s	remaining: 22m 35s
170:	learn: 0.0245561	total: 11m 41s	remaining: 22m 29s
171:	learn: 0.0245493	total: 11m 44s	remaining: 22m 23s
172:	learn: 0.0245356	total: 11m 46s	remaining: 22m 15s
173:	learn: 0.0245184	total: 11m 51s	remaining: 22m 13s
174:	learn: 0.0245063	total: 11m 55s	remaining: 22m 8s
175:	learn: 0.0244948	total: 11m 57s	remaining: 22m
176:	learn: 0.0244866	total: 11m 59s	remaining: 21m 52s
177:	learn: 0.0244779	total: 12m 1s	remaining: 21m 45s
