213:	test: 0.9352568	best: 0.9352568 (213)	total: 13m 15s	remaining: 17m 43s
214:	test: 0.9353477	best: 0.9353477 (214)	total: 13m 18s	remaining: 17m 38s
215:	test: 0.9354030	best: 0.9354030 (215)	total: 13m 21s	remaining: 17m 34s
216:	test: 0.9354577	best: 0.9354577 (216)	total: 13m 25s	remaining: 17m 30s
217:	test: 0.9355530	best: 0.9355530 (217)	total: 13m 28s	remaining: 17m 26s
218:	test: 0.9356212	best: 0.9356212 (218)	total: 13m 31s	remaining: 17m 21s
219:	test: 0.9356823	best: 0.9356823 (219)	total: 13m 35s	remaining: 17m 17s
220:	test: 0.9357239	best: 0.9357239 (220)	total: 13m 38s	remaining: 17m 13s
221:	test: 0.9357927	best: 0.9357927 (221)	total: 13m 42s	remaining: 17m 9s
222:	test: 0.9358231	best: 0.9358231 (222)	total: 13m 45s	remaining: 17m 5s
223:	test: 0.9358817	best: 0.9358817 (223)	total: 13m 48s	remaining: 17m
224:	test: 0.9359389	best: 0.9359389 (224)	total: 13m 51s	remaining: 16m 56s
225:	test: 0.9359993	best: 0.9359993 (225)	total: 13m 55s	remaining: 16m 52s
226:	test: 0.9360478	best: 0.9360478 (226)	total: 13m 58s	remaining: 16m 48s
227:	test: 0.9361202	best: 0.9361202 (227)	total: 14m 1s	remaining: 16m 44s
228:	test: 0.9361727	best: 0.9361727 (228)	total: 14m 4s	remaining: 16m 39s
229:	test: 0.9362037	best: 0.9362037 (229)	total: 14m 8s	remaining: 16m 35s
230:	test: 0.9362774	best: 0.9362774 (230)	total: 14m 11s	remaining: 16m 31s
231:	test: 0.9363125	best: 0.9363125 (231)	total: 14m 15s	remaining: 16m 27s
232:	test: 0.9363927	best: 0.9363927 (232)	total: 14m 18s	remaining: 16m 23s
233:	test: 0.9364356	best: 0.9364356 (233)	total: 14m 21s	remaining: 16m 19s
234:	test: 0.9364942	best: 0.9364942 (234)	total: 14m 24s	remaining: 16m 15s
235:	test: 0.9365461	best: 0.9365461 (235)	total: 14m 27s	remaining: 16m 10s
236:	test: 0.9365737	best: 0.9365737 (236)	total: 14m 31s	remaining: 16m 6s
237:	test: 0.9366318	best: 0.9366318 (237)	total: 14m 34s	remaining: 16m 2s
238:	test: 0.9366745	best: 0.9366745 (238)	total: 14m 37s	remaining: 15m 58s
239:	test: 0.9367594	best: 0.9367594 (239)	total: 14m 40s	remaining: 15m 54s
240:	test: 0.9368096	best: 0.9368096 (240)	total: 14m 44s	remaining: 15m 50s
241:	test: 0.9368439	best: 0.9368439 (241)	total: 14m 47s	remaining: 15m 46s
242:	test: 0.9368913	best: 0.9368913 (242)	total: 14m 50s	remaining: 15m 42s
243:	test: 0.9369176	best: 0.9369176 (243)	total: 14m 54s	remaining: 15m 38s
244:	test: 0.9369958	best: 0.9369958 (244)	total: 14m 57s	remaining: 15m 34s
245:	test: 0.9370823	best: 0.9370823 (245)	total: 15m	remaining: 15m 30s
246:	test: 0.9371606	best: 0.9371606 (246)	total: 15m 4s	remaining: 15m 26s
