154:	test: 0.5139311	best: 0.5139586 (148)	total: 6m 50s	remaining: 15m 13s
155:	test: 0.5139910	best: 0.5139910 (155)	total: 6m 53s	remaining: 15m 11s
156:	test: 0.5140877	best: 0.5140877 (156)	total: 6m 56s	remaining: 15m 9s
157:	test: 0.5141889	best: 0.5141889 (157)	total: 6m 58s	remaining: 15m 6s
158:	test: 0.5142966	best: 0.5142966 (158)	total: 7m 1s	remaining: 15m 3s
159:	test: 0.5143311	best: 0.5143311 (159)	total: 7m 3s	remaining: 15m
160:	test: 0.5143668	best: 0.5143668 (160)	total: 7m 7s	remaining: 15m
161:	test: 0.5144575	best: 0.5144575 (161)	total: 7m 9s	remaining: 14m 57s
162:	test: 0.5145061	best: 0.5145061 (162)	total: 7m 12s	remaining: 14m 53s
163:	test: 0.5144075	best: 0.5145061 (162)	total: 7m 14s	remaining: 14m 50s
164:	test: 0.5144911	best: 0.5145061 (162)	total: 7m 17s	remaining: 14m 48s
165:	test: 0.5144481	best: 0.5145061 (162)	total: 7m 20s	remaining: 14m 45s
166:	test: 0.5145167	best: 0.5145167 (166)	total: 7m 22s	remaining: 14m 42s
167:	test: 0.5144438	best: 0.5145167 (166)	total: 7m 25s	remaining: 14m 39s
168:	test: 0.5143859	best: 0.5145167 (166)	total: 7m 27s	remaining: 14m 37s
169:	test: 0.5143573	best: 0.5145167 (166)	total: 7m 30s	remaining: 14m 35s
170:	test: 0.5144692	best: 0.5145167 (166)	total: 7m 32s	remaining: 14m 31s
171:	test: 0.5143421	best: 0.5145167 (166)	total: 7m 35s	remaining: 14m 28s
172:	test: 0.5143218	best: 0.5145167 (166)	total: 7m 37s	remaining: 14m 24s
173:	test: 0.5143164	best: 0.5145167 (166)	total: 7m 39s	remaining: 14m 21s
174:	test: 0.5145359	best: 0.5145359 (174)	total: 7m 43s	remaining: 14m 21s
175:	test: 0.5147886	best: 0.5147886 (175)	total: 7m 46s	remaining: 14m 18s
176:	test: 0.5147292	best: 0.5147886 (175)	total: 7m 48s	remaining: 14m 15s
177:	test: 0.5147958	best: 0.5147958 (177)	total: 7m 51s	remaining: 14m 12s
178:	test: 0.5150448	best: 0.5150448 (178)	total: 7m 53s	remaining: 14m 9s
179:	test: 0.5150110	best: 0.5150448 (178)	total: 7m 56s	remaining: 14m 7s
180:	test: 0.5150660	best: 0.5150660 (180)	total: 7m 58s	remaining: 14m 4s
181:	test: 0.5149465	best: 0.5150660 (180)	total: 8m 1s	remaining: 14m 1s
182:	test: 0.5148897	best: 0.5150660 (180)	total: 8m 4s	remaining: 13m 58s
183:	test: 0.5148680	best: 0.5150660 (180)	total: 8m 6s	remaining: 13m 55s
184:	test: 0.5151090	best: 0.5151090 (184)	total: 8m 9s	remaining: 13m 53s
185:	test: 0.5151011	best: 0.5151090 (184)	total: 8m 12s	remaining: 13m 50s
186:	test: 0.5151843	best: 0.5151843 (186)	total: 8m 14s	remaining: 13m 48s
187:	test: 0.5150555	best: 0.5151843 (186)	total: 8m 17s	remaining: 13m 45s
188:	test: 0.5150674	best: 0.5151843 (186)	total: 8m 20s	remaining: 13m 43s
189:	test: 0.5152964	best: 0.5152964 (189)	total: 8m 23s	remaining: 13m 41s
190:	test: 0.5151762	best: 0.5152964 (189)	total: 8m 25s	remaining: 13m 38s
191:	test: 0.5152398	best: 0.5152964 (189)	total: 8m 29s	remaining: 13m 36s
192:	test: 0.5151641	best: 0.5152964 (189)	total: 8m 31s	remaining: 13m 34s
193:	test: 0.5154413	best: 0.5154413 (193)	total: 8m 34s	remaining: 13m 32s
194:	test: 0.5154012	best: 0.5154413 (193)	total: 8m 37s	remaining: 13m 29s
195:	test: 0.5154309	best: 0.5154413 (193)	total: 8m 39s	remaining: 13m 25s
196:	test: 0.5155936	best: 0.5155936 (196)	total: 8m 42s	remaining: 13m 23s
197:	test: 0.5157024	best: 0.5157024 (197)	total: 8m 44s	remaining: 13m 20s
198:	test: 0.5158154	best: 0.5158154 (198)	total: 8m 47s	remaining: 13m 17s
199:	test: 0.5157897	best: 0.5158154 (198)	total: 8m 50s	remaining: 13m 16s
200:	test: 0.5158739	best: 0.5158739 (200)	total: 8m 53s	remaining: 13m 13s
201:	test: 0.5156820	best: 0.5158739 (200)	total: 8m 56s	remaining: 13m 11s
202:	test: 0.5158410	best: 0.5158739 (200)	total: 8m 58s	remaining: 13m 8s
203:	test: 0.5159371	best: 0.5159371 (203)	total: 9m 1s	remaining: 13m 5s
204:	test: 0.5161224	best: 0.5161224 (204)	total: 9m 4s	remaining: 13m 3s
205:	test: 0.5160744	best: 0.5161224 (204)	total: 9m 6s	remaining: 13m
206:	test: 0.5161439	best: 0.5161439 (206)	total: 9m 9s	remaining: 12m 57s
207:	test: 0.5160745	best: 0.5161439 (206)	total: 9m 11s	remaining: 12m 54s
208:	test: 0.5162457	best: 0.5162457 (208)	total: 9m 14s	remaining: 12m 51s
209:	test: 0.5163710	best: 0.5163710 (209)	total: 9m 18s	remaining: 12m 50s
210:	test: 0.5163014	best: 0.5163710 (209)	total: 9m 21s	remaining: 12m 48s
211:	test: 0.5162911	best: 0.5163710 (209)	total: 9m 23s	remaining: 12m 45s
212:	test: 0.5163216	best: 0.5163710 (209)	total: 9m 25s	remaining: 12m 42s
213:	test: 0.5163479	best: 0.5163710 (209)	total: 9m 29s	remaining: 12m 40s
214:	test: 0.5164776	best: 0.5164776 (214)	total: 9m 32s	remaining: 12m 38s
215:	test: 0.5164847	best: 0.5164847 (215)	total: 9m 34s	remaining: 12m 35s
216:	test: 0.5165053	best: 0.5165053 (216)	total: 9m 37s	remaining: 12m 33s
