113:	learn: 7.9686066	test: 9.0125247	best: 9.0125247 (113)	total: 30.6s	remaining: 1m 43s
114:	learn: 7.9609165	test: 9.0118653	best: 9.0118653 (114)	total: 30.8s	remaining: 1m 43s
115:	learn: 7.9529912	test: 9.0107283	best: 9.0107283 (115)	total: 31.1s	remaining: 1m 42s
116:	learn: 7.9452213	test: 9.0093792	best: 9.0093792 (116)	total: 31.4s	remaining: 1m 42s
117:	learn: 7.9363511	test: 9.0089227	best: 9.0089227 (117)	total: 31.7s	remaining: 1m 42s
118:	learn: 7.9288759	test: 9.0082506	best: 9.0082506 (118)	total: 32s	remaining: 1m 42s
119:	learn: 7.9200005	test: 9.0076307	best: 9.0076307 (119)	total: 32.2s	remaining: 1m 42s
120:	learn: 7.9133010	test: 9.0079127	best: 9.0076307 (119)	total: 32.5s	remaining: 1m 41s
121:	learn: 7.9051432	test: 9.0075285	best: 9.0075285 (121)	total: 32.8s	remaining: 1m 41s
122:	learn: 7.8980217	test: 9.0061691	best: 9.0061691 (122)	total: 33.1s	remaining: 1m 41s
123:	learn: 7.8893610	test: 9.0058402	best: 9.0058402 (123)	total: 33.3s	remaining: 1m 41s
124:	learn: 7.8819339	test: 9.0053023	best: 9.0053023 (124)	total: 33.6s	remaining: 1m 40s
125:	learn: 7.8747599	test: 9.0045948	best: 9.0045948 (125)	total: 33.9s	remaining: 1m 40s
126:	learn: 7.8668755	test: 9.0033016	best: 9.0033016 (126)	total: 34.2s	remaining: 1m 40s
127:	learn: 7.8594322	test: 9.0030872	best: 9.0030872 (127)	total: 34.5s	remaining: 1m 40s
128:	learn: 7.8522382	test: 9.0025709	best: 9.0025709 (128)	total: 34.8s	remaining: 1m 40s
129:	learn: 7.8440239	test: 9.0022004	best: 9.0022004 (129)	total: 35.1s	remaining: 1m 39s
130:	learn: 7.8370359	test: 9.0020466	best: 9.0020466 (130)	total: 35.4s	remaining: 1m 39s
131:	learn: 7.8296426	test: 9.0021131	best: 9.0020466 (130)	total: 35.7s	remaining: 1m 39s
132:	learn: 7.8219241	test: 9.0012345	best: 9.0012345 (132)	total: 35.9s	remaining: 1m 39s
133:	learn: 7.8150022	test: 9.0007517	best: 9.0007517 (133)	total: 36.1s	remaining: 1m 38s
