126:	test: 0.7956458	best: 0.7956458 (126)	total: 50m 32s	remaining: 2h 28m 27s
127:	test: 0.7956993	best: 0.7956993 (127)	total: 51m 3s	remaining: 2h 28m 22s
128:	test: 0.7957630	best: 0.7957630 (128)	total: 51m 29s	remaining: 2h 28m 4s
129:	test: 0.7958098	best: 0.7958098 (129)	total: 51m 52s	remaining: 2h 27m 38s
130:	test: 0.7958254	best: 0.7958254 (130)	total: 52m 22s	remaining: 2h 27m 32s
131:	test: 0.7958966	best: 0.7958966 (131)	total: 52m 50s	remaining: 2h 27m 20s
132:	test: 0.7959531	best: 0.7959531 (132)	total: 53m 15s	remaining: 2h 26m 57s
133:	test: 0.7960029	best: 0.7960029 (133)	total: 53m 48s	remaining: 2h 26m 57s
134:	test: 0.7960419	best: 0.7960419 (134)	total: 54m 13s	remaining: 2h 26m 35s
135:	test: 0.7960919	best: 0.7960919 (135)	total: 54m 39s	remaining: 2h 26m 17s
136:	test: 0.7961311	best: 0.7961311 (136)	total: 55m 6s	remaining: 2h 26m
137:	test: 0.7962018	best: 0.7962018 (137)	total: 55m 31s	remaining: 2h 25m 39s
138:	test: 0.7962607	best: 0.7962607 (138)	total: 56m 3s	remaining: 2h 25m 34s
139:	test: 0.7963061	best: 0.7963061 (139)	total: 56m 28s	remaining: 2h 25m 13s
140:	test: 0.7963506	best: 0.7963506 (140)	total: 57m 2s	remaining: 2h 25m 13s
141:	test: 0.7964088	best: 0.7964088 (141)	total: 57m 30s	remaining: 2h 25m
142:	test: 0.7964832	best: 0.7964832 (142)	total: 57m 54s	remaining: 2h 24m 34s
143:	test: 0.7965402	best: 0.7965402 (143)	total: 58m 19s	remaining: 2h 24m 11s
144:	test: 0.7965856	best: 0.7965856 (144)	total: 58m 46s	remaining: 2h 23m 52s
145:	test: 0.7966213	best: 0.7966213 (145)	total: 59m 13s	remaining: 2h 23m 37s
146:	test: 0.7966648	best: 0.7966648 (146)	total: 59m 37s	remaining: 2h 23m 10s
147:	test: 0.7967063	best: 0.7967063 (147)	total: 1h 2s	remaining: 2h 22m 48s
148:	test: 0.7967346	best: 0.7967346 (148)	total: 1h 21s	remaining: 2h 22m 11s
149:	test: 0.7967780	best: 0.7967780 (149)	total: 1h 46s	remaining: 2h 21m 48s
150:	test: 0.7968371	best: 0.7968371 (150)	total: 1h 1m 11s	remaining: 2h 21m 26s
151:	test: 0.7968795	best: 0.7968795 (151)	total: 1h 1m 35s	remaining: 2h 21m 1s
152:	test: 0.7969020	best: 0.7969020 (152)	total: 1h 2m 1s	remaining: 2h 20m 40s
153:	test: 0.7969416	best: 0.7969416 (153)	total: 1h 2m 27s	remaining: 2h 20m 19s
154:	test: 0.7970072	best: 0.7970072 (154)	total: 1h 2m 58s	remaining: 2h 20m 10s
155:	test: 0.7970372	best: 0.7970372 (155)	total: 1h 3m 26s	remaining: 2h 19m 53s
156:	test: 0.7970799	best: 0.7970799 (156)	total: 1h 3m 53s	remaining: 2h 19m 36s
157:	test: 0.7971334	best: 0.7971334 (157)	total: 1h 4m 23s	remaining: 2h 19m 21s
158:	test: 0.7971823	best: 0.7971823 (158)	total: 1h 4m 47s	remaining: 2h 18m 56s
159:	test: 0.7972156	best: 0.7972156 (159)	total: 1h 5m 11s	remaining: 2h 18m 31s
160:	test: 0.7972493	best: 0.7972493 (160)	total: 1h 5m 32s	remaining: 2h 17m 59s
161:	test: 0.7973046	best: 0.7973046 (161)	total: 1h 5m 58s	remaining: 2h 17m 39s
162:	test: 0.7973332	best: 0.7973332 (162)	total: 1h 6m 26s	remaining: 2h 17m 22s
163:	test: 0.7973850	best: 0.7973850 (163)	total: 1h 6m 52s	remaining: 2h 17m
164:	test: 0.7974129	best: 0.7974129 (164)	total: 1h 7m 13s	remaining: 2h 16m 28s
165:	test: 0.7974502	best: 0.7974502 (165)	total: 1h 7m 37s	remaining: 2h 16m 4s
166:	test: 0.7974789	best: 0.7974789 (166)	total: 1h 7m 58s	remaining: 2h 15m 32s
167:	test: 0.7975133	best: 0.7975133 (167)	total: 1h 8m 30s	remaining: 2h 15m 23s
168:	test: 0.7975659	best: 0.7975659 (168)	total: 1h 8m 58s	remaining: 2h 15m 6s
169:	test: 0.7976062	best: 0.7976062 (169)	total: 1h 9m 22s	remaining: 2h 14m 41s
170:	test: 0.7976392	best: 0.7976392 (170)	total: 1h 9m 49s	remaining: 2h 14m 20s
171:	test: 0.7976863	best: 0.7976863 (171)	total: 1h 10m 10s	remaining: 2h 13m 49s
172:	test: 0.7977209	best: 0.7977209 (172)	total: 1h 10m 36s	remaining: 2h 13m 27s
173:	test: 0.7977631	best: 0.7977631 (173)	total: 1h 10m 56s	remaining: 2h 12m 55s
174:	test: 0.7977990	best: 0.7977990 (174)	total: 1h 11m 28s	remaining: 2h 12m 44s
175:	test: 0.7978348	best: 0.7978348 (175)	total: 1h 11m 53s	remaining: 2h 12m 20s
176:	test: 0.7978666	best: 0.7978666 (176)	total: 1h 12m 14s	remaining: 2h 11m 49s
177:	test: 0.7979064	best: 0.7979064 (177)	total: 1h 12m 43s	remaining: 2h 11m 34s
178:	test: 0.7979656	best: 0.7979656 (178)	total: 1h 13m 12s	remaining: 2h 11m 16s
179:	test: 0.7979922	best: 0.7979922 (179)	total: 1h 13m 37s	remaining: 2h 10m 52s
180:	test: 0.7980364	best: 0.7980364 (180)	total: 1h 14m 4s	remaining: 2h 10m 32s
181:	test: 0.7980825	best: 0.7980825 (181)	total: 1h 14m 22s	remaining: 2h 9m 57s
182:	test: 0.7981142	best: 0.7981142 (182)	total: 1h 14m 47s	remaining: 2h 9m 33s
183:	test: 0.7981474	best: 0.7981474 (183)	total: 1h 15m 13s	remaining: 2h 9m 10s
184:	test: 0.7981864	best: 0.7981864 (184)	total: 1h 15m 39s	remaining: 2h 8m 49s
185:	test: 0.7982129	best: 0.7982129 (185)	total: 1h 16m 11s	remaining: 2h 8m 37s
186:	test: 0.7982418	best: 0.7982418 (186)	total: 1h 16m 40s	remaining: 2h 8m 20s
187:	test: 0.7982869	best: 0.7982869 (187)	total: 1h 17m 9s	remaining: 2h 8m 2s
188:	test: 0.7983128	best: 0.7983128 (188)	total: 1h 17m 31s	remaining: 2h 7m 34s
189:	test: 0.7983344	best: 0.7983344 (189)	total: 1h 17m 52s	remaining: 2h 7m 3s
190:	test: 0.7983786	best: 0.7983786 (190)	total: 1h 18m 22s	remaining: 2h 6m 48s
191:	test: 0.7984084	best: 0.7984084 (191)	total: 1h 18m 50s	remaining: 2h 6m 27s
192:	test: 0.7984433	best: 0.7984433 (192)	total: 1h 19m 18s	remaining: 2h 6m 9s
193:	test: 0.7984706	best: 0.7984706 (193)	total: 1h 19m 49s	remaining: 2h 5m 54s
194:	test: 0.7985061	best: 0.7985061 (194)	total: 1h 20m 21s	remaining: 2h 5m 41s
195:	test: 0.7985464	best: 0.7985464 (195)	total: 1h 20m 45s	remaining: 2h 5m 15s
196:	test: 0.7985793	best: 0.7985793 (196)	total: 1h 21m 11s	remaining: 2h 4m 52s
197:	test: 0.7986176	best: 0.7986176 (197)	total: 1h 21m 42s	remaining: 2h 4m 37s
198:	test: 0.7986512	best: 0.7986512 (198)	total: 1h 22m 10s	remaining: 2h 4m 18s
199:	test: 0.7986749	best: 0.7986749 (199)	total: 1h 22m 36s	remaining: 2h 3m 55s
200:	test: 0.7986971	best: 0.7986971 (200)	total: 1h 23m 1s	remaining: 2h 3m 29s
201:	test: 0.7987299	best: 0.7987299 (201)	total: 1h 23m 27s	remaining: 2h 3m 7s
202:	test: 0.7987558	best: 0.7987558 (202)	total: 1h 23m 51s	remaining: 2h 2m 40s
203:	test: 0.7987860	best: 0.7987860 (203)	total: 1h 24m 15s	remaining: 2h 2m 15s
204:	test: 0.7988164	best: 0.7988164 (204)	total: 1h 24m 40s	remaining: 2h 1m 51s
205:	test: 0.7988519	best: 0.7988519 (205)	total: 1h 25m 14s	remaining: 2h 1m 39s
206:	test: 0.7988735	best: 0.7988735 (206)	total: 1h 25m 35s	remaining: 2h 1m 9s
207:	test: 0.7988984	best: 0.7988984 (207)	total: 1h 26m 1s	remaining: 2h 45s
208:	test: 0.7989319	best: 0.7989319 (208)	total: 1h 26m 30s	remaining: 2h 26s
209:	test: 0.7989744	best: 0.7989744 (209)	total: 1h 27m 1s	remaining: 2h 10s
210:	test: 0.7989951	best: 0.7989951 (210)	total: 1h 27m 24s	remaining: 1h 59m 43s
211:	test: 0.7990216	best: 0.7990216 (211)	total: 1h 27m 48s	remaining: 1h 59m 16s
212:	test: 0.7990418	best: 0.7990418 (212)	total: 1h 28m 14s	remaining: 1h 58m 53s
213:	test: 0.7990775	best: 0.7990775 (213)	total: 1h 28m 34s	remaining: 1h 58m 22s
214:	test: 0.7990862	best: 0.7990862 (214)	total: 1h 29m 1s	remaining: 1h 58m 1s
215:	test: 0.7991061	best: 0.7991061 (215)	total: 1h 29m 25s	remaining: 1h 57m 34s
216:	test: 0.7991388	best: 0.7991388 (216)	total: 1h 29m 51s	remaining: 1h 57m 11s
217:	test: 0.7991719	best: 0.7991719 (217)	total: 1h 30m 22s	remaining: 1h 56m 54s
