95:	test: 0.7858081	best: 0.7861666 (94)	total: 2m 29s	remaining: 10m 28s
96:	test: 0.7859057	best: 0.7861666 (94)	total: 2m 30s	remaining: 10m 25s
97:	test: 0.7862249	best: 0.7862249 (97)	total: 2m 32s	remaining: 10m 23s
98:	test: 0.7865319	best: 0.7865319 (98)	total: 2m 33s	remaining: 10m 22s
99:	test: 0.7864892	best: 0.7865319 (98)	total: 2m 34s	remaining: 10m 19s
100:	test: 0.7864057	best: 0.7865319 (98)	total: 2m 36s	remaining: 10m 17s
101:	test: 0.7864737	best: 0.7865319 (98)	total: 2m 37s	remaining: 10m 15s
102:	test: 0.7865870	best: 0.7865870 (102)	total: 2m 39s	remaining: 10m 14s
103:	test: 0.7865124	best: 0.7865870 (102)	total: 2m 40s	remaining: 10m 11s
104:	test: 0.7865827	best: 0.7865870 (102)	total: 2m 42s	remaining: 10m 10s
105:	test: 0.7865683	best: 0.7865870 (102)	total: 2m 43s	remaining: 10m 8s
106:	test: 0.7865083	best: 0.7865870 (102)	total: 2m 45s	remaining: 10m 6s
107:	test: 0.7867923	best: 0.7867923 (107)	total: 2m 46s	remaining: 10m 5s
108:	test: 0.7868105	best: 0.7868105 (108)	total: 2m 48s	remaining: 10m 4s
109:	test: 0.7871603	best: 0.7871603 (109)	total: 2m 50s	remaining: 10m 3s
110:	test: 0.7873594	best: 0.7873594 (110)	total: 2m 51s	remaining: 10m 1s
111:	test: 0.7872143	best: 0.7873594 (110)	total: 2m 53s	remaining: 9m 59s
112:	test: 0.7873070	best: 0.7873594 (110)	total: 2m 54s	remaining: 9m 58s
113:	test: 0.7872737	best: 0.7873594 (110)	total: 2m 56s	remaining: 9m 56s
114:	test: 0.7873226	best: 0.7873594 (110)	total: 2m 57s	remaining: 9m 54s
115:	test: 0.7872413	best: 0.7873594 (110)	total: 2m 59s	remaining: 9m 53s
116:	test: 0.7869532	best: 0.7873594 (110)	total: 3m	remaining: 9m 51s
117:	test: 0.7867424	best: 0.7873594 (110)	total: 3m 2s	remaining: 9m 49s
118:	test: 0.7864975	best: 0.7873594 (110)	total: 3m 3s	remaining: 9m 47s
119:	test: 0.7868555	best: 0.7873594 (110)	total: 3m 4s	remaining: 9m 45s
120:	test: 0.7871154	best: 0.7873594 (110)	total: 3m 6s	remaining: 9m 43s
121:	test: 0.7871170	best: 0.7873594 (110)	total: 3m 7s	remaining: 9m 41s
122:	test: 0.7870910	best: 0.7873594 (110)	total: 3m 9s	remaining: 9m 40s
123:	test: 0.7870873	best: 0.7873594 (110)	total: 3m 11s	remaining: 9m 39s
124:	test: 0.7872047	best: 0.7873594 (110)	total: 3m 12s	remaining: 9m 38s
125:	test: 0.7872729	best: 0.7873594 (110)	total: 3m 14s	remaining: 9m 37s
126:	test: 0.7873411	best: 0.7873594 (110)	total: 3m 15s	remaining: 9m 35s
127:	test: 0.7874762	best: 0.7874762 (127)	total: 3m 17s	remaining: 9m 33s
128:	test: 0.7875281	best: 0.7875281 (128)	total: 3m 19s	remaining: 9m 32s
129:	test: 0.7874513	best: 0.7875281 (128)	total: 3m 20s	remaining: 9m 31s
130:	test: 0.7875816	best: 0.7875816 (130)	total: 3m 22s	remaining: 9m 29s
131:	test: 0.7877368	best: 0.7877368 (131)	total: 3m 23s	remaining: 9m 27s
132:	test: 0.7875177	best: 0.7877368 (131)	total: 3m 25s	remaining: 9m 26s
133:	test: 0.7876277	best: 0.7877368 (131)	total: 3m 26s	remaining: 9m 25s
134:	test: 0.7875378	best: 0.7877368 (131)	total: 3m 28s	remaining: 9m 23s
135:	test: 0.7877458	best: 0.7877458 (135)	total: 3m 30s	remaining: 9m 22s
136:	test: 0.7876104	best: 0.7877458 (135)	total: 3m 31s	remaining: 9m 21s
137:	test: 0.7877478	best: 0.7877478 (137)	total: 3m 33s	remaining: 9m 19s
138:	test: 0.7878562	best: 0.7878562 (138)	total: 3m 34s	remaining: 9m 18s
139:	test: 0.7881426	best: 0.7881426 (139)	total: 3m 36s	remaining: 9m 16s
140:	test: 0.7881964	best: 0.7881964 (140)	total: 3m 38s	remaining: 9m 15s
141:	test: 0.7880286	best: 0.7881964 (140)	total: 3m 40s	remaining: 9m 15s
142:	test: 0.7881294	best: 0.7881964 (140)	total: 3m 41s	remaining: 9m 13s
143:	test: 0.7882608	best: 0.7882608 (143)	total: 3m 43s	remaining: 9m 12s
144:	test: 0.7885236	best: 0.7885236 (144)	total: 3m 45s	remaining: 9m 11s
145:	test: 0.7884434	best: 0.7885236 (144)	total: 3m 46s	remaining: 9m 9s
146:	test: 0.7886188	best: 0.7886188 (146)	total: 3m 47s	remaining: 9m 7s
147:	test: 0.7887296	best: 0.7887296 (147)	total: 3m 49s	remaining: 9m 5s
148:	test: 0.7886393	best: 0.7887296 (147)	total: 3m 50s	remaining: 9m 3s
149:	test: 0.7888821	best: 0.7888821 (149)	total: 3m 52s	remaining: 9m 2s
150:	test: 0.7888271	best: 0.7888821 (149)	total: 3m 54s	remaining: 9m 1s
151:	test: 0.7889965	best: 0.7889965 (151)	total: 3m 55s	remaining: 8m 59s
152:	test: 0.7885660	best: 0.7889965 (151)	total: 3m 57s	remaining: 8m 57s
153:	test: 0.7886944	best: 0.7889965 (151)	total: 3m 58s	remaining: 8m 55s
154:	test: 0.7887251	best: 0.7889965 (151)	total: 3m 59s	remaining: 8m 53s
155:	test: 0.7886029	best: 0.7889965 (151)	total: 4m 1s	remaining: 8m 51s
156:	test: 0.7886893	best: 0.7889965 (151)	total: 4m 2s	remaining: 8m 49s
157:	test: 0.7887219	best: 0.7889965 (151)	total: 4m 4s	remaining: 8m 48s
158:	test: 0.7887513	best: 0.7889965 (151)	total: 4m 5s	remaining: 8m 47s
159:	test: 0.7886554	best: 0.7889965 (151)	total: 4m 7s	remaining: 8m 45s
160:	test: 0.7886983	best: 0.7889965 (151)	total: 4m 9s	remaining: 8m 44s
161:	test: 0.7885230	best: 0.7889965 (151)	total: 4m 10s	remaining: 8m 42s
162:	test: 0.7886659	best: 0.7889965 (151)	total: 4m 12s	remaining: 8m 41s
163:	test: 0.7885386	best: 0.7889965 (151)	total: 4m 13s	remaining: 8m 39s
164:	test: 0.7886569	best: 0.7889965 (151)	total: 4m 15s	remaining: 8m 38s
165:	test: 0.7887069	best: 0.7889965 (151)	total: 4m 16s	remaining: 8m 37s
166:	test: 0.7887158	best: 0.7889965 (151)	total: 4m 18s	remaining: 8m 35s
167:	test: 0.7888211	best: 0.7889965 (151)	total: 4m 19s	remaining: 8m 33s
168:	test: 0.7889220	best: 0.7889965 (151)	total: 4m 21s	remaining: 8m 31s
169:	test: 0.7889676	best: 0.7889965 (151)	total: 4m 22s	remaining: 8m 29s
170:	test: 0.7892362	best: 0.7892362 (170)	total: 4m 23s	remaining: 8m 27s
171:	test: 0.7890726	best: 0.7892362 (170)	total: 4m 25s	remaining: 8m 26s
172:	test: 0.7892037	best: 0.7892362 (170)	total: 4m 27s	remaining: 8m 25s
173:	test: 0.7891419	best: 0.7892362 (170)	total: 4m 28s	remaining: 8m 23s
174:	test: 0.7892315	best: 0.7892362 (170)	total: 4m 30s	remaining: 8m 21s
175:	test: 0.7893060	best: 0.7893060 (175)	total: 4m 31s	remaining: 8m 19s
176:	test: 0.7893241	best: 0.7893241 (176)	total: 4m 33s	remaining: 8m 18s
177:	test: 0.7894849	best: 0.7894849 (177)	total: 4m 34s	remaining: 8m 17s
178:	test: 0.7893418	best: 0.7894849 (177)	total: 4m 36s	remaining: 8m 15s
179:	test: 0.7893008	best: 0.7894849 (177)	total: 4m 38s	remaining: 8m 14s
180:	test: 0.7893913	best: 0.7894849 (177)	total: 4m 39s	remaining: 8m 13s
181:	test: 0.7896320	best: 0.7896320 (181)	total: 4m 41s	remaining: 8m 11s
182:	test: 0.7895207	best: 0.7896320 (181)	total: 4m 43s	remaining: 8m 10s
183:	test: 0.7895537	best: 0.7896320 (181)	total: 4m 44s	remaining: 8m 8s
184:	test: 0.7895229	best: 0.7896320 (181)	total: 4m 46s	remaining: 8m 7s
185:	test: 0.7895989	best: 0.7896320 (181)	total: 4m 47s	remaining: 8m 6s
186:	test: 0.7895966	best: 0.7896320 (181)	total: 4m 49s	remaining: 8m 4s
187:	test: 0.7895797	best: 0.7896320 (181)	total: 4m 50s	remaining: 8m 2s
188:	test: 0.7898799	best: 0.7898799 (188)	total: 4m 52s	remaining: 8m 1s
189:	test: 0.7897404	best: 0.7898799 (188)	total: 4m 54s	remaining: 7m 59s
190:	test: 0.7897498	best: 0.7898799 (188)	total: 4m 55s	remaining: 7m 58s
191:	test: 0.7896378	best: 0.7898799 (188)	total: 4m 57s	remaining: 7m 57s
192:	test: 0.7896686	best: 0.7898799 (188)	total: 4m 59s	remaining: 7m 55s
193:	test: 0.7896077	best: 0.7898799 (188)	total: 5m	remaining: 7m 53s
194:	test: 0.7897050	best: 0.7898799 (188)	total: 5m 2s	remaining: 7m 52s
195:	test: 0.7898312	best: 0.7898799 (188)	total: 5m 4s	remaining: 7m 51s
