132:	test: 0.6515150	best: 0.6519566 (39)	total: 2m 41s	remaining: 7m 24s
133:	test: 0.6516350	best: 0.6519566 (39)	total: 2m 42s	remaining: 7m 25s
134:	test: 0.6516347	best: 0.6519566 (39)	total: 2m 44s	remaining: 7m 25s
135:	test: 0.6516420	best: 0.6519566 (39)	total: 2m 46s	remaining: 7m 25s
136:	test: 0.6514630	best: 0.6519566 (39)	total: 2m 47s	remaining: 7m 24s
137:	test: 0.6514781	best: 0.6519566 (39)	total: 2m 49s	remaining: 7m 24s
138:	test: 0.6514767	best: 0.6519566 (39)	total: 2m 51s	remaining: 7m 25s
139:	test: 0.6514765	best: 0.6519566 (39)	total: 2m 52s	remaining: 7m 24s
140:	test: 0.6514260	best: 0.6519566 (39)	total: 2m 54s	remaining: 7m 23s
141:	test: 0.6514259	best: 0.6519566 (39)	total: 2m 56s	remaining: 7m 24s
142:	test: 0.6514516	best: 0.6519566 (39)	total: 2m 58s	remaining: 7m 24s
143:	test: 0.6514509	best: 0.6519566 (39)	total: 3m	remaining: 7m 25s
144:	test: 0.6507456	best: 0.6519566 (39)	total: 3m 2s	remaining: 7m 25s
145:	test: 0.6507618	best: 0.6519566 (39)	total: 3m 3s	remaining: 7m 25s
146:	test: 0.6507547	best: 0.6519566 (39)	total: 3m 5s	remaining: 7m 26s
147:	test: 0.6502963	best: 0.6519566 (39)	total: 3m 7s	remaining: 7m 26s
148:	test: 0.6502962	best: 0.6519566 (39)	total: 3m 9s	remaining: 7m 26s
149:	test: 0.6502595	best: 0.6519566 (39)	total: 3m 11s	remaining: 7m 27s
150:	test: 0.6502597	best: 0.6519566 (39)	total: 3m 13s	remaining: 7m 26s
151:	test: 0.6502590	best: 0.6519566 (39)	total: 3m 14s	remaining: 7m 25s
152:	test: 0.6503511	best: 0.6519566 (39)	total: 3m 16s	remaining: 7m 25s
153:	test: 0.6503507	best: 0.6519566 (39)	total: 3m 18s	remaining: 7m 25s
154:	test: 0.6503497	best: 0.6519566 (39)	total: 3m 20s	remaining: 7m 25s
155:	test: 0.6503690	best: 0.6519566 (39)	total: 3m 22s	remaining: 7m 25s
156:	test: 0.6503678	best: 0.6519566 (39)	total: 3m 23s	remaining: 7m 24s
157:	test: 0.6498363	best: 0.6519566 (39)	total: 3m 25s	remaining: 7m 25s
158:	test: 0.6499978	best: 0.6519566 (39)	total: 3m 27s	remaining: 7m 25s
159:	test: 0.6505864	best: 0.6519566 (39)	total: 3m 30s	remaining: 7m 26s
160:	test: 0.6505974	best: 0.6519566 (39)	total: 3m 32s	remaining: 7m 26s
161:	test: 0.6505980	best: 0.6519566 (39)	total: 3m 34s	remaining: 7m 26s
162:	test: 0.6507931	best: 0.6519566 (39)	total: 3m 35s	remaining: 7m 26s
163:	test: 0.6507888	best: 0.6519566 (39)	total: 3m 38s	remaining: 7m 26s
164:	test: 0.6507882	best: 0.6519566 (39)	total: 3m 39s	remaining: 7m 26s
165:	test: 0.6509714	best: 0.6519566 (39)	total: 3m 41s	remaining: 7m 25s
166:	test: 0.6509673	best: 0.6519566 (39)	total: 3m 43s	remaining: 7m 24s
167:	test: 0.6510476	best: 0.6519566 (39)	total: 3m 44s	remaining: 7m 23s
168:	test: 0.6510468	best: 0.6519566 (39)	total: 3m 46s	remaining: 7m 23s
169:	test: 0.6510482	best: 0.6519566 (39)	total: 3m 48s	remaining: 7m 24s
170:	test: 0.6504793	best: 0.6519566 (39)	total: 3m 50s	remaining: 7m 23s
171:	test: 0.6504856	best: 0.6519566 (39)	total: 3m 52s	remaining: 7m 23s
172:	test: 0.6676970	best: 0.6676970 (172)	total: 3m 54s	remaining: 7m 23s
173:	test: 0.6671246	best: 0.6676970 (172)	total: 3m 56s	remaining: 7m 23s
174:	test: 0.6671206	best: 0.6676970 (172)	total: 3m 57s	remaining: 7m 21s
175:	test: 0.6671185	best: 0.6676970 (172)	total: 3m 59s	remaining: 7m 21s
176:	test: 0.6673976	best: 0.6676970 (172)	total: 4m 1s	remaining: 7m 21s
177:	test: 0.6674092	best: 0.6676970 (172)	total: 4m 3s	remaining: 7m 19s
178:	test: 0.6671530	best: 0.6676970 (172)	total: 4m 5s	remaining: 7m 20s
179:	test: 0.6701262	best: 0.6701262 (179)	total: 4m 7s	remaining: 7m 19s
