185:	learn: 0.4916069	total: 7m 25s	remaining: 12m 31s
186:	learn: 0.4914849	total: 7m 27s	remaining: 12m 29s
187:	learn: 0.4913445	total: 7m 31s	remaining: 12m 28s
188:	learn: 0.4912489	total: 7m 33s	remaining: 12m 26s
189:	learn: 0.4911594	total: 7m 35s	remaining: 12m 23s
190:	learn: 0.4910268	total: 7m 38s	remaining: 12m 21s
191:	learn: 0.4909322	total: 7m 40s	remaining: 12m 18s
192:	learn: 0.4908429	total: 7m 43s	remaining: 12m 16s
193:	learn: 0.4907698	total: 7m 45s	remaining: 12m 13s
194:	learn: 0.4906496	total: 7m 47s	remaining: 12m 10s
195:	learn: 0.4905315	total: 7m 49s	remaining: 12m 8s
196:	learn: 0.4904695	total: 7m 51s	remaining: 12m 4s
197:	learn: 0.4904079	total: 7m 53s	remaining: 12m 1s
198:	learn: 0.4903225	total: 7m 55s	remaining: 11m 59s
199:	learn: 0.4902481	total: 7m 57s	remaining: 11m 56s
200:	learn: 0.4901406	total: 7m 59s	remaining: 11m 53s
201:	learn: 0.4900622	total: 8m 3s	remaining: 11m 52s
202:	learn: 0.4899866	total: 8m 5s	remaining: 11m 50s
203:	learn: 0.4898739	total: 8m 7s	remaining: 11m 47s
204:	learn: 0.4897798	total: 8m 10s	remaining: 11m 46s
205:	learn: 0.4897080	total: 8m 12s	remaining: 11m 42s
206:	learn: 0.4896220	total: 8m 15s	remaining: 11m 40s
207:	learn: 0.4895084	total: 8m 17s	remaining: 11m 37s
208:	learn: 0.4894364	total: 8m 18s	remaining: 11m 34s
209:	learn: 0.4893007	total: 8m 20s	remaining: 11m 31s
210:	learn: 0.4892240	total: 8m 23s	remaining: 11m 29s
211:	learn: 0.4891226	total: 8m 26s	remaining: 11m 28s
212:	learn: 0.4890457	total: 8m 28s	remaining: 11m 25s
213:	learn: 0.4889651	total: 8m 30s	remaining: 11m 22s
214:	learn: 0.4888495	total: 8m 32s	remaining: 11m 19s
215:	learn: 0.4887471	total: 8m 34s	remaining: 11m 17s
216:	learn: 0.4886666	total: 8m 37s	remaining: 11m 15s
217:	learn: 0.4885385	total: 8m 40s	remaining: 11m 13s
218:	learn: 0.4884624	total: 8m 42s	remaining: 11m 11s
219:	learn: 0.4884059	total: 8m 45s	remaining: 11m 8s
220:	learn: 0.4883212	total: 8m 48s	remaining: 11m 7s
221:	learn: 0.4882306	total: 8m 50s	remaining: 11m 4s
222:	learn: 0.4881331	total: 8m 52s	remaining: 11m 1s
223:	learn: 0.4880111	total: 8m 56s	remaining: 11m 1s
224:	learn: 0.4879413	total: 8m 58s	remaining: 10m 58s
225:	learn: 0.4878355	total: 9m 1s	remaining: 10m 56s
226:	learn: 0.4877321	total: 9m 3s	remaining: 10m 53s
227:	learn: 0.4876695	total: 9m 5s	remaining: 10m 50s
228:	learn: 0.4876030	total: 9m 7s	remaining: 10m 47s
229:	learn: 0.4875013	total: 9m 9s	remaining: 10m 45s
230:	learn: 0.4874079	total: 9m 12s	remaining: 10m 42s
231:	learn: 0.4873356	total: 9m 14s	remaining: 10m 40s
232:	learn: 0.4872508	total: 9m 17s	remaining: 10m 38s
233:	learn: 0.4871812	total: 9m 19s	remaining: 10m 36s
234:	learn: 0.4870757	total: 9m 21s	remaining: 10m 33s
235:	learn: 0.4869993	total: 9m 24s	remaining: 10m 31s
236:	learn: 0.4869438	total: 9m 26s	remaining: 10m 29s
237:	learn: 0.4868698	total: 9m 29s	remaining: 10m 26s
238:	learn: 0.4867708	total: 9m 31s	remaining: 10m 24s
239:	learn: 0.4866620	total: 9m 34s	remaining: 10m 22s
240:	learn: 0.4866030	total: 9m 35s	remaining: 10m 18s
241:	learn: 0.4865399	total: 9m 38s	remaining: 10m 16s
242:	learn: 0.4865050	total: 9m 40s	remaining: 10m 13s
