218:	learn: 0.0312657	total: 5m 8s	remaining: 6m 36s
219:	learn: 0.0312626	total: 5m 10s	remaining: 6m 34s
220:	learn: 0.0312534	total: 5m 12s	remaining: 6m 34s
221:	learn: 0.0312471	total: 5m 15s	remaining: 6m 35s
222:	learn: 0.0312341	total: 5m 18s	remaining: 6m 35s
223:	learn: 0.0312189	total: 5m 21s	remaining: 6m 36s
224:	learn: 0.0312108	total: 5m 24s	remaining: 6m 37s
225:	learn: 0.0312059	total: 5m 26s	remaining: 6m 36s
226:	learn: 0.0311936	total: 5m 29s	remaining: 6m 36s
227:	learn: 0.0311911	total: 5m 31s	remaining: 6m 35s
228:	learn: 0.0311803	total: 5m 34s	remaining: 6m 36s
229:	learn: 0.0311688	total: 5m 37s	remaining: 6m 36s
230:	learn: 0.0311570	total: 5m 40s	remaining: 6m 36s
231:	learn: 0.0311554	total: 5m 42s	remaining: 6m 36s
232:	learn: 0.0311444	total: 5m 45s	remaining: 6m 36s
233:	learn: 0.0311381	total: 5m 48s	remaining: 6m 36s
234:	learn: 0.0311340	total: 5m 50s	remaining: 6m 35s
235:	learn: 0.0311228	total: 5m 53s	remaining: 6m 34s
236:	learn: 0.0311142	total: 5m 55s	remaining: 6m 34s
237:	learn: 0.0311118	total: 5m 58s	remaining: 6m 34s
238:	learn: 0.0311024	total: 6m 1s	remaining: 6m 34s
239:	learn: 0.0310978	total: 6m 4s	remaining: 6m 34s
240:	learn: 0.0310891	total: 6m 6s	remaining: 6m 33s
241:	learn: 0.0310867	total: 6m 8s	remaining: 6m 32s
242:	learn: 0.0310803	total: 6m 11s	remaining: 6m 32s
243:	learn: 0.0310677	total: 6m 13s	remaining: 6m 31s
244:	learn: 0.0310640	total: 6m 16s	remaining: 6m 32s
245:	learn: 0.0310557	total: 6m 19s	remaining: 6m 31s
246:	learn: 0.0310464	total: 6m 21s	remaining: 6m 30s
247:	learn: 0.0310432	total: 6m 23s	remaining: 6m 29s
248:	learn: 0.0310336	total: 6m 27s	remaining: 6m 30s
249:	learn: 0.0310307	total: 6m 29s	remaining: 6m 29s
250:	learn: 0.0310264	total: 6m 31s	remaining: 6m 28s
251:	learn: 0.0310183	total: 6m 33s	remaining: 6m 27s
252:	learn: 0.0310148	total: 6m 35s	remaining: 6m 26s
253:	learn: 0.0310067	total: 6m 38s	remaining: 6m 25s
254:	learn: 0.0309985	total: 6m 40s	remaining: 6m 24s
255:	learn: 0.0309939	total: 6m 43s	remaining: 6m 24s
256:	learn: 0.0309920	total: 6m 45s	remaining: 6m 23s
257:	learn: 0.0309812	total: 6m 47s	remaining: 6m 22s
258:	learn: 0.0309785	total: 6m 48s	remaining: 6m 20s
259:	learn: 0.0309765	total: 6m 51s	remaining: 6m 19s
260:	learn: 0.0309683	total: 6m 53s	remaining: 6m 18s
261:	learn: 0.0309595	total: 6m 55s	remaining: 6m 17s
262:	learn: 0.0309541	total: 6m 57s	remaining: 6m 16s
263:	learn: 0.0309461	total: 7m	remaining: 6m 15s
264:	learn: 0.0309446	total: 7m 2s	remaining: 6m 14s
265:	learn: 0.0309344	total: 7m 4s	remaining: 6m 13s
266:	learn: 0.0309315	total: 7m 6s	remaining: 6m 12s
267:	learn: 0.0309293	total: 7m 7s	remaining: 6m 10s
268:	learn: 0.0309246	total: 7m 10s	remaining: 6m 9s
269:	learn: 0.0309166	total: 7m 11s	remaining: 6m 7s
270:	learn: 0.0309135	total: 7m 13s	remaining: 6m 6s
271:	learn: 0.0309102	total: 7m 15s	remaining: 6m 4s
272:	learn: 0.0309046	total: 7m 17s	remaining: 6m 3s
273:	learn: 0.0308995	total: 7m 18s	remaining: 6m 2s
274:	learn: 0.0308903	total: 7m 21s	remaining: 6m
275:	learn: 0.0308877	total: 7m 23s	remaining: 5m 59s
276:	learn: 0.0308828	total: 7m 25s	remaining: 5m 58s
277:	learn: 0.0308814	total: 7m 27s	remaining: 5m 57s
278:	learn: 0.0308718	total: 7m 29s	remaining: 5m 56s
279:	learn: 0.0308694	total: 7m 30s	remaining: 5m 54s
280:	learn: 0.0308594	total: 7m 32s	remaining: 5m 52s
281:	learn: 0.0308564	total: 7m 35s	remaining: 5m 52s
282:	learn: 0.0308540	total: 7m 37s	remaining: 5m 50s
283:	learn: 0.0308518	total: 7m 39s	remaining: 5m 49s
284:	learn: 0.0308433	total: 7m 42s	remaining: 5m 49s
285:	learn: 0.0308391	total: 7m 44s	remaining: 5m 47s
286:	learn: 0.0308352	total: 7m 47s	remaining: 5m 46s
287:	learn: 0.0308283	total: 7m 49s	remaining: 5m 45s
288:	learn: 0.0308255	total: 7m 51s	remaining: 5m 44s
289:	learn: 0.0308211	total: 7m 53s	remaining: 5m 43s
290:	learn: 0.0308148	total: 7m 56s	remaining: 5m 42s
291:	learn: 0.0308101	total: 7m 59s	remaining: 5m 41s
292:	learn: 0.0308079	total: 8m	remaining: 5m 39s
293:	learn: 0.0308051	total: 8m 3s	remaining: 5m 38s
294:	learn: 0.0307964	total: 8m 6s	remaining: 5m 37s
295:	learn: 0.0307941	total: 8m 8s	remaining: 5m 36s
