146:	learn: 0.0327889	total: 2m 49s	remaining: 6m 46s
147:	learn: 0.0327436	total: 2m 51s	remaining: 6m 46s
148:	learn: 0.0326948	total: 2m 52s	remaining: 6m 47s
149:	learn: 0.0326539	total: 2m 54s	remaining: 6m 47s
150:	learn: 0.0326153	total: 2m 56s	remaining: 6m 46s
151:	learn: 0.0325841	total: 2m 56s	remaining: 6m 44s
152:	learn: 0.0325467	total: 2m 58s	remaining: 6m 44s
153:	learn: 0.0325057	total: 3m	remaining: 6m 44s
154:	learn: 0.0324744	total: 3m 1s	remaining: 6m 44s
155:	learn: 0.0324384	total: 3m 3s	remaining: 6m 44s
156:	learn: 0.0324053	total: 3m 5s	remaining: 6m 44s
157:	learn: 0.0323784	total: 3m 6s	remaining: 6m 42s
158:	learn: 0.0323471	total: 3m 7s	remaining: 6m 41s
159:	learn: 0.0323187	total: 3m 8s	remaining: 6m 41s
160:	learn: 0.0322872	total: 3m 10s	remaining: 6m 41s
161:	learn: 0.0322565	total: 3m 12s	remaining: 6m 41s
162:	learn: 0.0322259	total: 3m 14s	remaining: 6m 41s
163:	learn: 0.0321984	total: 3m 16s	remaining: 6m 41s
164:	learn: 0.0321778	total: 3m 17s	remaining: 6m 40s
165:	learn: 0.0321498	total: 3m 19s	remaining: 6m 40s
166:	learn: 0.0321212	total: 3m 21s	remaining: 6m 40s
167:	learn: 0.0320963	total: 3m 23s	remaining: 6m 41s
168:	learn: 0.0320754	total: 3m 25s	remaining: 6m 41s
169:	learn: 0.0320484	total: 3m 27s	remaining: 6m 41s
170:	learn: 0.0320292	total: 3m 28s	remaining: 6m 41s
171:	learn: 0.0320045	total: 3m 30s	remaining: 6m 42s
172:	learn: 0.0319802	total: 3m 32s	remaining: 6m 42s
173:	learn: 0.0319519	total: 3m 34s	remaining: 6m 42s
174:	learn: 0.0319244	total: 3m 36s	remaining: 6m 42s
175:	learn: 0.0319028	total: 3m 37s	remaining: 6m 41s
176:	learn: 0.0318858	total: 3m 40s	remaining: 6m 41s
177:	learn: 0.0318589	total: 3m 41s	remaining: 6m 41s
178:	learn: 0.0318340	total: 3m 43s	remaining: 6m 41s
179:	learn: 0.0318155	total: 3m 44s	remaining: 6m 39s
180:	learn: 0.0317988	total: 3m 46s	remaining: 6m 39s
181:	learn: 0.0317738	total: 3m 48s	remaining: 6m 39s
182:	learn: 0.0317624	total: 3m 49s	remaining: 6m 37s
183:	learn: 0.0317474	total: 3m 51s	remaining: 6m 37s
184:	learn: 0.0317244	total: 3m 53s	remaining: 6m 36s
185:	learn: 0.0317125	total: 3m 54s	remaining: 6m 36s
186:	learn: 0.0316993	total: 3m 56s	remaining: 6m 35s
187:	learn: 0.0316783	total: 3m 58s	remaining: 6m 35s
188:	learn: 0.0316629	total: 3m 59s	remaining: 6m 34s
189:	learn: 0.0316390	total: 4m 1s	remaining: 6m 34s
190:	learn: 0.0316215	total: 4m 4s	remaining: 6m 35s
191:	learn: 0.0316090	total: 4m 5s	remaining: 6m 34s
192:	learn: 0.0315963	total: 4m 8s	remaining: 6m 34s
193:	learn: 0.0315805	total: 4m 9s	remaining: 6m 34s
194:	learn: 0.0315585	total: 4m 12s	remaining: 6m 35s
195:	learn: 0.0315461	total: 4m 14s	remaining: 6m 35s
196:	learn: 0.0315403	total: 4m 16s	remaining: 6m 35s
197:	learn: 0.0315201	total: 4m 18s	remaining: 6m 34s
198:	learn: 0.0315047	total: 4m 20s	remaining: 6m 34s
199:	learn: 0.0314938	total: 4m 22s	remaining: 6m 34s
200:	learn: 0.0314778	total: 4m 24s	remaining: 6m 34s
201:	learn: 0.0314692	total: 4m 26s	remaining: 6m 32s
202:	learn: 0.0314583	total: 4m 28s	remaining: 6m 32s
203:	learn: 0.0314429	total: 4m 30s	remaining: 6m 32s
204:	learn: 0.0314316	total: 4m 32s	remaining: 6m 31s
205:	learn: 0.0314123	total: 4m 34s	remaining: 6m 32s
206:	learn: 0.0314076	total: 4m 36s	remaining: 6m 30s
207:	learn: 0.0313945	total: 4m 38s	remaining: 6m 30s
208:	learn: 0.0313805	total: 4m 40s	remaining: 6m 30s
209:	learn: 0.0313712	total: 4m 41s	remaining: 6m 29s
210:	learn: 0.0313595	total: 4m 44s	remaining: 6m 29s
211:	learn: 0.0313504	total: 4m 45s	remaining: 6m 27s
212:	learn: 0.0313462	total: 4m 47s	remaining: 6m 27s
213:	learn: 0.0313281	total: 4m 49s	remaining: 6m 27s
214:	learn: 0.0313217	total: 4m 51s	remaining: 6m 26s
215:	learn: 0.0313096	total: 4m 53s	remaining: 6m 26s
216:	learn: 0.0313012	total: 4m 55s	remaining: 6m 25s
217:	learn: 0.0312880	total: 4m 58s	remaining: 6m 26s
218:	learn: 0.0312760	total: 5m	remaining: 6m 25s
219:	learn: 0.0312721	total: 5m 2s	remaining: 6m 24s
220:	learn: 0.0312563	total: 5m 4s	remaining: 6m 24s
221:	learn: 0.0312510	total: 5m 7s	remaining: 6m 24s
222:	learn: 0.0312385	total: 5m 9s	remaining: 6m 24s
223:	learn: 0.0312266	total: 5m 12s	remaining: 6m 24s
224:	learn: 0.0312156	total: 5m 15s	remaining: 6m 25s
225:	learn: 0.0312129	total: 5m 16s	remaining: 6m 24s
226:	learn: 0.0312007	total: 5m 19s	remaining: 6m 24s
227:	learn: 0.0311910	total: 5m 21s	remaining: 6m 23s
228:	learn: 0.0311805	total: 5m 24s	remaining: 6m 23s
229:	learn: 0.0311766	total: 5m 26s	remaining: 6m 22s
230:	learn: 0.0311657	total: 5m 28s	remaining: 6m 22s
231:	learn: 0.0311560	total: 5m 30s	remaining: 6m 22s
232:	learn: 0.0311530	total: 5m 32s	remaining: 6m 20s
233:	learn: 0.0311435	total: 5m 34s	remaining: 6m 20s
234:	learn: 0.0311347	total: 5m 37s	remaining: 6m 20s
235:	learn: 0.0311316	total: 5m 38s	remaining: 6m 19s
236:	learn: 0.0311223	total: 5m 40s	remaining: 6m 18s
237:	learn: 0.0311103	total: 5m 43s	remaining: 6m 18s
238:	learn: 0.0311098	total: 5m 45s	remaining: 6m 17s
239:	learn: 0.0310995	total: 5m 48s	remaining: 6m 17s
240:	learn: 0.0310885	total: 5m 51s	remaining: 6m 17s
241:	learn: 0.0310848	total: 5m 53s	remaining: 6m 16s
242:	learn: 0.0310768	total: 5m 54s	remaining: 6m 15s
243:	learn: 0.0310682	total: 5m 56s	remaining: 6m 14s
244:	learn: 0.0310657	total: 5m 59s	remaining: 6m 13s
245:	learn: 0.0310569	total: 6m 1s	remaining: 6m 13s
246:	learn: 0.0310561	total: 6m 3s	remaining: 6m 12s
247:	learn: 0.0310449	total: 6m 5s	remaining: 6m 11s
248:	learn: 0.0310410	total: 6m 7s	remaining: 6m 10s
249:	learn: 0.0310344	total: 6m 9s	remaining: 6m 9s
250:	learn: 0.0310286	total: 6m 12s	remaining: 6m 9s
251:	learn: 0.0310206	total: 6m 14s	remaining: 6m 8s
252:	learn: 0.0310096	total: 6m 16s	remaining: 6m 7s
253:	learn: 0.0310068	total: 6m 17s	remaining: 6m 5s
254:	learn: 0.0309978	total: 6m 20s	remaining: 6m 5s
255:	learn: 0.0309961	total: 6m 21s	remaining: 6m 4s
256:	learn: 0.0309923	total: 6m 23s	remaining: 6m 2s
257:	learn: 0.0309829	total: 6m 25s	remaining: 6m 1s
258:	learn: 0.0309787	total: 6m 27s	remaining: 6m
259:	learn: 0.0309730	total: 6m 28s	remaining: 5m 58s
260:	learn: 0.0309683	total: 6m 30s	remaining: 5m 57s
261:	learn: 0.0309599	total: 6m 32s	remaining: 5m 56s
262:	learn: 0.0309502	total: 6m 35s	remaining: 5m 56s
263:	learn: 0.0309468	total: 6m 37s	remaining: 5m 55s
264:	learn: 0.0309447	total: 6m 39s	remaining: 5m 54s
265:	learn: 0.0309343	total: 6m 41s	remaining: 5m 53s
266:	learn: 0.0309304	total: 6m 44s	remaining: 5m 52s
267:	learn: 0.0309244	total: 6m 47s	remaining: 5m 52s
268:	learn: 0.0309191	total: 6m 49s	remaining: 5m 51s
269:	learn: 0.0309193	total: 6m 51s	remaining: 5m 50s
270:	learn: 0.0309087	total: 6m 53s	remaining: 5m 49s
271:	learn: 0.0309065	total: 6m 55s	remaining: 5m 48s
272:	learn: 0.0309028	total: 6m 57s	remaining: 5m 46s
273:	learn: 0.0308967	total: 6m 59s	remaining: 5m 45s
274:	learn: 0.0308925	total: 7m 1s	remaining: 5m 44s
275:	learn: 0.0308900	total: 7m 3s	remaining: 5m 44s
276:	learn: 0.0308816	total: 7m 5s	remaining: 5m 42s
277:	learn: 0.0308766	total: 7m 7s	remaining: 5m 41s
278:	learn: 0.0308695	total: 7m 10s	remaining: 5m 40s
279:	learn: 0.0308656	total: 7m 12s	remaining: 5m 39s
280:	learn: 0.0308633	total: 7m 14s	remaining: 5m 38s
281:	learn: 0.0308571	total: 7m 17s	remaining: 5m 37s
282:	learn: 0.0308524	total: 7m 18s	remaining: 5m 36s
283:	learn: 0.0308514	total: 7m 20s	remaining: 5m 35s
284:	learn: 0.0308464	total: 7m 23s	remaining: 5m 34s
285:	learn: 0.0308380	total: 7m 25s	remaining: 5m 33s
286:	learn: 0.0308345	total: 7m 27s	remaining: 5m 32s
287:	learn: 0.0308318	total: 7m 30s	remaining: 5m 31s
288:	learn: 0.0308282	total: 7m 32s	remaining: 5m 30s
289:	learn: 0.0308239	total: 7m 35s	remaining: 5m 29s
290:	learn: 0.0308178	total: 7m 37s	remaining: 5m 28s
291:	learn: 0.0308126	total: 7m 39s	remaining: 5m 27s
292:	learn: 0.0308086	total: 7m 42s	remaining: 5m 26s
293:	learn: 0.0308033	total: 7m 44s	remaining: 5m 25s
294:	learn: 0.0307988	total: 7m 46s	remaining: 5m 24s
295:	learn: 0.0307959	total: 7m 48s	remaining: 5m 22s
296:	learn: 0.0307917	total: 7m 51s	remaining: 5m 22s
297:	learn: 0.0307850	total: 7m 54s	remaining: 5m 21s
298:	learn: 0.0307816	total: 7m 56s	remaining: 5m 20s
299:	learn: 0.0307784	total: 7m 58s	remaining: 5m 19s
300:	learn: 0.0307760	total: 8m	remaining: 5m 17s
301:	learn: 0.0307719	total: 8m 3s	remaining: 5m 16s
302:	learn: 0.0307655	total: 8m 5s	remaining: 5m 15s
303:	learn: 0.0307629	total: 8m 7s	remaining: 5m 14s
304:	learn: 0.0307582	total: 8m 9s	remaining: 5m 12s
305:	learn: 0.0307555	total: 8m 11s	remaining: 5m 11s
306:	learn: 0.0307482	total: 8m 14s	remaining: 5m 10s
307:	learn: 0.0307467	total: 8m 16s	remaining: 5m 9s
308:	learn: 0.0307437	total: 8m 18s	remaining: 5m 8s
309:	learn: 0.0307418	total: 8m 20s	remaining: 5m 6s
310:	learn: 0.0307338	total: 8m 23s	remaining: 5m 5s
311:	learn: 0.0307314	total: 8m 25s	remaining: 5m 4s
312:	learn: 0.0307265	total: 8m 28s	remaining: 5m 4s
313:	learn: 0.0307239	total: 8m 31s	remaining: 5m 2s
314:	learn: 0.0307188	total: 8m 33s	remaining: 5m 1s
315:	learn: 0.0307162	total: 8m 37s	remaining: 5m 1s
316:	learn: 0.0307084	total: 8m 38s	remaining: 4m 59s
317:	learn: 0.0307047	total: 8m 42s	remaining: 4m 58s
318:	learn: 0.0307000	total: 8m 44s	remaining: 4m 57s
319:	learn: 0.0306983	total: 8m 46s	remaining: 4m 56s
320:	learn: 0.0306948	total: 8m 49s	remaining: 4m 55s
321:	learn: 0.0306893	total: 8m 51s	remaining: 4m 53s
322:	learn: 0.0306876	total: 8m 53s	remaining: 4m 52s
323:	learn: 0.0306834	total: 8m 55s	remaining: 4m 51s
324:	learn: 0.0306791	total: 8m 58s	remaining: 4m 50s
325:	learn: 0.0306770	total: 9m	remaining: 4m 48s
326:	learn: 0.0306745	total: 9m 2s	remaining: 4m 46s
327:	learn: 0.0306689	total: 9m 6s	remaining: 4m 46s
328:	learn: 0.0306659	total: 9m 8s	remaining: 4m 44s
