326:	learn: 0.4442260	total: 1h 27m 51s	remaining: 46m 28s
327:	learn: 0.4442042	total: 1h 28m 8s	remaining: 46m 13s
328:	learn: 0.4441826	total: 1h 28m 23s	remaining: 45m 56s
329:	learn: 0.4441687	total: 1h 28m 36s	remaining: 45m 39s
330:	learn: 0.4441452	total: 1h 29m 1s	remaining: 45m 27s
331:	learn: 0.4441308	total: 1h 29m 13s	remaining: 45m 9s
332:	learn: 0.4441098	total: 1h 29m 32s	remaining: 44m 54s
333:	learn: 0.4440829	total: 1h 29m 49s	remaining: 44m 38s
334:	learn: 0.4440672	total: 1h 30m 9s	remaining: 44m 24s
335:	learn: 0.4440513	total: 1h 30m 25s	remaining: 44m 8s
336:	learn: 0.4440327	total: 1h 30m 44s	remaining: 43m 53s
337:	learn: 0.4440202	total: 1h 31m 3s	remaining: 43m 38s
338:	learn: 0.4439945	total: 1h 31m 25s	remaining: 43m 25s
339:	learn: 0.4439819	total: 1h 31m 35s	remaining: 43m 5s
340:	learn: 0.4439692	total: 1h 31m 44s	remaining: 42m 46s
341:	learn: 0.4439520	total: 1h 32m 1s	remaining: 42m 30s
342:	learn: 0.4439316	total: 1h 32m 13s	remaining: 42m 13s
343:	learn: 0.4438992	total: 1h 32m 36s	remaining: 41m 59s
344:	learn: 0.4438820	total: 1h 32m 51s	remaining: 41m 43s
345:	learn: 0.4438593	total: 1h 33m 4s	remaining: 41m 25s
346:	learn: 0.4438407	total: 1h 33m 21s	remaining: 41m 9s
347:	learn: 0.4438184	total: 1h 33m 34s	remaining: 40m 52s
348:	learn: 0.4437994	total: 1h 33m 49s	remaining: 40m 35s
349:	learn: 0.4437860	total: 1h 34m 3s	remaining: 40m 18s
350:	learn: 0.4437753	total: 1h 34m 12s	remaining: 39m 59s
351:	learn: 0.4437608	total: 1h 34m 33s	remaining: 39m 45s
352:	learn: 0.4437436	total: 1h 34m 54s	remaining: 39m 31s
353:	learn: 0.4437273	total: 1h 35m 13s	remaining: 39m 16s
354:	learn: 0.4437137	total: 1h 35m 31s	remaining: 39m
355:	learn: 0.4436906	total: 1h 35m 44s	remaining: 38m 43s
356:	learn: 0.4436643	total: 1h 36m 4s	remaining: 38m 29s
357:	learn: 0.4436415	total: 1h 36m 18s	remaining: 38m 12s
358:	learn: 0.4436309	total: 1h 36m 27s	remaining: 37m 53s
359:	learn: 0.4436139	total: 1h 36m 48s	remaining: 37m 38s
360:	learn: 0.4435948	total: 1h 37m 6s	remaining: 37m 23s
361:	learn: 0.4435763	total: 1h 37m 25s	remaining: 37m 8s
362:	learn: 0.4435597	total: 1h 37m 42s	remaining: 36m 52s
363:	learn: 0.4435440	total: 1h 37m 55s	remaining: 36m 35s
364:	learn: 0.4435287	total: 1h 38m 7s	remaining: 36m 17s
365:	learn: 0.4435141	total: 1h 38m 25s	remaining: 36m 2s
366:	learn: 0.4435035	total: 1h 38m 34s	remaining: 35m 43s
367:	learn: 0.4434849	total: 1h 38m 49s	remaining: 35m 26s
368:	learn: 0.4434704	total: 1h 39m 5s	remaining: 35m 10s
369:	learn: 0.4434521	total: 1h 39m 24s	remaining: 34m 55s
370:	learn: 0.4434283	total: 1h 39m 43s	remaining: 34m 40s
371:	learn: 0.4434045	total: 1h 40m 1s	remaining: 34m 25s
372:	learn: 0.4433903	total: 1h 40m 16s	remaining: 34m 8s
373:	learn: 0.4433699	total: 1h 40m 32s	remaining: 33m 52s
374:	learn: 0.4433509	total: 1h 40m 48s	remaining: 33m 36s
375:	learn: 0.4433375	total: 1h 41m 1s	remaining: 33m 18s
376:	learn: 0.4433244	total: 1h 41m 12s	remaining: 33m 1s
377:	learn: 0.4433008	total: 1h 41m 30s	remaining: 32m 45s
378:	learn: 0.4432887	total: 1h 41m 43s	remaining: 32m 28s
379:	learn: 0.4432686	total: 1h 42m 5s	remaining: 32m 14s
380:	learn: 0.4432513	total: 1h 42m 21s	remaining: 31m 58s
381:	learn: 0.4432344	total: 1h 42m 39s	remaining: 31m 42s
382:	learn: 0.4432102	total: 1h 42m 49s	remaining: 31m 24s
383:	learn: 0.4431931	total: 1h 43m 4s	remaining: 31m 8s
384:	learn: 0.4431785	total: 1h 43m 17s	remaining: 30m 51s
385:	learn: 0.4431620	total: 1h 43m 28s	remaining: 30m 33s
