247:	total: 7m 25s	remaining: 7m 33s
248:	total: 7m 27s	remaining: 7m 30s
249:	total: 7m 29s	remaining: 7m 29s
250:	total: 7m 30s	remaining: 7m 26s
251:	total: 7m 32s	remaining: 7m 25s
252:	total: 7m 33s	remaining: 7m 22s
253:	total: 7m 35s	remaining: 7m 20s
254:	total: 7m 36s	remaining: 7m 18s
255:	total: 7m 38s	remaining: 7m 16s
256:	total: 7m 39s	remaining: 7m 14s
257:	total: 7m 41s	remaining: 7m 12s
258:	total: 7m 42s	remaining: 7m 10s
259:	total: 7m 45s	remaining: 7m 9s
260:	total: 7m 46s	remaining: 7m 7s
261:	total: 7m 49s	remaining: 7m 6s
262:	total: 7m 51s	remaining: 7m 4s
263:	total: 7m 52s	remaining: 7m 2s
264:	total: 7m 54s	remaining: 7m
265:	total: 7m 56s	remaining: 6m 59s
266:	total: 7m 58s	remaining: 6m 57s
267:	total: 8m 1s	remaining: 6m 56s
268:	total: 8m 3s	remaining: 6m 55s
269:	total: 8m 5s	remaining: 6m 53s
270:	total: 8m 6s	remaining: 6m 51s
271:	total: 8m 8s	remaining: 6m 49s
272:	total: 8m 10s	remaining: 6m 48s
273:	total: 8m 12s	remaining: 6m 46s
274:	total: 8m 14s	remaining: 6m 44s
275:	total: 8m 16s	remaining: 6m 42s
276:	total: 8m 17s	remaining: 6m 40s
277:	total: 8m 19s	remaining: 6m 38s
278:	total: 8m 20s	remaining: 6m 36s
279:	total: 8m 23s	remaining: 6m 35s
280:	total: 8m 24s	remaining: 6m 33s
281:	total: 8m 26s	remaining: 6m 31s
282:	total: 8m 28s	remaining: 6m 29s
283:	total: 8m 29s	remaining: 6m 27s
284:	total: 8m 31s	remaining: 6m 25s
285:	total: 8m 32s	remaining: 6m 23s
286:	total: 8m 34s	remaining: 6m 22s
287:	total: 8m 36s	remaining: 6m 20s
288:	total: 8m 38s	remaining: 6m 18s
289:	total: 8m 40s	remaining: 6m 16s
290:	total: 8m 42s	remaining: 6m 15s
291:	total: 8m 44s	remaining: 6m 13s
292:	total: 8m 45s	remaining: 6m 11s
293:	total: 8m 47s	remaining: 6m 9s
294:	total: 8m 48s	remaining: 6m 7s
295:	total: 8m 50s	remaining: 6m 5s
296:	total: 8m 51s	remaining: 6m 3s
297:	total: 8m 52s	remaining: 6m 1s
298:	total: 8m 54s	remaining: 5m 59s
299:	total: 8m 56s	remaining: 5m 57s
