169:	learn: 0.2319182	total: 8m	remaining: 15m 32s
170:	learn: 0.2311009	total: 8m 3s	remaining: 15m 29s
171:	learn: 0.2303206	total: 8m 5s	remaining: 15m 26s
172:	learn: 0.2295371	total: 8m 8s	remaining: 15m 22s
173:	learn: 0.2287456	total: 8m 10s	remaining: 15m 19s
174:	learn: 0.2279725	total: 8m 13s	remaining: 15m 15s
175:	learn: 0.2271625	total: 8m 16s	remaining: 15m 13s
176:	learn: 0.2263643	total: 8m 18s	remaining: 15m 9s
177:	learn: 0.2255438	total: 8m 21s	remaining: 15m 7s
178:	learn: 0.2247546	total: 8m 24s	remaining: 15m 4s
179:	learn: 0.2239605	total: 8m 26s	remaining: 15m 1s
180:	learn: 0.2231990	total: 8m 29s	remaining: 14m 57s
181:	learn: 0.2224244	total: 8m 32s	remaining: 14m 54s
182:	learn: 0.2216736	total: 8m 34s	remaining: 14m 51s
183:	learn: 0.2209447	total: 8m 37s	remaining: 14m 48s
184:	learn: 0.2201716	total: 8m 39s	remaining: 14m 45s
185:	learn: 0.2194514	total: 8m 42s	remaining: 14m 42s
186:	learn: 0.2187024	total: 8m 44s	remaining: 14m 38s
187:	learn: 0.2180211	total: 8m 47s	remaining: 14m 35s
188:	learn: 0.2172762	total: 8m 50s	remaining: 14m 32s
189:	learn: 0.2165542	total: 8m 52s	remaining: 14m 28s
190:	learn: 0.2158491	total: 8m 55s	remaining: 14m 25s
191:	learn: 0.2151448	total: 8m 57s	remaining: 14m 22s
192:	learn: 0.2144574	total: 9m	remaining: 14m 19s
193:	learn: 0.2137530	total: 9m 2s	remaining: 14m 16s
194:	learn: 0.2130220	total: 9m 5s	remaining: 14m 13s
195:	learn: 0.2123108	total: 9m 7s	remaining: 14m 9s
196:	learn: 0.2116343	total: 9m 10s	remaining: 14m 6s
197:	learn: 0.2109797	total: 9m 12s	remaining: 14m 3s
198:	learn: 0.2102867	total: 9m 15s	remaining: 14m
199:	learn: 0.2095969	total: 9m 17s	remaining: 13m 56s
200:	learn: 0.2089391	total: 9m 20s	remaining: 13m 53s
201:	learn: 0.2082796	total: 9m 22s	remaining: 13m 50s
