166:	learn: 0.0250675	total: 12m 14s	remaining: 24m 24s
167:	learn: 0.0250562	total: 12m 15s	remaining: 24m 14s
168:	learn: 0.0250398	total: 12m 18s	remaining: 24m 5s
169:	learn: 0.0250313	total: 12m 19s	remaining: 23m 56s
170:	learn: 0.0250177	total: 12m 22s	remaining: 23m 48s
171:	learn: 0.0250067	total: 12m 23s	remaining: 23m 38s
172:	learn: 0.0249887	total: 12m 27s	remaining: 23m 32s
173:	learn: 0.0249811	total: 12m 29s	remaining: 23m 23s
174:	learn: 0.0249704	total: 12m 32s	remaining: 23m 17s
175:	learn: 0.0249602	total: 12m 33s	remaining: 23m 7s
176:	learn: 0.0249398	total: 12m 35s	remaining: 22m 59s
177:	learn: 0.0249305	total: 12m 38s	remaining: 22m 52s
178:	learn: 0.0249175	total: 12m 40s	remaining: 22m 44s
179:	learn: 0.0249075	total: 12m 42s	remaining: 22m 34s
180:	learn: 0.0249011	total: 12m 44s	remaining: 22m 27s
181:	learn: 0.0248818	total: 12m 49s	remaining: 22m 25s
182:	learn: 0.0248593	total: 12m 52s	remaining: 22m 18s
183:	learn: 0.0248471	total: 12m 55s	remaining: 22m 11s
184:	learn: 0.0248260	total: 12m 59s	remaining: 22m 7s
185:	learn: 0.0248047	total: 13m 1s	remaining: 21m 59s
186:	learn: 0.0247895	total: 13m 5s	remaining: 21m 55s
187:	learn: 0.0247810	total: 13m 8s	remaining: 21m 47s
188:	learn: 0.0247655	total: 13m 13s	remaining: 21m 45s
189:	learn: 0.0247594	total: 13m 19s	remaining: 21m 44s
190:	learn: 0.0247503	total: 13m 22s	remaining: 21m 37s
191:	learn: 0.0247230	total: 13m 24s	remaining: 21m 30s
192:	learn: 0.0247124	total: 13m 28s	remaining: 21m 25s
193:	learn: 0.0246988	total: 13m 33s	remaining: 21m 22s
194:	learn: 0.0246758	total: 13m 36s	remaining: 21m 17s
195:	learn: 0.0246662	total: 13m 39s	remaining: 21m 10s
196:	learn: 0.0246490	total: 13m 44s	remaining: 21m 7s
197:	learn: 0.0246291	total: 13m 50s	remaining: 21m 6s
198:	learn: 0.0246205	total: 13m 51s	remaining: 20m 57s
199:	learn: 0.0246092	total: 13m 58s	remaining: 20m 57s
200:	learn: 0.0245949	total: 14m 1s	remaining: 20m 52s
201:	learn: 0.0245854	total: 14m 3s	remaining: 20m 43s
202:	learn: 0.0245775	total: 14m 4s	remaining: 20m 35s
203:	learn: 0.0245686	total: 14m 5s	remaining: 20m 27s
204:	learn: 0.0245599	total: 14m 7s	remaining: 20m 19s
205:	learn: 0.0245520	total: 14m 8s	remaining: 20m 11s
206:	learn: 0.0245445	total: 14m 9s	remaining: 20m 3s
207:	learn: 0.0245352	total: 14m 11s	remaining: 19m 54s
208:	learn: 0.0245263	total: 14m 12s	remaining: 19m 46s
209:	learn: 0.0245188	total: 14m 13s	remaining: 19m 38s
210:	learn: 0.0245099	total: 14m 15s	remaining: 19m 31s
211:	learn: 0.0245014	total: 14m 16s	remaining: 19m 23s
212:	learn: 0.0244925	total: 14m 17s	remaining: 19m 15s
213:	learn: 0.0244837	total: 14m 18s	remaining: 19m 7s
214:	learn: 0.0244762	total: 14m 20s	remaining: 19m
215:	learn: 0.0244695	total: 14m 21s	remaining: 18m 52s
216:	learn: 0.0244604	total: 14m 22s	remaining: 18m 45s
217:	learn: 0.0244526	total: 14m 24s	remaining: 18m 38s
218:	learn: 0.0244448	total: 14m 25s	remaining: 18m 30s
219:	learn: 0.0244340	total: 14m 27s	remaining: 18m 24s
220:	learn: 0.0244263	total: 14m 29s	remaining: 18m 17s
221:	learn: 0.0244183	total: 14m 30s	remaining: 18m 10s
222:	learn: 0.0244035	total: 14m 33s	remaining: 18m 4s
223:	learn: 0.0243969	total: 14m 34s	remaining: 17m 57s
224:	learn: 0.0243756	total: 14m 37s	remaining: 17m 52s
225:	learn: 0.0243673	total: 14m 39s	remaining: 17m 46s
226:	learn: 0.0243537	total: 14m 41s	remaining: 17m 39s
227:	learn: 0.0243445	total: 14m 43s	remaining: 17m 33s
228:	learn: 0.0243352	total: 14m 45s	remaining: 17m 27s
229:	learn: 0.0243266	total: 14m 46s	remaining: 17m 20s
230:	learn: 0.0243189	total: 14m 48s	remaining: 17m 14s
231:	learn: 0.0243093	total: 14m 49s	remaining: 17m 7s
232:	learn: 0.0243001	total: 14m 54s	remaining: 17m 4s
233:	learn: 0.0242786	total: 14m 56s	remaining: 16m 58s
234:	learn: 0.0242690	total: 14m 57s	remaining: 16m 52s
235:	learn: 0.0242610	total: 15m 7s	remaining: 16m 54s
236:	learn: 0.0242465	total: 15m 21s	remaining: 17m 2s
237:	learn: 0.0242346	total: 15m 23s	remaining: 16m 57s
238:	learn: 0.0242029	total: 15m 27s	remaining: 16m 52s
239:	learn: 0.0241942	total: 15m 28s	remaining: 16m 46s
240:	learn: 0.0241848	total: 15m 30s	remaining: 16m 39s
241:	learn: 0.0241738	total: 15m 36s	remaining: 16m 38s
242:	learn: 0.0241685	total: 15m 38s	remaining: 16m 32s
