180:	learn: 0.0309957	total: 7.92s	remaining: 14s
181:	learn: 0.0309760	total: 7.98s	remaining: 13.9s
182:	learn: 0.0309589	total: 8.03s	remaining: 13.9s
183:	learn: 0.0309437	total: 8.08s	remaining: 13.9s
184:	learn: 0.0309253	total: 8.13s	remaining: 13.9s
185:	learn: 0.0309088	total: 8.18s	remaining: 13.8s
186:	learn: 0.0308949	total: 8.23s	remaining: 13.8s
187:	learn: 0.0308787	total: 8.28s	remaining: 13.7s
188:	learn: 0.0308628	total: 8.34s	remaining: 13.7s
189:	learn: 0.0308478	total: 8.39s	remaining: 13.7s
190:	learn: 0.0308333	total: 8.44s	remaining: 13.7s
191:	learn: 0.0308178	total: 8.5s	remaining: 13.6s
192:	learn: 0.0308027	total: 8.55s	remaining: 13.6s
193:	learn: 0.0307892	total: 8.6s	remaining: 13.6s
194:	learn: 0.0307765	total: 8.65s	remaining: 13.5s
195:	learn: 0.0307618	total: 8.7s	remaining: 13.5s
196:	learn: 0.0307477	total: 8.75s	remaining: 13.5s
197:	learn: 0.0307330	total: 8.8s	remaining: 13.4s
198:	learn: 0.0307190	total: 8.85s	remaining: 13.4s
199:	learn: 0.0307052	total: 8.9s	remaining: 13.4s
200:	learn: 0.0306910	total: 8.96s	remaining: 13.3s
201:	learn: 0.0306778	total: 9.01s	remaining: 13.3s
202:	learn: 0.0306661	total: 9.06s	remaining: 13.3s
203:	learn: 0.0306528	total: 9.11s	remaining: 13.2s
204:	learn: 0.0306394	total: 9.17s	remaining: 13.2s
205:	learn: 0.0306263	total: 9.22s	remaining: 13.2s
206:	learn: 0.0306140	total: 9.27s	remaining: 13.1s
207:	learn: 0.0306034	total: 9.32s	remaining: 13.1s
208:	learn: 0.0305907	total: 9.38s	remaining: 13.1s
209:	learn: 0.0305787	total: 9.43s	remaining: 13s
210:	learn: 0.0305677	total: 9.48s	remaining: 13s
211:	learn: 0.0305550	total: 9.54s	remaining: 13s
212:	learn: 0.0305447	total: 9.59s	remaining: 12.9s
213:	learn: 0.0305326	total: 9.64s	remaining: 12.9s
214:	learn: 0.0305223	total: 9.69s	remaining: 12.8s
