149:	learn: 7.3306636	total: 10.4s	remaining: 24.2s
150:	learn: 7.3233288	total: 10.4s	remaining: 24.1s
151:	learn: 7.3166362	total: 10.5s	remaining: 24s
152:	learn: 7.3088017	total: 10.6s	remaining: 23.9s
153:	learn: 7.3024544	total: 10.6s	remaining: 23.9s
154:	learn: 7.2957936	total: 10.7s	remaining: 23.8s
155:	learn: 7.2891314	total: 10.8s	remaining: 23.7s
156:	learn: 7.2818522	total: 10.8s	remaining: 23.6s
157:	learn: 7.2742491	total: 10.9s	remaining: 23.6s
158:	learn: 7.2674075	total: 10.9s	remaining: 23.5s
159:	learn: 7.2602188	total: 11s	remaining: 23.4s
160:	learn: 7.2543733	total: 11.1s	remaining: 23.3s
161:	learn: 7.2478813	total: 11.1s	remaining: 23.2s
162:	learn: 7.2404805	total: 11.2s	remaining: 23.1s
163:	learn: 7.2334669	total: 11.2s	remaining: 23s
164:	learn: 7.2279068	total: 11.3s	remaining: 22.9s
165:	learn: 7.2227601	total: 11.4s	remaining: 22.9s
166:	learn: 7.2150424	total: 11.4s	remaining: 22.8s
167:	learn: 7.2095733	total: 11.6s	remaining: 22.9s
168:	learn: 7.2035870	total: 11.7s	remaining: 22.8s
169:	learn: 7.1963259	total: 11.7s	remaining: 22.8s
170:	learn: 7.1896492	total: 11.8s	remaining: 22.7s
171:	learn: 7.1828385	total: 11.9s	remaining: 22.6s
172:	learn: 7.1766460	total: 11.9s	remaining: 22.5s
173:	learn: 7.1682845	total: 12s	remaining: 22.4s
174:	learn: 7.1623589	total: 12s	remaining: 22.4s
175:	learn: 7.1564144	total: 12.1s	remaining: 22.3s
176:	learn: 7.1507624	total: 12.2s	remaining: 22.2s
177:	learn: 7.1458782	total: 12.2s	remaining: 22.2s
178:	learn: 7.1413458	total: 12.3s	remaining: 22.1s
179:	learn: 7.1353884	total: 12.4s	remaining: 22s
180:	learn: 7.1297313	total: 12.4s	remaining: 21.9s
181:	learn: 7.1235970	total: 12.5s	remaining: 21.8s
182:	learn: 7.1192655	total: 12.6s	remaining: 21.8s
183:	learn: 7.1130544	total: 12.6s	remaining: 21.7s
184:	learn: 7.1079310	total: 12.7s	remaining: 21.6s
185:	learn: 7.1030080	total: 12.7s	remaining: 21.5s
186:	learn: 7.0957679	total: 12.8s	remaining: 21.4s
187:	learn: 7.0896685	total: 12.9s	remaining: 21.4s
188:	learn: 7.0834983	total: 12.9s	remaining: 21.3s
189:	learn: 7.0756477	total: 13s	remaining: 21.2s
190:	learn: 7.0704176	total: 13.1s	remaining: 21.1s
191:	learn: 7.0653536	total: 13.1s	remaining: 21s
192:	learn: 7.0596385	total: 13.2s	remaining: 21s
193:	learn: 7.0542483	total: 13.2s	remaining: 20.9s
194:	learn: 7.0483571	total: 13.3s	remaining: 20.8s
195:	learn: 7.0436554	total: 13.4s	remaining: 20.7s
196:	learn: 7.0386779	total: 13.4s	remaining: 20.7s
197:	learn: 7.0341500	total: 13.5s	remaining: 20.6s
198:	learn: 7.0274374	total: 13.6s	remaining: 20.5s
199:	learn: 7.0211908	total: 13.6s	remaining: 20.4s
200:	learn: 7.0136400	total: 13.7s	remaining: 20.4s
201:	learn: 7.0067720	total: 13.8s	remaining: 20.3s
202:	learn: 7.0007533	total: 13.8s	remaining: 20.2s
203:	learn: 6.9935588	total: 13.9s	remaining: 20.1s
204:	learn: 6.9888999	total: 13.9s	remaining: 20.1s
205:	learn: 6.9826120	total: 14s	remaining: 20s
206:	learn: 6.9767382	total: 14.1s	remaining: 19.9s
207:	learn: 6.9729538	total: 14.1s	remaining: 19.9s
208:	learn: 6.9678788	total: 14.2s	remaining: 19.8s
209:	learn: 6.9622651	total: 14.3s	remaining: 19.7s
210:	learn: 6.9550528	total: 14.3s	remaining: 19.6s
211:	learn: 6.9491001	total: 14.4s	remaining: 19.6s
212:	learn: 6.9428768	total: 14.5s	remaining: 19.5s
213:	learn: 6.9383890	total: 14.5s	remaining: 19.4s
214:	learn: 6.9324529	total: 14.6s	remaining: 19.3s
215:	learn: 6.9278916	total: 14.7s	remaining: 19.3s
216:	learn: 6.9219487	total: 14.7s	remaining: 19.2s
217:	learn: 6.9152316	total: 14.8s	remaining: 19.1s
218:	learn: 6.9096823	total: 14.8s	remaining: 19s
219:	learn: 6.9045192	total: 14.9s	remaining: 19s
220:	learn: 6.9000361	total: 15s	remaining: 18.9s
221:	learn: 6.8951610	total: 15s	remaining: 18.8s
222:	learn: 6.8909563	total: 15.1s	remaining: 18.7s
223:	learn: 6.8842679	total: 15.1s	remaining: 18.7s
224:	learn: 6.8783368	total: 15.2s	remaining: 18.6s
225:	learn: 6.8734250	total: 15.3s	remaining: 18.5s
226:	learn: 6.8663722	total: 15.3s	remaining: 18.4s
227:	learn: 6.8612796	total: 15.4s	remaining: 18.4s
228:	learn: 6.8569626	total: 15.5s	remaining: 18.3s
229:	learn: 6.8523222	total: 15.5s	remaining: 18.2s
230:	learn: 6.8467344	total: 15.6s	remaining: 18.1s
231:	learn: 6.8408420	total: 15.6s	remaining: 18.1s
232:	learn: 6.8358736	total: 15.7s	remaining: 18s
233:	learn: 6.8303333	total: 15.8s	remaining: 17.9s
234:	learn: 6.8248931	total: 15.9s	remaining: 17.9s
235:	learn: 6.8204639	total: 15.9s	remaining: 17.8s
236:	learn: 6.8156576	total: 16s	remaining: 17.7s
237:	learn: 6.8099808	total: 16s	remaining: 17.7s
238:	learn: 6.8051585	total: 16.1s	remaining: 17.6s
239:	learn: 6.7982423	total: 16.2s	remaining: 17.5s
240:	learn: 6.7940039	total: 16.2s	remaining: 17.4s
241:	learn: 6.7870014	total: 16.3s	remaining: 17.4s
242:	learn: 6.7819230	total: 16.4s	remaining: 17.3s
243:	learn: 6.7759083	total: 16.4s	remaining: 17.2s
244:	learn: 6.7691403	total: 16.5s	remaining: 17.2s
245:	learn: 6.7635553	total: 16.6s	remaining: 17.1s
246:	learn: 6.7599868	total: 16.6s	remaining: 17s
247:	learn: 6.7556520	total: 16.7s	remaining: 17s
248:	learn: 6.7513745	total: 16.8s	remaining: 16.9s
249:	learn: 6.7462146	total: 16.9s	remaining: 16.9s
250:	learn: 6.7414496	total: 16.9s	remaining: 16.8s
251:	learn: 6.7359610	total: 17s	remaining: 16.7s
252:	learn: 6.7295291	total: 17.1s	remaining: 16.7s
253:	learn: 6.7237213	total: 17.1s	remaining: 16.6s
254:	learn: 6.7199940	total: 17.2s	remaining: 16.5s
255:	learn: 6.7163093	total: 17.2s	remaining: 16.4s
256:	learn: 6.7112812	total: 17.3s	remaining: 16.4s
257:	learn: 6.7062792	total: 17.4s	remaining: 16.3s
258:	learn: 6.7010073	total: 17.4s	remaining: 16.2s
259:	learn: 6.6951361	total: 17.5s	remaining: 16.2s
260:	learn: 6.6913404	total: 17.6s	remaining: 16.1s
261:	learn: 6.6870297	total: 17.6s	remaining: 16s
262:	learn: 6.6809958	total: 17.7s	remaining: 15.9s
263:	learn: 6.6779855	total: 17.7s	remaining: 15.9s
264:	learn: 6.6739313	total: 17.8s	remaining: 15.8s
265:	learn: 6.6696750	total: 17.9s	remaining: 15.7s
266:	learn: 6.6648059	total: 17.9s	remaining: 15.6s
267:	learn: 6.6614762	total: 18s	remaining: 15.6s
268:	learn: 6.6575068	total: 18.1s	remaining: 15.5s
269:	learn: 6.6527483	total: 18.1s	remaining: 15.4s
270:	learn: 6.6470174	total: 18.2s	remaining: 15.4s
271:	learn: 6.6428943	total: 18.2s	remaining: 15.3s
272:	learn: 6.6396579	total: 18.3s	remaining: 15.2s
273:	learn: 6.6361161	total: 18.4s	remaining: 15.2s
274:	learn: 6.6316109	total: 18.4s	remaining: 15.1s
275:	learn: 6.6277173	total: 18.5s	remaining: 15s
276:	learn: 6.6227935	total: 18.6s	remaining: 15s
277:	learn: 6.6185522	total: 18.6s	remaining: 14.9s
278:	learn: 6.6139516	total: 18.7s	remaining: 14.8s
279:	learn: 6.6088812	total: 18.8s	remaining: 14.7s
280:	learn: 6.6060845	total: 18.8s	remaining: 14.7s
281:	learn: 6.6013141	total: 18.9s	remaining: 14.6s
282:	learn: 6.5954124	total: 18.9s	remaining: 14.5s
283:	learn: 6.5904985	total: 19s	remaining: 14.5s
284:	learn: 6.5853550	total: 19.1s	remaining: 14.4s
285:	learn: 6.5792642	total: 19.1s	remaining: 14.3s
286:	learn: 6.5728151	total: 19.2s	remaining: 14.3s
287:	learn: 6.5674380	total: 19.3s	remaining: 14.2s
288:	learn: 6.5646289	total: 19.4s	remaining: 14.1s
289:	learn: 6.5611137	total: 19.4s	remaining: 14.1s
290:	learn: 6.5578817	total: 19.5s	remaining: 14s
291:	learn: 6.5529966	total: 19.6s	remaining: 13.9s
292:	learn: 6.5500799	total: 19.6s	remaining: 13.9s
293:	learn: 6.5448387	total: 19.7s	remaining: 13.8s
294:	learn: 6.5405107	total: 19.8s	remaining: 13.7s
295:	learn: 6.5377214	total: 19.8s	remaining: 13.7s
296:	learn: 6.5326947	total: 19.9s	remaining: 13.6s
297:	learn: 6.5267207	total: 20s	remaining: 13.5s
298:	learn: 6.5207511	total: 20s	remaining: 13.5s
299:	learn: 6.5146552	total: 20.1s	remaining: 13.4s
300:	learn: 6.5098287	total: 20.2s	remaining: 13.3s
301:	learn: 6.5063975	total: 20.2s	remaining: 13.3s
302:	learn: 6.5013825	total: 20.3s	remaining: 13.2s
303:	learn: 6.4954039	total: 20.4s	remaining: 13.1s
304:	learn: 6.4920415	total: 20.4s	remaining: 13.1s
305:	learn: 6.4882127	total: 20.5s	remaining: 13s
306:	learn: 6.4821574	total: 20.6s	remaining: 12.9s
307:	learn: 6.4773570	total: 20.6s	remaining: 12.9s
308:	learn: 6.4721876	total: 20.7s	remaining: 12.8s
309:	learn: 6.4674121	total: 20.8s	remaining: 12.7s
310:	learn: 6.4645362	total: 20.8s	remaining: 12.7s
311:	learn: 6.4597638	total: 20.9s	remaining: 12.6s
312:	learn: 6.4548616	total: 21s	remaining: 12.5s
313:	learn: 6.4499857	total: 21s	remaining: 12.5s
314:	learn: 6.4446160	total: 21.1s	remaining: 12.4s
315:	learn: 6.4389678	total: 21.2s	remaining: 12.3s
316:	learn: 6.4337853	total: 21.2s	remaining: 12.3s
317:	learn: 6.4306988	total: 21.3s	remaining: 12.2s
318:	learn: 6.4260114	total: 21.4s	remaining: 12.1s
319:	learn: 6.4206263	total: 21.4s	remaining: 12.1s
320:	learn: 6.4167367	total: 21.5s	remaining: 12s
321:	learn: 6.4134706	total: 21.6s	remaining: 11.9s
322:	learn: 6.4067048	total: 21.6s	remaining: 11.9s
323:	learn: 6.4013759	total: 21.7s	remaining: 11.8s
324:	learn: 6.3959576	total: 21.8s	remaining: 11.7s
325:	learn: 6.3905337	total: 21.8s	remaining: 11.6s
326:	learn: 6.3862500	total: 21.9s	remaining: 11.6s
327:	learn: 6.3813061	total: 21.9s	remaining: 11.5s
328:	learn: 6.3770551	total: 22s	remaining: 11.4s
329:	learn: 6.3741483	total: 22.1s	remaining: 11.4s
330:	learn: 6.3701802	total: 22.1s	remaining: 11.3s
331:	learn: 6.3644023	total: 22.2s	remaining: 11.2s
332:	learn: 6.3609405	total: 22.3s	remaining: 11.2s
333:	learn: 6.3554100	total: 22.3s	remaining: 11.1s
334:	learn: 6.3515063	total: 22.4s	remaining: 11s
335:	learn: 6.3465089	total: 22.4s	remaining: 11s
336:	learn: 6.3400999	total: 22.5s	remaining: 10.9s
337:	learn: 6.3372428	total: 22.6s	remaining: 10.8s
338:	learn: 6.3325968	total: 22.6s	remaining: 10.7s
339:	learn: 6.3296392	total: 22.7s	remaining: 10.7s
340:	learn: 6.3270078	total: 22.8s	remaining: 10.6s
341:	learn: 6.3224198	total: 22.8s	remaining: 10.5s
342:	learn: 6.3189841	total: 22.9s	remaining: 10.5s
343:	learn: 6.3156128	total: 23s	remaining: 10.4s
344:	learn: 6.3126862	total: 23s	remaining: 10.3s
345:	learn: 6.3077462	total: 23.1s	remaining: 10.3s
346:	learn: 6.3040925	total: 23.1s	remaining: 10.2s
347:	learn: 6.2991924	total: 23.2s	remaining: 10.1s
348:	learn: 6.2958427	total: 23.3s	remaining: 10.1s
349:	learn: 6.2920553	total: 23.3s	remaining: 10s
350:	learn: 6.2894637	total: 23.4s	remaining: 9.93s
351:	learn: 6.2851056	total: 23.5s	remaining: 9.87s
352:	learn: 6.2799104	total: 23.5s	remaining: 9.8s
353:	learn: 6.2752368	total: 23.6s	remaining: 9.73s
354:	learn: 6.2702013	total: 23.7s	remaining: 9.66s
355:	learn: 6.2656216	total: 23.7s	remaining: 9.59s
356:	learn: 6.2618744	total: 23.8s	remaining: 9.52s
357:	learn: 6.2579758	total: 23.8s	remaining: 9.46s
358:	learn: 6.2522873	total: 23.9s	remaining: 9.39s
359:	learn: 6.2466606	total: 24s	remaining: 9.32s
360:	learn: 6.2441614	total: 24s	remaining: 9.25s
361:	learn: 6.2404902	total: 24.1s	remaining: 9.18s
362:	learn: 6.2378612	total: 24.1s	remaining: 9.11s
363:	learn: 6.2315066	total: 24.2s	remaining: 9.05s
364:	learn: 6.2284996	total: 24.3s	remaining: 8.98s
365:	learn: 6.2249089	total: 24.3s	remaining: 8.91s
366:	learn: 6.2205097	total: 24.4s	remaining: 8.84s
367:	learn: 6.2167683	total: 24.5s	remaining: 8.78s
368:	learn: 6.2115900	total: 24.5s	remaining: 8.71s
369:	learn: 6.2059337	total: 24.6s	remaining: 8.64s
370:	learn: 6.2003314	total: 24.7s	remaining: 8.57s
371:	learn: 6.1971697	total: 24.7s	remaining: 8.51s
372:	learn: 6.1937526	total: 24.9s	remaining: 8.46s
373:	learn: 6.1911432	total: 24.9s	remaining: 8.39s
374:	learn: 6.1877559	total: 25s	remaining: 8.33s
375:	learn: 6.1848686	total: 25s	remaining: 8.26s
376:	learn: 6.1787020	total: 25.1s	remaining: 8.19s
377:	learn: 6.1735483	total: 25.2s	remaining: 8.12s
378:	learn: 6.1709380	total: 25.2s	remaining: 8.05s
379:	learn: 6.1680162	total: 25.3s	remaining: 7.99s
380:	learn: 6.1623210	total: 25.4s	remaining: 7.92s
381:	learn: 6.1602437	total: 25.4s	remaining: 7.85s
382:	learn: 6.1565809	total: 25.5s	remaining: 7.78s
383:	learn: 6.1512113	total: 25.6s	remaining: 7.72s
384:	learn: 6.1467208	total: 25.6s	remaining: 7.65s
385:	learn: 6.1433992	total: 25.7s	remaining: 7.59s
386:	learn: 6.1407203	total: 25.8s	remaining: 7.52s
387:	learn: 6.1355635	total: 25.8s	remaining: 7.45s
388:	learn: 6.1320108	total: 25.9s	remaining: 7.39s
389:	learn: 6.1293671	total: 25.9s	remaining: 7.32s
390:	learn: 6.1266538	total: 26s	remaining: 7.25s
391:	learn: 6.1230963	total: 26.1s	remaining: 7.18s
392:	learn: 6.1182515	total: 26.1s	remaining: 7.11s
393:	learn: 6.1155485	total: 26.2s	remaining: 7.05s
394:	learn: 6.1129395	total: 26.3s	remaining: 6.98s
395:	learn: 6.1092816	total: 26.3s	remaining: 6.91s
396:	learn: 6.1053230	total: 26.4s	remaining: 6.85s
397:	learn: 6.1019619	total: 26.5s	remaining: 6.78s
398:	learn: 6.0976990	total: 26.5s	remaining: 6.71s
399:	learn: 6.0947873	total: 26.6s	remaining: 6.64s
400:	learn: 6.0925408	total: 26.6s	remaining: 6.58s
401:	learn: 6.0897687	total: 26.7s	remaining: 6.51s
402:	learn: 6.0871533	total: 26.8s	remaining: 6.44s
403:	learn: 6.0845064	total: 26.8s	remaining: 6.37s
404:	learn: 6.0793250	total: 26.9s	remaining: 6.31s
405:	learn: 6.0767147	total: 26.9s	remaining: 6.24s
406:	learn: 6.0735221	total: 27s	remaining: 6.17s
407:	learn: 6.0699686	total: 27.1s	remaining: 6.11s
408:	learn: 6.0653355	total: 27.1s	remaining: 6.04s
409:	learn: 6.0625844	total: 27.2s	remaining: 5.97s
410:	learn: 6.0576427	total: 27.3s	remaining: 5.91s
411:	learn: 6.0545768	total: 27.3s	remaining: 5.84s
412:	learn: 6.0515442	total: 27.4s	remaining: 5.77s
413:	learn: 6.0475692	total: 27.5s	remaining: 5.71s
414:	learn: 6.0438160	total: 27.5s	remaining: 5.64s
415:	learn: 6.0416933	total: 27.6s	remaining: 5.57s
416:	learn: 6.0367088	total: 27.7s	remaining: 5.51s
417:	learn: 6.0319762	total: 27.7s	remaining: 5.44s
418:	learn: 6.0288389	total: 27.8s	remaining: 5.37s
419:	learn: 6.0231316	total: 27.9s	remaining: 5.31s
420:	learn: 6.0171290	total: 27.9s	remaining: 5.24s
421:	learn: 6.0124098	total: 28s	remaining: 5.18s
422:	learn: 6.0098114	total: 28.1s	remaining: 5.11s
423:	learn: 6.0058402	total: 28.1s	remaining: 5.04s
424:	learn: 6.0025127	total: 28.2s	remaining: 4.97s
425:	learn: 5.9999786	total: 28.3s	remaining: 4.91s
426:	learn: 5.9951941	total: 28.3s	remaining: 4.84s
427:	learn: 5.9905385	total: 28.4s	remaining: 4.78s
428:	learn: 5.9874306	total: 28.5s	remaining: 4.71s
429:	learn: 5.9830881	total: 28.5s	remaining: 4.64s
430:	learn: 5.9783402	total: 28.6s	remaining: 4.58s
431:	learn: 5.9759159	total: 28.6s	remaining: 4.51s
432:	learn: 5.9713153	total: 28.7s	remaining: 4.44s
433:	learn: 5.9688245	total: 28.8s	remaining: 4.37s
434:	learn: 5.9649861	total: 28.8s	remaining: 4.31s
435:	learn: 5.9622155	total: 28.9s	remaining: 4.24s
436:	learn: 5.9584331	total: 29s	remaining: 4.17s
437:	learn: 5.9533247	total: 29s	remaining: 4.11s
438:	learn: 5.9486582	total: 29.1s	remaining: 4.04s
439:	learn: 5.9445288	total: 29.1s	remaining: 3.97s
440:	learn: 5.9424674	total: 29.2s	remaining: 3.91s
441:	learn: 5.9393320	total: 29.3s	remaining: 3.84s
442:	learn: 5.9360183	total: 29.4s	remaining: 3.78s
443:	learn: 5.9334397	total: 29.4s	remaining: 3.71s
