169:	learn: 0.0312274	total: 7.42s	remaining: 14.4s
170:	learn: 0.0312043	total: 7.46s	remaining: 14.4s
171:	learn: 0.0311828	total: 7.52s	remaining: 14.3s
172:	learn: 0.0311599	total: 7.57s	remaining: 14.3s
173:	learn: 0.0311370	total: 7.63s	remaining: 14.3s
174:	learn: 0.0311178	total: 7.67s	remaining: 14.3s
175:	learn: 0.0310980	total: 7.73s	remaining: 14.2s
176:	learn: 0.0310781	total: 7.78s	remaining: 14.2s
177:	learn: 0.0310605	total: 7.83s	remaining: 14.2s
178:	learn: 0.0310412	total: 7.88s	remaining: 14.1s
179:	learn: 0.0310238	total: 7.92s	remaining: 14.1s
180:	learn: 0.0310073	total: 7.97s	remaining: 14.1s
181:	learn: 0.0309892	total: 8.02s	remaining: 14s
182:	learn: 0.0309709	total: 8.08s	remaining: 14s
183:	learn: 0.0309556	total: 8.13s	remaining: 14s
184:	learn: 0.0309401	total: 8.18s	remaining: 13.9s
185:	learn: 0.0309224	total: 8.23s	remaining: 13.9s
186:	learn: 0.0309079	total: 8.28s	remaining: 13.9s
187:	learn: 0.0308919	total: 8.34s	remaining: 13.8s
188:	learn: 0.0308755	total: 8.39s	remaining: 13.8s
189:	learn: 0.0308596	total: 8.44s	remaining: 13.8s
190:	learn: 0.0308445	total: 8.49s	remaining: 13.7s
191:	learn: 0.0308315	total: 8.53s	remaining: 13.7s
192:	learn: 0.0308146	total: 8.59s	remaining: 13.7s
193:	learn: 0.0308004	total: 8.64s	remaining: 13.6s
194:	learn: 0.0307874	total: 8.69s	remaining: 13.6s
195:	learn: 0.0307736	total: 8.74s	remaining: 13.6s
196:	learn: 0.0307605	total: 8.79s	remaining: 13.5s
197:	learn: 0.0307464	total: 8.85s	remaining: 13.5s
198:	learn: 0.0307329	total: 8.9s	remaining: 13.5s
199:	learn: 0.0307211	total: 8.95s	remaining: 13.4s
200:	learn: 0.0307091	total: 8.99s	remaining: 13.4s
201:	learn: 0.0306963	total: 9.04s	remaining: 13.3s
202:	learn: 0.0306825	total: 9.09s	remaining: 13.3s
203:	learn: 0.0306707	total: 9.14s	remaining: 13.3s
204:	learn: 0.0306571	total: 9.2s	remaining: 13.2s
205:	learn: 0.0306438	total: 9.25s	remaining: 13.2s
206:	learn: 0.0306311	total: 9.3s	remaining: 13.2s
207:	learn: 0.0306178	total: 9.35s	remaining: 13.1s
208:	learn: 0.0306050	total: 9.4s	remaining: 13.1s
209:	learn: 0.0305925	total: 9.45s	remaining: 13.1s
210:	learn: 0.0305802	total: 9.5s	remaining: 13s
211:	learn: 0.0305680	total: 9.55s	remaining: 13s
212:	learn: 0.0305553	total: 9.6s	remaining: 12.9s
213:	learn: 0.0305439	total: 9.65s	remaining: 12.9s
214:	learn: 0.0305331	total: 9.71s	remaining: 12.9s
215:	learn: 0.0305215	total: 9.76s	remaining: 12.8s
216:	learn: 0.0305113	total: 9.81s	remaining: 12.8s
217:	learn: 0.0305002	total: 9.86s	remaining: 12.8s
218:	learn: 0.0304893	total: 9.91s	remaining: 12.7s
219:	learn: 0.0304790	total: 9.96s	remaining: 12.7s
220:	learn: 0.0304700	total: 10s	remaining: 12.6s
221:	learn: 0.0304599	total: 10.1s	remaining: 12.6s
222:	learn: 0.0304507	total: 10.1s	remaining: 12.6s
223:	learn: 0.0304395	total: 10.2s	remaining: 12.5s
224:	learn: 0.0304292	total: 10.2s	remaining: 12.5s
225:	learn: 0.0304191	total: 10.3s	remaining: 12.4s
226:	learn: 0.0304086	total: 10.3s	remaining: 12.4s
227:	learn: 0.0303986	total: 10.4s	remaining: 12.4s
228:	learn: 0.0303881	total: 10.4s	remaining: 12.3s
229:	learn: 0.0303785	total: 10.5s	remaining: 12.3s
230:	learn: 0.0303692	total: 10.5s	remaining: 12.2s
231:	learn: 0.0303599	total: 10.6s	remaining: 12.2s
232:	learn: 0.0303496	total: 10.6s	remaining: 12.2s
233:	learn: 0.0303422	total: 10.7s	remaining: 12.1s
234:	learn: 0.0303335	total: 10.7s	remaining: 12.1s
235:	learn: 0.0303246	total: 10.8s	remaining: 12s
236:	learn: 0.0303147	total: 10.8s	remaining: 12s
237:	learn: 0.0303061	total: 10.9s	remaining: 11.9s
238:	learn: 0.0302981	total: 10.9s	remaining: 11.9s
239:	learn: 0.0302900	total: 10.9s	remaining: 11.8s
240:	learn: 0.0302812	total: 11s	remaining: 11.8s
241:	learn: 0.0302732	total: 11s	remaining: 11.8s
242:	learn: 0.0302651	total: 11.1s	remaining: 11.7s
243:	learn: 0.0302563	total: 11.1s	remaining: 11.7s
244:	learn: 0.0302477	total: 11.2s	remaining: 11.7s
245:	learn: 0.0302390	total: 11.3s	remaining: 11.6s
246:	learn: 0.0302313	total: 11.3s	remaining: 11.6s
247:	learn: 0.0302236	total: 11.4s	remaining: 11.5s
248:	learn: 0.0302154	total: 11.4s	remaining: 11.5s
249:	learn: 0.0302076	total: 11.5s	remaining: 11.5s
250:	learn: 0.0301987	total: 11.5s	remaining: 11.4s
251:	learn: 0.0301913	total: 11.6s	remaining: 11.4s
252:	learn: 0.0301836	total: 11.6s	remaining: 11.3s
253:	learn: 0.0301746	total: 11.7s	remaining: 11.3s
254:	learn: 0.0301667	total: 11.7s	remaining: 11.3s
255:	learn: 0.0301576	total: 11.8s	remaining: 11.2s
256:	learn: 0.0301509	total: 11.8s	remaining: 11.2s
257:	learn: 0.0301433	total: 11.9s	remaining: 11.1s
258:	learn: 0.0301355	total: 11.9s	remaining: 11.1s
259:	learn: 0.0301274	total: 11.9s	remaining: 11s
260:	learn: 0.0301190	total: 12s	remaining: 11s
261:	learn: 0.0301104	total: 12.1s	remaining: 10.9s
262:	learn: 0.0301009	total: 12.1s	remaining: 10.9s
263:	learn: 0.0300926	total: 12.2s	remaining: 10.9s
264:	learn: 0.0300853	total: 12.2s	remaining: 10.8s
265:	learn: 0.0300792	total: 12.2s	remaining: 10.8s
266:	learn: 0.0300716	total: 12.3s	remaining: 10.7s
267:	learn: 0.0300638	total: 12.3s	remaining: 10.7s
268:	learn: 0.0300558	total: 12.4s	remaining: 10.6s
269:	learn: 0.0300477	total: 12.4s	remaining: 10.6s
270:	learn: 0.0300404	total: 12.5s	remaining: 10.6s
271:	learn: 0.0300337	total: 12.5s	remaining: 10.5s
272:	learn: 0.0300268	total: 12.6s	remaining: 10.5s
273:	learn: 0.0300186	total: 12.6s	remaining: 10.4s
274:	learn: 0.0300108	total: 12.7s	remaining: 10.4s
275:	learn: 0.0300035	total: 12.7s	remaining: 10.3s
276:	learn: 0.0299952	total: 12.8s	remaining: 10.3s
277:	learn: 0.0299883	total: 12.8s	remaining: 10.2s
278:	learn: 0.0299812	total: 12.9s	remaining: 10.2s
279:	learn: 0.0299740	total: 12.9s	remaining: 10.2s
280:	learn: 0.0299677	total: 13s	remaining: 10.1s
281:	learn: 0.0299601	total: 13s	remaining: 10.1s
282:	learn: 0.0299533	total: 13.1s	remaining: 10s
283:	learn: 0.0299456	total: 13.1s	remaining: 9.97s
284:	learn: 0.0299392	total: 13.2s	remaining: 9.93s
285:	learn: 0.0299325	total: 13.2s	remaining: 9.88s
286:	learn: 0.0299262	total: 13.3s	remaining: 9.84s
287:	learn: 0.0299202	total: 13.3s	remaining: 9.79s
288:	learn: 0.0299135	total: 13.3s	remaining: 9.74s
289:	learn: 0.0299074	total: 13.4s	remaining: 9.7s
290:	learn: 0.0299015	total: 13.4s	remaining: 9.65s
291:	learn: 0.0298952	total: 13.5s	remaining: 9.6s
292:	learn: 0.0298889	total: 13.5s	remaining: 9.55s
293:	learn: 0.0298829	total: 13.6s	remaining: 9.5s
294:	learn: 0.0298762	total: 13.6s	remaining: 9.45s
295:	learn: 0.0298701	total: 13.6s	remaining: 9.4s
296:	learn: 0.0298631	total: 13.7s	remaining: 9.36s
297:	learn: 0.0298574	total: 13.7s	remaining: 9.31s
298:	learn: 0.0298513	total: 13.8s	remaining: 9.26s
299:	learn: 0.0298462	total: 13.8s	remaining: 9.21s
300:	learn: 0.0298401	total: 13.9s	remaining: 9.17s
301:	learn: 0.0298351	total: 13.9s	remaining: 9.12s
302:	learn: 0.0298292	total: 13.9s	remaining: 9.07s
