Default metric period is 5 because NDCG is/are not implemented for GPU
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
261:	total: 32.3s	remaining: 29.3s
262:	total: 32.4s	remaining: 29.2s
263:	total: 32.5s	remaining: 29.1s
264:	total: 32.6s	remaining: 28.9s
265:	total: 32.7s	remaining: 28.8s
266:	total: 32.9s	remaining: 28.7s
267:	total: 33s	remaining: 28.5s
268:	total: 33.1s	remaining: 28.4s
269:	total: 33.2s	remaining: 28.3s
270:	total: 33.3s	remaining: 28.2s
271:	total: 33.4s	remaining: 28s
272:	total: 33.6s	remaining: 27.9s
273:	total: 33.7s	remaining: 27.8s
274:	total: 33.8s	remaining: 27.7s
275:	total: 33.9s	remaining: 27.5s
276:	total: 34s	remaining: 27.4s
277:	total: 34.1s	remaining: 27.3s
278:	total: 34.3s	remaining: 27.1s
279:	total: 34.4s	remaining: 27s
280:	total: 34.5s	remaining: 26.9s
281:	total: 34.6s	remaining: 26.8s
282:	total: 34.7s	remaining: 26.6s
283:	total: 34.8s	remaining: 26.5s
284:	total: 35s	remaining: 26.4s
285:	total: 35.1s	remaining: 26.2s
286:	total: 35.2s	remaining: 26.1s
287:	total: 35.3s	remaining: 26s
288:	total: 35.4s	remaining: 25.9s
289:	total: 35.5s	remaining: 25.7s
290:	total: 35.6s	remaining: 25.6s
291:	total: 35.7s	remaining: 25.5s
292:	total: 35.9s	remaining: 25.3s
293:	total: 36s	remaining: 25.2s
294:	total: 36.1s	remaining: 25.1s
295:	total: 36.2s	remaining: 25s
296:	total: 36.3s	remaining: 24.8s
297:	total: 36.5s	remaining: 24.7s
298:	total: 36.6s	remaining: 24.6s
299:	total: 36.7s	remaining: 24.5s
300:	total: 36.8s	remaining: 24.3s
301:	total: 36.9s	remaining: 24.2s
302:	total: 37.1s	remaining: 24.1s
303:	total: 37.2s	remaining: 24s
304:	total: 37.3s	remaining: 23.8s
305:	total: 37.4s	remaining: 23.7s
306:	total: 37.5s	remaining: 23.6s
307:	total: 37.7s	remaining: 23.5s
308:	total: 37.8s	remaining: 23.4s
309:	total: 37.9s	remaining: 23.2s
310:	total: 38s	remaining: 23.1s
311:	total: 38.1s	remaining: 23s
312:	total: 38.2s	remaining: 22.9s
313:	total: 38.4s	remaining: 22.7s
314:	total: 38.5s	remaining: 22.6s
315:	total: 38.6s	remaining: 22.5s
316:	total: 38.7s	remaining: 22.3s
317:	total: 38.8s	remaining: 22.2s
318:	total: 38.9s	remaining: 22.1s
319:	total: 39s	remaining: 22s
320:	total: 39.2s	remaining: 21.8s
321:	total: 39.3s	remaining: 21.7s
322:	total: 39.4s	remaining: 21.6s
323:	total: 39.5s	remaining: 21.5s
324:	total: 39.6s	remaining: 21.3s
325:	total: 39.7s	remaining: 21.2s
326:	total: 39.9s	remaining: 21.1s
327:	total: 40s	remaining: 21s
328:	total: 40.1s	remaining: 20.8s
329:	total: 40.2s	remaining: 20.7s
330:	total: 40.3s	remaining: 20.6s
331:	total: 40.4s	remaining: 20.5s
332:	total: 40.6s	remaining: 20.3s
333:	total: 40.7s	remaining: 20.2s
334:	total: 40.8s	remaining: 20.1s
335:	total: 40.9s	remaining: 20s
336:	total: 41s	remaining: 19.8s
337:	total: 41.1s	remaining: 19.7s
338:	total: 41.2s	remaining: 19.6s
339:	total: 41.4s	remaining: 19.5s
340:	total: 41.5s	remaining: 19.3s
341:	total: 41.6s	remaining: 19.2s
342:	total: 41.7s	remaining: 19.1s
343:	total: 41.8s	remaining: 19s
344:	total: 42s	remaining: 18.9s
345:	total: 42.1s	remaining: 18.7s
346:	total: 42.2s	remaining: 18.6s
347:	total: 42.3s	remaining: 18.5s
348:	total: 42.4s	remaining: 18.3s
349:	total: 42.5s	remaining: 18.2s
350:	total: 42.6s	remaining: 18.1s
351:	total: 42.8s	remaining: 18s
352:	total: 42.9s	remaining: 17.9s
353:	total: 43s	remaining: 17.7s
354:	total: 43.1s	remaining: 17.6s
355:	total: 43.2s	remaining: 17.5s
356:	total: 43.3s	remaining: 17.3s
357:	total: 43.4s	remaining: 17.2s
358:	total: 43.5s	remaining: 17.1s
359:	total: 43.7s	remaining: 17s
360:	total: 43.8s	remaining: 16.9s
361:	total: 43.9s	remaining: 16.7s
362:	total: 44s	remaining: 16.6s
363:	total: 44.1s	remaining: 16.5s
364:	total: 44.2s	remaining: 16.4s
365:	total: 44.3s	remaining: 16.2s
366:	total: 44.4s	remaining: 16.1s
367:	total: 44.5s	remaining: 16s
368:	total: 44.7s	remaining: 15.9s
369:	total: 44.8s	remaining: 15.7s
370:	total: 44.9s	remaining: 15.6s
371:	total: 45s	remaining: 15.5s
372:	total: 45.1s	remaining: 15.4s
373:	total: 45.2s	remaining: 15.2s
374:	total: 45.3s	remaining: 15.1s
375:	total: 45.4s	remaining: 15s
376:	total: 45.6s	remaining: 14.9s
377:	total: 45.7s	remaining: 14.7s
378:	total: 45.8s	remaining: 14.6s
379:	total: 45.9s	remaining: 14.5s
380:	total: 46s	remaining: 14.4s
381:	total: 46.1s	remaining: 14.2s
382:	total: 46.2s	remaining: 14.1s
383:	total: 46.3s	remaining: 14s
384:	total: 46.5s	remaining: 13.9s
385:	total: 46.6s	remaining: 13.8s
386:	total: 46.7s	remaining: 13.6s
387:	total: 46.8s	remaining: 13.5s
388:	total: 46.9s	remaining: 13.4s
389:	total: 47s	remaining: 13.3s
390:	total: 47.1s	remaining: 13.1s
391:	total: 47.2s	remaining: 13s
392:	total: 47.3s	remaining: 12.9s
393:	total: 47.4s	remaining: 12.8s
394:	total: 47.6s	remaining: 12.6s
395:	total: 47.7s	remaining: 12.5s
396:	total: 47.8s	remaining: 12.4s
397:	total: 47.9s	remaining: 12.3s
398:	total: 48s	remaining: 12.2s
399:	total: 48.1s	remaining: 12s
400:	total: 48.3s	remaining: 11.9s
401:	total: 48.4s	remaining: 11.8s
402:	total: 48.5s	remaining: 11.7s
403:	total: 48.6s	remaining: 11.6s
404:	total: 48.7s	remaining: 11.4s
405:	total: 48.8s	remaining: 11.3s
406:	total: 49s	remaining: 11.2s
407:	total: 49.1s	remaining: 11.1s
408:	total: 49.2s	remaining: 10.9s
409:	total: 49.3s	remaining: 10.8s
410:	total: 49.4s	remaining: 10.7s
411:	total: 49.5s	remaining: 10.6s
412:	total: 49.6s	remaining: 10.5s
413:	total: 49.8s	remaining: 10.3s
414:	total: 49.9s	remaining: 10.2s
415:	total: 50s	remaining: 10.1s
416:	total: 50.1s	remaining: 9.97s
417:	total: 50.2s	remaining: 9.85s
418:	total: 50.3s	remaining: 9.73s
419:	total: 50.5s	remaining: 9.61s
420:	total: 50.5s	remaining: 9.48s
421:	total: 50.7s	remaining: 9.36s
422:	total: 50.8s	remaining: 9.24s
423:	total: 50.9s	remaining: 9.12s
