223:	test: 0.9302849	best: 0.9553908 (24)	total: 21m 18s	remaining: 26m 15s
224:	test: 0.9301338	best: 0.9553908 (24)	total: 21m 22s	remaining: 26m 7s
225:	test: 0.9301937	best: 0.9553908 (24)	total: 21m 27s	remaining: 26m
226:	test: 0.9301929	best: 0.9553908 (24)	total: 21m 30s	remaining: 25m 51s
227:	test: 0.9300944	best: 0.9553908 (24)	total: 21m 35s	remaining: 25m 45s
228:	test: 0.9300981	best: 0.9553908 (24)	total: 21m 38s	remaining: 25m 36s
229:	test: 0.9304451	best: 0.9553908 (24)	total: 21m 42s	remaining: 25m 28s
230:	test: 0.9304637	best: 0.9553908 (24)	total: 21m 49s	remaining: 25m 24s
231:	test: 0.9304680	best: 0.9553908 (24)	total: 21m 54s	remaining: 25m 17s
232:	test: 0.9303544	best: 0.9553908 (24)	total: 22m	remaining: 25m 12s
233:	test: 0.9303483	best: 0.9553908 (24)	total: 22m 2s	remaining: 25m 3s
234:	test: 0.9302709	best: 0.9553908 (24)	total: 22m 12s	remaining: 25m 3s
235:	test: 0.9302100	best: 0.9553908 (24)	total: 22m 15s	remaining: 24m 54s
236:	test: 0.9301702	best: 0.9553908 (24)	total: 22m 18s	remaining: 24m 44s
237:	test: 0.9300713	best: 0.9553908 (24)	total: 22m 22s	remaining: 24m 37s
238:	test: 0.9300604	best: 0.9553908 (24)	total: 22m 25s	remaining: 24m 29s
239:	test: 0.9300858	best: 0.9553908 (24)	total: 22m 30s	remaining: 24m 23s
240:	test: 0.9300821	best: 0.9553908 (24)	total: 22m 33s	remaining: 24m 14s
241:	test: 0.9300763	best: 0.9553908 (24)	total: 22m 36s	remaining: 24m 6s
242:	test: 0.9300709	best: 0.9553908 (24)	total: 22m 50s	remaining: 24m 9s
243:	test: 0.9300875	best: 0.9553908 (24)	total: 22m 56s	remaining: 24m 3s
244:	test: 0.9300872	best: 0.9553908 (24)	total: 22m 58s	remaining: 23m 55s
245:	test: 0.9300666	best: 0.9553908 (24)	total: 23m 2s	remaining: 23m 47s
246:	test: 0.9300918	best: 0.9553908 (24)	total: 23m 5s	remaining: 23m 39s
247:	test: 0.9301498	best: 0.9553908 (24)	total: 23m 11s	remaining: 23m 33s
248:	test: 0.9302063	best: 0.9553908 (24)	total: 23m 14s	remaining: 23m 26s
249:	test: 0.9301825	best: 0.9553908 (24)	total: 23m 17s	remaining: 23m 17s
250:	test: 0.9301794	best: 0.9553908 (24)	total: 23m 19s	remaining: 23m 8s
251:	test: 0.9301560	best: 0.9553908 (24)	total: 23m 23s	remaining: 23m 1s
252:	test: 0.9301569	best: 0.9553908 (24)	total: 23m 28s	remaining: 22m 55s
253:	test: 0.9301451	best: 0.9553908 (24)	total: 23m 33s	remaining: 22m 48s
254:	test: 0.9301752	best: 0.9553908 (24)	total: 23m 36s	remaining: 22m 40s
255:	test: 0.9301685	best: 0.9553908 (24)	total: 23m 38s	remaining: 22m 31s
256:	test: 0.9301690	best: 0.9553908 (24)	total: 23m 40s	remaining: 22m 22s
257:	test: 0.9301724	best: 0.9553908 (24)	total: 23m 43s	remaining: 22m 15s
258:	test: 0.9301672	best: 0.9553908 (24)	total: 23m 47s	remaining: 22m 8s
259:	test: 0.9301811	best: 0.9553908 (24)	total: 23m 50s	remaining: 22m
260:	test: 0.9301806	best: 0.9553908 (24)	total: 23m 52s	remaining: 21m 51s
261:	test: 0.9302470	best: 0.9553908 (24)	total: 23m 57s	remaining: 21m 45s
262:	test: 0.9302442	best: 0.9553908 (24)	total: 23m 59s	remaining: 21m 37s
263:	test: 0.9302231	best: 0.9553908 (24)	total: 24m 3s	remaining: 21m 30s
264:	test: 0.9302241	best: 0.9553908 (24)	total: 24m 7s	remaining: 21m 23s
265:	test: 0.9302333	best: 0.9553908 (24)	total: 24m 11s	remaining: 21m 16s
266:	test: 0.9302368	best: 0.9553908 (24)	total: 24m 14s	remaining: 21m 9s
267:	test: 0.9300359	best: 0.9553908 (24)	total: 24m 26s	remaining: 21m 9s
268:	test: 0.9300359	best: 0.9553908 (24)	total: 24m 28s	remaining: 21m 1s
269:	test: 0.9300236	best: 0.9553908 (24)	total: 24m 31s	remaining: 20m 53s
270:	test: 0.9300265	best: 0.9553908 (24)	total: 24m 34s	remaining: 20m 45s
271:	test: 0.9300177	best: 0.9553908 (24)	total: 24m 36s	remaining: 20m 37s
272:	test: 0.9300264	best: 0.9553908 (24)	total: 24m 43s	remaining: 20m 33s
273:	test: 0.9300398	best: 0.9553908 (24)	total: 24m 46s	remaining: 20m 26s
274:	test: 0.9300442	best: 0.9553908 (24)	total: 24m 51s	remaining: 20m 20s
