108:	test: 0.8334882	best: 0.8334882 (108)	total: 17.4s	remaining: 1m 2s
109:	test: 0.8335941	best: 0.8335941 (109)	total: 17.6s	remaining: 1m 2s
110:	test: 0.8337282	best: 0.8337282 (110)	total: 17.7s	remaining: 1m 2s
111:	test: 0.8338133	best: 0.8338133 (111)	total: 17.9s	remaining: 1m 1s
112:	test: 0.8338890	best: 0.8338890 (112)	total: 18s	remaining: 1m 1s
113:	test: 0.8339994	best: 0.8339994 (113)	total: 18.2s	remaining: 1m 1s
114:	test: 0.8340787	best: 0.8340787 (114)	total: 18.3s	remaining: 1m 1s
115:	test: 0.8341520	best: 0.8341520 (115)	total: 18.5s	remaining: 1m 1s
116:	test: 0.8342754	best: 0.8342754 (116)	total: 18.6s	remaining: 1m
117:	test: 0.8344235	best: 0.8344235 (117)	total: 18.8s	remaining: 1m
118:	test: 0.8345870	best: 0.8345870 (118)	total: 18.9s	remaining: 1m
119:	test: 0.8346498	best: 0.8346498 (119)	total: 19s	remaining: 1m
120:	test: 0.8347422	best: 0.8347422 (120)	total: 19.2s	remaining: 1m
121:	test: 0.8348500	best: 0.8348500 (121)	total: 19.3s	remaining: 59.8s
122:	test: 0.8349591	best: 0.8349591 (122)	total: 19.5s	remaining: 59.6s
123:	test: 0.8350436	best: 0.8350436 (123)	total: 19.6s	remaining: 59.4s
124:	test: 0.8351735	best: 0.8351735 (124)	total: 19.7s	remaining: 59.2s
125:	test: 0.8352674	best: 0.8352674 (125)	total: 19.9s	remaining: 59s
126:	test: 0.8353283	best: 0.8353283 (126)	total: 20s	remaining: 58.8s
127:	test: 0.8354167	best: 0.8354167 (127)	total: 20.2s	remaining: 58.6s
128:	test: 0.8354967	best: 0.8354967 (128)	total: 20.3s	remaining: 58.4s
129:	test: 0.8356057	best: 0.8356057 (129)	total: 20.4s	remaining: 58.2s
130:	test: 0.8356715	best: 0.8356715 (130)	total: 20.6s	remaining: 58s
131:	test: 0.8357816	best: 0.8357816 (131)	total: 20.7s	remaining: 57.8s
132:	test: 0.8358403	best: 0.8358403 (132)	total: 20.9s	remaining: 57.5s
133:	test: 0.8359112	best: 0.8359112 (133)	total: 21s	remaining: 57.3s
134:	test: 0.8359921	best: 0.8359921 (134)	total: 21.1s	remaining: 57.1s
135:	test: 0.8360539	best: 0.8360539 (135)	total: 21.2s	remaining: 56.8s
136:	test: 0.8361524	best: 0.8361524 (136)	total: 21.4s	remaining: 56.6s
137:	test: 0.8362380	best: 0.8362380 (137)	total: 21.5s	remaining: 56.4s
138:	test: 0.8363549	best: 0.8363549 (138)	total: 21.6s	remaining: 56.2s
139:	test: 0.8364399	best: 0.8364399 (139)	total: 21.8s	remaining: 56s
140:	test: 0.8364977	best: 0.8364977 (140)	total: 21.9s	remaining: 55.7s
141:	test: 0.8365779	best: 0.8365779 (141)	total: 22s	remaining: 55.5s
142:	test: 0.8366367	best: 0.8366367 (142)	total: 22.1s	remaining: 55.3s
143:	test: 0.8367546	best: 0.8367546 (143)	total: 22.3s	remaining: 55.1s
144:	test: 0.8368137	best: 0.8368137 (144)	total: 22.4s	remaining: 54.9s
