116:	test: 0.6982757	best: 0.6985054 (113)	total: 5.22s	remaining: 17.1s
117:	test: 0.6988737	best: 0.6988737 (117)	total: 5.29s	remaining: 17.1s
118:	test: 0.6990439	best: 0.6990439 (118)	total: 5.34s	remaining: 17.1s
119:	test: 0.6994287	best: 0.6994287 (119)	total: 5.39s	remaining: 17.1s
120:	test: 0.6998457	best: 0.6998457 (120)	total: 5.44s	remaining: 17s
121:	test: 0.7001146	best: 0.7001146 (121)	total: 5.49s	remaining: 17s
122:	test: 0.7004202	best: 0.7004202 (122)	total: 5.55s	remaining: 17s
123:	test: 0.7008969	best: 0.7008969 (123)	total: 5.6s	remaining: 17s
124:	test: 0.7011509	best: 0.7011509 (124)	total: 5.66s	remaining: 17s
125:	test: 0.7018317	best: 0.7018317 (125)	total: 5.72s	remaining: 17s
126:	test: 0.7017576	best: 0.7018317 (125)	total: 5.77s	remaining: 16.9s
127:	test: 0.7020926	best: 0.7020926 (127)	total: 5.82s	remaining: 16.9s
128:	test: 0.7023895	best: 0.7023895 (128)	total: 5.87s	remaining: 16.9s
129:	test: 0.7023920	best: 0.7023920 (129)	total: 5.92s	remaining: 16.8s
130:	test: 0.7022028	best: 0.7023920 (129)	total: 5.97s	remaining: 16.8s
131:	test: 0.7022842	best: 0.7023920 (129)	total: 6.02s	remaining: 16.8s
132:	test: 0.7024267	best: 0.7024267 (132)	total: 6.07s	remaining: 16.8s
133:	test: 0.7026717	best: 0.7026717 (133)	total: 6.14s	remaining: 16.8s
134:	test: 0.7027393	best: 0.7027393 (134)	total: 6.21s	remaining: 16.8s
135:	test: 0.7027735	best: 0.7027735 (135)	total: 6.26s	remaining: 16.8s
136:	test: 0.7031145	best: 0.7031145 (136)	total: 6.31s	remaining: 16.7s
137:	test: 0.7036140	best: 0.7036140 (137)	total: 6.36s	remaining: 16.7s
138:	test: 0.7034206	best: 0.7036140 (137)	total: 6.41s	remaining: 16.6s
139:	test: 0.7039899	best: 0.7039899 (139)	total: 6.49s	remaining: 16.7s
140:	test: 0.7046819	best: 0.7046819 (140)	total: 6.56s	remaining: 16.7s
141:	test: 0.7047733	best: 0.7047733 (141)	total: 6.63s	remaining: 16.7s
142:	test: 0.7047565	best: 0.7047733 (141)	total: 6.7s	remaining: 16.7s
143:	test: 0.7048755	best: 0.7048755 (143)	total: 6.77s	remaining: 16.7s
144:	test: 0.7048172	best: 0.7048755 (143)	total: 6.84s	remaining: 16.7s
145:	test: 0.7051058	best: 0.7051058 (145)	total: 6.91s	remaining: 16.8s
146:	test: 0.7052109	best: 0.7052109 (146)	total: 6.98s	remaining: 16.8s
147:	test: 0.7050661	best: 0.7052109 (146)	total: 7.05s	remaining: 16.8s
148:	test: 0.7049647	best: 0.7052109 (146)	total: 7.12s	remaining: 16.8s
149:	test: 0.7049782	best: 0.7052109 (146)	total: 7.19s	remaining: 16.8s
150:	test: 0.7050664	best: 0.7052109 (146)	total: 7.26s	remaining: 16.8s
151:	test: 0.7050075	best: 0.7052109 (146)	total: 7.33s	remaining: 16.8s
152:	test: 0.7052383	best: 0.7052383 (152)	total: 7.4s	remaining: 16.8s
153:	test: 0.7051701	best: 0.7052383 (152)	total: 7.47s	remaining: 16.8s
154:	test: 0.7054471	best: 0.7054471 (154)	total: 7.54s	remaining: 16.8s
155:	test: 0.7056022	best: 0.7056022 (155)	total: 7.61s	remaining: 16.8s
156:	test: 0.7058851	best: 0.7058851 (156)	total: 7.69s	remaining: 16.8s
157:	test: 0.7061299	best: 0.7061299 (157)	total: 7.76s	remaining: 16.8s
158:	test: 0.7063866	best: 0.7063866 (158)	total: 7.84s	remaining: 16.8s
159:	test: 0.7062670	best: 0.7063866 (158)	total: 7.91s	remaining: 16.8s
160:	test: 0.7062801	best: 0.7063866 (158)	total: 7.98s	remaining: 16.8s
161:	test: 0.7065677	best: 0.7065677 (161)	total: 8.03s	remaining: 16.8s
162:	test: 0.7065913	best: 0.7065913 (162)	total: 8.08s	remaining: 16.7s
163:	test: 0.7072289	best: 0.7072289 (163)	total: 8.14s	remaining: 16.7s
164:	test: 0.7074836	best: 0.7074836 (164)	total: 8.19s	remaining: 16.6s
165:	test: 0.7074190	best: 0.7074836 (164)	total: 8.24s	remaining: 16.6s
166:	test: 0.7077680	best: 0.7077680 (166)	total: 8.29s	remaining: 16.5s
167:	test: 0.7079541	best: 0.7079541 (167)	total: 8.35s	remaining: 16.5s
168:	test: 0.7081789	best: 0.7081789 (168)	total: 8.4s	remaining: 16.5s
169:	test: 0.7081258	best: 0.7081789 (168)	total: 8.46s	remaining: 16.4s
170:	test: 0.7082470	best: 0.7082470 (170)	total: 8.51s	remaining: 16.4s
171:	test: 0.7084027	best: 0.7084027 (171)	total: 8.56s	remaining: 16.3s
172:	test: 0.7083596	best: 0.7084027 (171)	total: 8.61s	remaining: 16.3s
173:	test: 0.7085277	best: 0.7085277 (173)	total: 8.66s	remaining: 16.2s
174:	test: 0.7087613	best: 0.7087613 (174)	total: 8.72s	remaining: 16.2s
175:	test: 0.7086676	best: 0.7087613 (174)	total: 8.77s	remaining: 16.1s
176:	test: 0.7084998	best: 0.7087613 (174)	total: 8.82s	remaining: 16.1s
177:	test: 0.7087527	best: 0.7087613 (174)	total: 8.87s	remaining: 16s
178:	test: 0.7088921	best: 0.7088921 (178)	total: 8.92s	remaining: 16s
179:	test: 0.7090493	best: 0.7090493 (179)	total: 8.98s	remaining: 16s
180:	test: 0.7089513	best: 0.7090493 (179)	total: 9.03s	remaining: 15.9s
181:	test: 0.7091551	best: 0.7091551 (181)	total: 9.07s	remaining: 15.9s
182:	test: 0.7092101	best: 0.7092101 (182)	total: 9.13s	remaining: 15.8s
183:	test: 0.7093666	best: 0.7093666 (183)	total: 9.18s	remaining: 15.8s
184:	test: 0.7094249	best: 0.7094249 (184)	total: 9.23s	remaining: 15.7s
185:	test: 0.7094257	best: 0.7094257 (185)	total: 9.29s	remaining: 15.7s
186:	test: 0.7094620	best: 0.7094620 (186)	total: 9.34s	remaining: 15.6s
187:	test: 0.7094260	best: 0.7094620 (186)	total: 9.38s	remaining: 15.6s
188:	test: 0.7096468	best: 0.7096468 (188)	total: 9.44s	remaining: 15.5s
189:	test: 0.7098137	best: 0.7098137 (189)	total: 9.49s	remaining: 15.5s
190:	test: 0.7098576	best: 0.7098576 (190)	total: 9.54s	remaining: 15.4s
191:	test: 0.7097259	best: 0.7098576 (190)	total: 9.59s	remaining: 15.4s
192:	test: 0.7097156	best: 0.7098576 (190)	total: 9.64s	remaining: 15.3s
193:	test: 0.7099058	best: 0.7099058 (193)	total: 9.69s	remaining: 15.3s
194:	test: 0.7100166	best: 0.7100166 (194)	total: 9.74s	remaining: 15.2s
195:	test: 0.7100899	best: 0.7100899 (195)	total: 9.8s	remaining: 15.2s
196:	test: 0.7102164	best: 0.7102164 (196)	total: 9.85s	remaining: 15.1s
197:	test: 0.7102442	best: 0.7102442 (197)	total: 9.9s	remaining: 15.1s
198:	test: 0.7102556	best: 0.7102556 (198)	total: 9.96s	remaining: 15.1s
199:	test: 0.7103465	best: 0.7103465 (199)	total: 10s	remaining: 15s
200:	test: 0.7102495	best: 0.7103465 (199)	total: 10.1s	remaining: 15s
201:	test: 0.7103596	best: 0.7103596 (201)	total: 10.1s	remaining: 14.9s
202:	test: 0.7104041	best: 0.7104041 (202)	total: 10.2s	remaining: 14.9s
203:	test: 0.7103689	best: 0.7104041 (202)	total: 10.2s	remaining: 14.8s
204:	test: 0.7103531	best: 0.7104041 (202)	total: 10.3s	remaining: 14.8s
205:	test: 0.7103561	best: 0.7104041 (202)	total: 10.3s	remaining: 14.8s
206:	test: 0.7103008	best: 0.7104041 (202)	total: 10.4s	remaining: 14.7s
207:	test: 0.7103212	best: 0.7104041 (202)	total: 10.4s	remaining: 14.7s
208:	test: 0.7102585	best: 0.7104041 (202)	total: 10.5s	remaining: 14.6s
209:	test: 0.7102644	best: 0.7104041 (202)	total: 10.5s	remaining: 14.6s
210:	test: 0.7103565	best: 0.7104041 (202)	total: 10.6s	remaining: 14.5s
211:	test: 0.7104082	best: 0.7104082 (211)	total: 10.6s	remaining: 14.5s
212:	test: 0.7104906	best: 0.7104906 (212)	total: 10.7s	remaining: 14.4s
213:	test: 0.7105145	best: 0.7105145 (213)	total: 10.8s	remaining: 14.4s
214:	test: 0.7107718	best: 0.7107718 (214)	total: 10.8s	remaining: 14.4s
215:	test: 0.7106138	best: 0.7107718 (214)	total: 10.9s	remaining: 14.3s
216:	test: 0.7107486	best: 0.7107718 (214)	total: 10.9s	remaining: 14.3s
217:	test: 0.7106881	best: 0.7107718 (214)	total: 11s	remaining: 14.3s
218:	test: 0.7108818	best: 0.7108818 (218)	total: 11.1s	remaining: 14.2s
219:	test: 0.7109907	best: 0.7109907 (219)	total: 11.2s	remaining: 14.2s
220:	test: 0.7108054	best: 0.7109907 (219)	total: 11.2s	remaining: 14.2s
221:	test: 0.7111321	best: 0.7111321 (221)	total: 11.3s	remaining: 14.1s
222:	test: 0.7111726	best: 0.7111726 (222)	total: 11.3s	remaining: 14.1s
223:	test: 0.7110990	best: 0.7111726 (222)	total: 11.4s	remaining: 14s
224:	test: 0.7112560	best: 0.7112560 (224)	total: 11.4s	remaining: 14s
225:	test: 0.7112291	best: 0.7112560 (224)	total: 11.5s	remaining: 13.9s
226:	test: 0.7114157	best: 0.7114157 (226)	total: 11.5s	remaining: 13.9s
227:	test: 0.7113922	best: 0.7114157 (226)	total: 11.6s	remaining: 13.8s
228:	test: 0.7115165	best: 0.7115165 (228)	total: 11.6s	remaining: 13.8s
229:	test: 0.7114551	best: 0.7115165 (228)	total: 11.7s	remaining: 13.7s
230:	test: 0.7116054	best: 0.7116054 (230)	total: 11.7s	remaining: 13.7s
231:	test: 0.7115358	best: 0.7116054 (230)	total: 11.8s	remaining: 13.6s
232:	test: 0.7114185	best: 0.7116054 (230)	total: 11.8s	remaining: 13.6s
233:	test: 0.7114932	best: 0.7116054 (230)	total: 11.9s	remaining: 13.5s
234:	test: 0.7115427	best: 0.7116054 (230)	total: 11.9s	remaining: 13.5s
235:	test: 0.7119094	best: 0.7119094 (235)	total: 12s	remaining: 13.4s
236:	test: 0.7122501	best: 0.7122501 (236)	total: 12.1s	remaining: 13.4s
237:	test: 0.7122500	best: 0.7122501 (236)	total: 12.1s	remaining: 13.3s
238:	test: 0.7125753	best: 0.7125753 (238)	total: 12.2s	remaining: 13.3s
239:	test: 0.7126052	best: 0.7126052 (239)	total: 12.2s	remaining: 13.2s
240:	test: 0.7125807	best: 0.7126052 (239)	total: 12.3s	remaining: 13.2s
241:	test: 0.7126406	best: 0.7126406 (241)	total: 12.3s	remaining: 13.1s
242:	test: 0.7126442	best: 0.7126442 (242)	total: 12.3s	remaining: 13.1s
