153:	test: 0.9388285	best: 0.9388285 (153)	total: 34.2s	remaining: 1m 16s
154:	test: 0.9389297	best: 0.9389297 (154)	total: 34.4s	remaining: 1m 16s
155:	test: 0.9390031	best: 0.9390031 (155)	total: 34.6s	remaining: 1m 16s
156:	test: 0.9390833	best: 0.9390833 (156)	total: 34.8s	remaining: 1m 16s
157:	test: 0.9391868	best: 0.9391868 (157)	total: 35.1s	remaining: 1m 15s
158:	test: 0.9393220	best: 0.9393220 (158)	total: 35.3s	remaining: 1m 15s
159:	test: 0.9394291	best: 0.9394291 (159)	total: 35.5s	remaining: 1m 15s
160:	test: 0.9395136	best: 0.9395136 (160)	total: 35.7s	remaining: 1m 15s
161:	test: 0.9396055	best: 0.9396055 (161)	total: 35.9s	remaining: 1m 14s
162:	test: 0.9397112	best: 0.9397112 (162)	total: 36.1s	remaining: 1m 14s
163:	test: 0.9398018	best: 0.9398018 (163)	total: 36.3s	remaining: 1m 14s
164:	test: 0.9399013	best: 0.9399013 (164)	total: 36.5s	remaining: 1m 14s
165:	test: 0.9399515	best: 0.9399515 (165)	total: 36.7s	remaining: 1m 13s
166:	test: 0.9400251	best: 0.9400251 (166)	total: 36.9s	remaining: 1m 13s
167:	test: 0.9401186	best: 0.9401186 (167)	total: 37.2s	remaining: 1m 13s
168:	test: 0.9401978	best: 0.9401978 (168)	total: 37.4s	remaining: 1m 13s
169:	test: 0.9402969	best: 0.9402969 (169)	total: 37.6s	remaining: 1m 12s
170:	test: 0.9403710	best: 0.9403710 (170)	total: 37.8s	remaining: 1m 12s
171:	test: 0.9404421	best: 0.9404421 (171)	total: 38s	remaining: 1m 12s
172:	test: 0.9405358	best: 0.9405358 (172)	total: 38.2s	remaining: 1m 12s
173:	test: 0.9406273	best: 0.9406273 (173)	total: 38.4s	remaining: 1m 11s
174:	test: 0.9407159	best: 0.9407159 (174)	total: 38.7s	remaining: 1m 11s
175:	test: 0.9408125	best: 0.9408125 (175)	total: 38.9s	remaining: 1m 11s
176:	test: 0.9409126	best: 0.9409126 (176)	total: 39.1s	remaining: 1m 11s
177:	test: 0.9409774	best: 0.9409774 (177)	total: 39.3s	remaining: 1m 11s
178:	test: 0.9410619	best: 0.9410619 (178)	total: 39.5s	remaining: 1m 10s
179:	test: 0.9411475	best: 0.9411475 (179)	total: 39.7s	remaining: 1m 10s
180:	test: 0.9412218	best: 0.9412218 (180)	total: 40s	remaining: 1m 10s
181:	test: 0.9413110	best: 0.9413110 (181)	total: 40.2s	remaining: 1m 10s
182:	test: 0.9414248	best: 0.9414248 (182)	total: 40.4s	remaining: 1m 9s
183:	test: 0.9414959	best: 0.9414959 (183)	total: 40.6s	remaining: 1m 9s
184:	test: 0.9415430	best: 0.9415430 (184)	total: 40.8s	remaining: 1m 9s
185:	test: 0.9416366	best: 0.9416366 (185)	total: 41s	remaining: 1m 9s
186:	test: 0.9417043	best: 0.9417043 (186)	total: 41.2s	remaining: 1m 9s
187:	test: 0.9417650	best: 0.9417650 (187)	total: 41.5s	remaining: 1m 8s
188:	test: 0.9418619	best: 0.9418619 (188)	total: 41.7s	remaining: 1m 8s
189:	test: 0.9419261	best: 0.9419261 (189)	total: 41.9s	remaining: 1m 8s
190:	test: 0.9419890	best: 0.9419890 (190)	total: 42.1s	remaining: 1m 8s
191:	test: 0.9420523	best: 0.9420523 (191)	total: 42.3s	remaining: 1m 7s
192:	test: 0.9421115	best: 0.9421115 (192)	total: 42.5s	remaining: 1m 7s
193:	test: 0.9421892	best: 0.9421892 (193)	total: 42.7s	remaining: 1m 7s
194:	test: 0.9422464	best: 0.9422464 (194)	total: 42.9s	remaining: 1m 7s
195:	test: 0.9423074	best: 0.9423074 (195)	total: 43.1s	remaining: 1m 6s
196:	test: 0.9423977	best: 0.9423977 (196)	total: 43.3s	remaining: 1m 6s
197:	test: 0.9424434	best: 0.9424434 (197)	total: 43.5s	remaining: 1m 6s
198:	test: 0.9425057	best: 0.9425057 (198)	total: 43.7s	remaining: 1m 6s
199:	test: 0.9425639	best: 0.9425639 (199)	total: 44s	remaining: 1m 5s
200:	test: 0.9426376	best: 0.9426376 (200)	total: 44.2s	remaining: 1m 5s
201:	test: 0.9426960	best: 0.9426960 (201)	total: 44.4s	remaining: 1m 5s
202:	test: 0.9427347	best: 0.9427347 (202)	total: 44.6s	remaining: 1m 5s
203:	test: 0.9427832	best: 0.9427832 (203)	total: 44.8s	remaining: 1m 4s
204:	test: 0.9428625	best: 0.9428625 (204)	total: 45s	remaining: 1m 4s
205:	test: 0.9429224	best: 0.9429224 (205)	total: 45.2s	remaining: 1m 4s
206:	test: 0.9429929	best: 0.9429929 (206)	total: 45.4s	remaining: 1m 4s
207:	test: 0.9430497	best: 0.9430497 (207)	total: 45.6s	remaining: 1m 4s
208:	test: 0.9431062	best: 0.9431062 (208)	total: 45.8s	remaining: 1m 3s
209:	test: 0.9431410	best: 0.9431410 (209)	total: 46.1s	remaining: 1m 3s
210:	test: 0.9431919	best: 0.9431919 (210)	total: 46.3s	remaining: 1m 3s
211:	test: 0.9432422	best: 0.9432422 (211)	total: 46.5s	remaining: 1m 3s
212:	test: 0.9432848	best: 0.9432848 (212)	total: 46.7s	remaining: 1m 2s
213:	test: 0.9433415	best: 0.9433415 (213)	total: 46.9s	remaining: 1m 2s
214:	test: 0.9433948	best: 0.9433948 (214)	total: 47.1s	remaining: 1m 2s
215:	test: 0.9434480	best: 0.9434480 (215)	total: 47.3s	remaining: 1m 2s
216:	test: 0.9435022	best: 0.9435022 (216)	total: 47.5s	remaining: 1m 1s
217:	test: 0.9435579	best: 0.9435579 (217)	total: 47.7s	remaining: 1m 1s
218:	test: 0.9436147	best: 0.9436147 (218)	total: 48s	remaining: 1m 1s
219:	test: 0.9436514	best: 0.9436514 (219)	total: 48.2s	remaining: 1m 1s
220:	test: 0.9437039	best: 0.9437039 (220)	total: 48.4s	remaining: 1m 1s
221:	test: 0.9437188	best: 0.9437188 (221)	total: 48.6s	remaining: 1m
222:	test: 0.9437734	best: 0.9437734 (222)	total: 48.8s	remaining: 1m
223:	test: 0.9438205	best: 0.9438205 (223)	total: 49s	remaining: 1m
224:	test: 0.9438412	best: 0.9438412 (224)	total: 49.2s	remaining: 1m
225:	test: 0.9438700	best: 0.9438700 (225)	total: 49.4s	remaining: 59.9s
226:	test: 0.9439265	best: 0.9439265 (226)	total: 49.6s	remaining: 59.7s
227:	test: 0.9439802	best: 0.9439802 (227)	total: 49.8s	remaining: 59.4s
228:	test: 0.9440313	best: 0.9440313 (228)	total: 50s	remaining: 59.2s
229:	test: 0.9440585	best: 0.9440585 (229)	total: 50.2s	remaining: 59s
230:	test: 0.9440945	best: 0.9440945 (230)	total: 50.4s	remaining: 58.7s
231:	test: 0.9441507	best: 0.9441507 (231)	total: 50.6s	remaining: 58.5s
232:	test: 0.9441875	best: 0.9441875 (232)	total: 50.8s	remaining: 58.3s
233:	test: 0.9442322	best: 0.9442322 (233)	total: 51.1s	remaining: 58.1s
234:	test: 0.9442695	best: 0.9442695 (234)	total: 51.3s	remaining: 57.8s
235:	test: 0.9443020	best: 0.9443020 (235)	total: 51.5s	remaining: 57.6s
236:	test: 0.9443508	best: 0.9443508 (236)	total: 51.7s	remaining: 57.4s
237:	test: 0.9443786	best: 0.9443786 (237)	total: 51.9s	remaining: 57.1s
238:	test: 0.9444161	best: 0.9444161 (238)	total: 52.1s	remaining: 56.9s
239:	test: 0.9444475	best: 0.9444475 (239)	total: 52.3s	remaining: 56.7s
