120:	learn: 7.5654683	test: 8.9843188	best: 8.9843188 (120)	total: 8.52s	remaining: 26.7s
121:	learn: 7.5563294	test: 8.9841150	best: 8.9841150 (121)	total: 8.59s	remaining: 26.6s
122:	learn: 7.5473040	test: 8.9838779	best: 8.9838779 (122)	total: 8.66s	remaining: 26.5s
123:	learn: 7.5388917	test: 8.9844419	best: 8.9838779 (122)	total: 8.73s	remaining: 26.5s
124:	learn: 7.5299135	test: 8.9837194	best: 8.9837194 (124)	total: 8.81s	remaining: 26.4s
125:	learn: 7.5218419	test: 8.9834216	best: 8.9834216 (125)	total: 8.88s	remaining: 26.4s
126:	learn: 7.5150019	test: 8.9819417	best: 8.9819417 (126)	total: 8.95s	remaining: 26.3s
127:	learn: 7.5065962	test: 8.9814780	best: 8.9814780 (127)	total: 9.01s	remaining: 26.2s
128:	learn: 7.4983320	test: 8.9809222	best: 8.9809222 (128)	total: 9.07s	remaining: 26.1s
129:	learn: 7.4903475	test: 8.9809230	best: 8.9809222 (128)	total: 9.14s	remaining: 26s
130:	learn: 7.4820205	test: 8.9810394	best: 8.9809222 (128)	total: 9.21s	remaining: 25.9s
131:	learn: 7.4742104	test: 8.9812031	best: 8.9809222 (128)	total: 9.27s	remaining: 25.8s
132:	learn: 7.4669346	test: 8.9816301	best: 8.9809222 (128)	total: 9.33s	remaining: 25.7s
133:	learn: 7.4595933	test: 8.9815166	best: 8.9809222 (128)	total: 9.4s	remaining: 25.7s
134:	learn: 7.4507642	test: 8.9815689	best: 8.9809222 (128)	total: 9.46s	remaining: 25.6s
135:	learn: 7.4440144	test: 8.9815384	best: 8.9809222 (128)	total: 9.53s	remaining: 25.5s
136:	learn: 7.4369300	test: 8.9822419	best: 8.9809222 (128)	total: 9.59s	remaining: 25.4s
137:	learn: 7.4287989	test: 8.9823899	best: 8.9809222 (128)	total: 9.66s	remaining: 25.4s
138:	learn: 7.4202234	test: 8.9823287	best: 8.9809222 (128)	total: 9.73s	remaining: 25.3s
139:	learn: 7.4124856	test: 8.9817624	best: 8.9809222 (128)	total: 9.79s	remaining: 25.2s
140:	learn: 7.4043564	test: 8.9817069	best: 8.9809222 (128)	total: 9.86s	remaining: 25.1s
141:	learn: 7.3974451	test: 8.9822357	best: 8.9809222 (128)	total: 9.93s	remaining: 25s
142:	learn: 7.3896370	test: 8.9818961	best: 8.9809222 (128)	total: 9.99s	remaining: 24.9s
143:	learn: 7.3816626	test: 8.9813031	best: 8.9809222 (128)	total: 10.1s	remaining: 24.9s
144:	learn: 7.3730432	test: 8.9811351	best: 8.9809222 (128)	total: 10.1s	remaining: 24.8s
145:	learn: 7.3655105	test: 8.9803124	best: 8.9803124 (145)	total: 10.2s	remaining: 24.7s
146:	learn: 7.3588953	test: 8.9797252	best: 8.9797252 (146)	total: 10.2s	remaining: 24.6s
147:	learn: 7.3528437	test: 8.9792954	best: 8.9792954 (147)	total: 10.3s	remaining: 24.5s
148:	learn: 7.3450848	test: 8.9791484	best: 8.9791484 (148)	total: 10.4s	remaining: 24.4s
149:	learn: 7.3388617	test: 8.9793752	best: 8.9791484 (148)	total: 10.4s	remaining: 24.3s
150:	learn: 7.3318599	test: 8.9797974	best: 8.9791484 (148)	total: 10.5s	remaining: 24.3s
151:	learn: 7.3241859	test: 8.9793045	best: 8.9791484 (148)	total: 10.6s	remaining: 24.2s
152:	learn: 7.3169100	test: 8.9800430	best: 8.9791484 (148)	total: 10.6s	remaining: 24.1s
153:	learn: 7.3115632	test: 8.9799700	best: 8.9791484 (148)	total: 10.7s	remaining: 24s
154:	learn: 7.3043651	test: 8.9795461	best: 8.9791484 (148)	total: 10.8s	remaining: 23.9s
155:	learn: 7.2971865	test: 8.9793687	best: 8.9791484 (148)	total: 10.8s	remaining: 23.9s
156:	learn: 7.2908983	test: 8.9788451	best: 8.9788451 (156)	total: 10.9s	remaining: 23.8s
157:	learn: 7.2850457	test: 8.9788645	best: 8.9788451 (156)	total: 10.9s	remaining: 23.7s
158:	learn: 7.2774202	test: 8.9780248	best: 8.9780248 (158)	total: 11s	remaining: 23.6s
159:	learn: 7.2702408	test: 8.9785536	best: 8.9780248 (158)	total: 11.1s	remaining: 23.5s
160:	learn: 7.2621641	test: 8.9774979	best: 8.9774979 (160)	total: 11.1s	remaining: 23.5s
161:	learn: 7.2541649	test: 8.9776936	best: 8.9774979 (160)	total: 11.2s	remaining: 23.4s
162:	learn: 7.2465259	test: 8.9778136	best: 8.9774979 (160)	total: 11.3s	remaining: 23.3s
163:	learn: 7.2399155	test: 8.9768983	best: 8.9768983 (163)	total: 11.3s	remaining: 23.2s
164:	learn: 7.2334374	test: 8.9770658	best: 8.9768983 (163)	total: 11.4s	remaining: 23.2s
165:	learn: 7.2281607	test: 8.9766931	best: 8.9766931 (165)	total: 11.5s	remaining: 23.1s
166:	learn: 7.2215027	test: 8.9764094	best: 8.9764094 (166)	total: 11.5s	remaining: 23s
167:	learn: 7.2151954	test: 8.9764299	best: 8.9764094 (166)	total: 11.6s	remaining: 22.9s
168:	learn: 7.2098686	test: 8.9758435	best: 8.9758435 (168)	total: 11.7s	remaining: 22.8s
169:	learn: 7.2040190	test: 8.9755001	best: 8.9755001 (169)	total: 11.7s	remaining: 22.8s
170:	learn: 7.1968656	test: 8.9748872	best: 8.9748872 (170)	total: 11.8s	remaining: 22.7s
171:	learn: 7.1910036	test: 8.9749072	best: 8.9748872 (170)	total: 11.9s	remaining: 22.6s
172:	learn: 7.1859322	test: 8.9747790	best: 8.9747790 (172)	total: 11.9s	remaining: 22.6s
