120:	test: 0.7004353	best: 0.7006556 (119)	total: 5.26s	remaining: 16.5s
121:	test: 0.7006126	best: 0.7006556 (119)	total: 5.3s	remaining: 16.4s
122:	test: 0.7011699	best: 0.7011699 (122)	total: 5.36s	remaining: 16.4s
123:	test: 0.7002507	best: 0.7011699 (122)	total: 5.41s	remaining: 16.4s
124:	test: 0.7004061	best: 0.7011699 (122)	total: 5.45s	remaining: 16.4s
125:	test: 0.7015014	best: 0.7015014 (125)	total: 5.51s	remaining: 16.3s
126:	test: 0.7014590	best: 0.7015014 (125)	total: 5.55s	remaining: 16.3s
127:	test: 0.7017317	best: 0.7017317 (127)	total: 5.61s	remaining: 16.3s
128:	test: 0.7019514	best: 0.7019514 (128)	total: 5.66s	remaining: 16.3s
129:	test: 0.7019397	best: 0.7019514 (128)	total: 5.7s	remaining: 16.2s
130:	test: 0.7025340	best: 0.7025340 (130)	total: 5.76s	remaining: 16.2s
131:	test: 0.7028902	best: 0.7028902 (131)	total: 5.81s	remaining: 16.2s
132:	test: 0.7023019	best: 0.7028902 (131)	total: 5.86s	remaining: 16.2s
133:	test: 0.7023784	best: 0.7028902 (131)	total: 5.91s	remaining: 16.1s
134:	test: 0.7021492	best: 0.7028902 (131)	total: 5.96s	remaining: 16.1s
135:	test: 0.7022192	best: 0.7028902 (131)	total: 6.01s	remaining: 16.1s
136:	test: 0.7019730	best: 0.7028902 (131)	total: 6.05s	remaining: 16s
137:	test: 0.7019863	best: 0.7028902 (131)	total: 6.1s	remaining: 16s
138:	test: 0.7025120	best: 0.7028902 (131)	total: 6.15s	remaining: 16s
139:	test: 0.7025228	best: 0.7028902 (131)	total: 6.2s	remaining: 15.9s
140:	test: 0.7026526	best: 0.7028902 (131)	total: 6.25s	remaining: 15.9s
141:	test: 0.7027892	best: 0.7028902 (131)	total: 6.3s	remaining: 15.9s
142:	test: 0.7027639	best: 0.7028902 (131)	total: 6.35s	remaining: 15.9s
143:	test: 0.7027866	best: 0.7028902 (131)	total: 6.4s	remaining: 15.8s
144:	test: 0.7029780	best: 0.7029780 (144)	total: 6.45s	remaining: 15.8s
145:	test: 0.7032650	best: 0.7032650 (145)	total: 6.5s	remaining: 15.8s
146:	test: 0.7032781	best: 0.7032781 (146)	total: 6.55s	remaining: 15.7s
147:	test: 0.7031351	best: 0.7032781 (146)	total: 6.59s	remaining: 15.7s
148:	test: 0.7030548	best: 0.7032781 (146)	total: 6.66s	remaining: 15.7s
149:	test: 0.7031878	best: 0.7032781 (146)	total: 6.71s	remaining: 15.7s
150:	test: 0.7032092	best: 0.7032781 (146)	total: 6.76s	remaining: 15.6s
151:	test: 0.7032341	best: 0.7032781 (146)	total: 6.81s	remaining: 15.6s
152:	test: 0.7035064	best: 0.7035064 (152)	total: 6.87s	remaining: 15.6s
153:	test: 0.7036400	best: 0.7036400 (153)	total: 6.93s	remaining: 15.6s
154:	test: 0.7035339	best: 0.7036400 (153)	total: 6.98s	remaining: 15.5s
155:	test: 0.7035264	best: 0.7036400 (153)	total: 7.03s	remaining: 15.5s
156:	test: 0.7036393	best: 0.7036400 (153)	total: 7.08s	remaining: 15.5s
157:	test: 0.7037348	best: 0.7037348 (157)	total: 7.13s	remaining: 15.4s
158:	test: 0.7037829	best: 0.7037829 (158)	total: 7.18s	remaining: 15.4s
159:	test: 0.7037882	best: 0.7037882 (159)	total: 7.24s	remaining: 15.4s
160:	test: 0.7042936	best: 0.7042936 (160)	total: 7.29s	remaining: 15.4s
161:	test: 0.7044089	best: 0.7044089 (161)	total: 7.34s	remaining: 15.3s
162:	test: 0.7045175	best: 0.7045175 (162)	total: 7.39s	remaining: 15.3s
163:	test: 0.7045386	best: 0.7045386 (163)	total: 7.44s	remaining: 15.2s
164:	test: 0.7046151	best: 0.7046151 (164)	total: 7.49s	remaining: 15.2s
165:	test: 0.7045429	best: 0.7046151 (164)	total: 7.54s	remaining: 15.2s
166:	test: 0.7046658	best: 0.7046658 (166)	total: 7.6s	remaining: 15.2s
167:	test: 0.7048247	best: 0.7048247 (167)	total: 7.66s	remaining: 15.1s
168:	test: 0.7047665	best: 0.7048247 (167)	total: 7.72s	remaining: 15.1s
169:	test: 0.7047765	best: 0.7048247 (167)	total: 7.78s	remaining: 15.1s
170:	test: 0.7047163	best: 0.7048247 (167)	total: 7.83s	remaining: 15.1s
171:	test: 0.7048282	best: 0.7048282 (171)	total: 7.88s	remaining: 15s
172:	test: 0.7047969	best: 0.7048282 (171)	total: 7.94s	remaining: 15s
173:	test: 0.7047118	best: 0.7048282 (171)	total: 7.99s	remaining: 15s
174:	test: 0.7051130	best: 0.7051130 (174)	total: 8.05s	remaining: 14.9s
175:	test: 0.7056000	best: 0.7056000 (175)	total: 8.1s	remaining: 14.9s
176:	test: 0.7055552	best: 0.7056000 (175)	total: 8.15s	remaining: 14.9s
177:	test: 0.7059584	best: 0.7059584 (177)	total: 8.2s	remaining: 14.8s
178:	test: 0.7062733	best: 0.7062733 (178)	total: 8.26s	remaining: 14.8s
179:	test: 0.7063111	best: 0.7063111 (179)	total: 8.31s	remaining: 14.8s
180:	test: 0.7064219	best: 0.7064219 (180)	total: 8.37s	remaining: 14.7s
181:	test: 0.7065282	best: 0.7065282 (181)	total: 8.41s	remaining: 14.7s
182:	test: 0.7065385	best: 0.7065385 (182)	total: 8.47s	remaining: 14.7s
183:	test: 0.7070632	best: 0.7070632 (183)	total: 8.53s	remaining: 14.6s
184:	test: 0.7072303	best: 0.7072303 (184)	total: 8.58s	remaining: 14.6s
185:	test: 0.7074178	best: 0.7074178 (185)	total: 8.63s	remaining: 14.6s
186:	test: 0.7078921	best: 0.7078921 (186)	total: 8.68s	remaining: 14.5s
187:	test: 0.7085275	best: 0.7085275 (187)	total: 8.74s	remaining: 14.5s
188:	test: 0.7085455	best: 0.7085455 (188)	total: 8.79s	remaining: 14.5s
189:	test: 0.7085592	best: 0.7085592 (189)	total: 8.84s	remaining: 14.4s
190:	test: 0.7085089	best: 0.7085592 (189)	total: 8.89s	remaining: 14.4s
191:	test: 0.7085125	best: 0.7085592 (189)	total: 8.95s	remaining: 14.4s
