Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:top=10;type=Exp is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
166:	test: 0.7854940	best: 0.7854940 (166)	total: 27.4s	remaining: 54.7s
167:	test: 0.7852869	best: 0.7854940 (166)	total: 27.6s	remaining: 54.6s
168:	test: 0.7854414	best: 0.7854940 (166)	total: 27.8s	remaining: 54.5s
169:	test: 0.7855506	best: 0.7855506 (169)	total: 28s	remaining: 54.4s
170:	test: 0.7855519	best: 0.7855519 (170)	total: 28.2s	remaining: 54.2s
171:	test: 0.7855185	best: 0.7855519 (170)	total: 28.3s	remaining: 54s
172:	test: 0.7856693	best: 0.7856693 (172)	total: 28.4s	remaining: 53.7s
173:	test: 0.7857118	best: 0.7857118 (173)	total: 28.6s	remaining: 53.5s
174:	test: 0.7858455	best: 0.7858455 (174)	total: 28.7s	remaining: 53.3s
175:	test: 0.7857321	best: 0.7858455 (174)	total: 28.8s	remaining: 53.1s
176:	test: 0.7859983	best: 0.7859983 (176)	total: 29s	remaining: 52.8s
177:	test: 0.7859570	best: 0.7859983 (176)	total: 29.1s	remaining: 52.6s
178:	test: 0.7861185	best: 0.7861185 (178)	total: 29.2s	remaining: 52.4s
179:	test: 0.7861951	best: 0.7861951 (179)	total: 29.4s	remaining: 52.2s
180:	test: 0.7861939	best: 0.7861951 (179)	total: 29.5s	remaining: 52s
181:	test: 0.7861946	best: 0.7861951 (179)	total: 29.6s	remaining: 51.8s
182:	test: 0.7862399	best: 0.7862399 (182)	total: 29.8s	remaining: 51.6s
183:	test: 0.7863354	best: 0.7863354 (183)	total: 29.9s	remaining: 51.3s
184:	test: 0.7864122	best: 0.7864122 (184)	total: 30s	remaining: 51.2s
185:	test: 0.7861063	best: 0.7864122 (184)	total: 30.2s	remaining: 51s
186:	test: 0.7863545	best: 0.7864122 (184)	total: 30.3s	remaining: 50.8s
187:	test: 0.7864317	best: 0.7864317 (187)	total: 30.5s	remaining: 50.5s
188:	test: 0.7865428	best: 0.7865428 (188)	total: 30.6s	remaining: 50.3s
189:	test: 0.7864621	best: 0.7865428 (188)	total: 30.7s	remaining: 50.1s
190:	test: 0.7866540	best: 0.7866540 (190)	total: 30.9s	remaining: 49.9s
191:	test: 0.7866197	best: 0.7866540 (190)	total: 31s	remaining: 49.7s
192:	test: 0.7867290	best: 0.7867290 (192)	total: 31.1s	remaining: 49.5s
193:	test: 0.7866318	best: 0.7867290 (192)	total: 31.4s	remaining: 49.5s
194:	test: 0.7867584	best: 0.7867584 (194)	total: 31.6s	remaining: 49.4s
195:	test: 0.7868302	best: 0.7868302 (195)	total: 31.8s	remaining: 49.3s
196:	test: 0.7868693	best: 0.7868693 (196)	total: 32s	remaining: 49.2s
197:	test: 0.7869323	best: 0.7869323 (197)	total: 32.1s	remaining: 49s
198:	test: 0.7870401	best: 0.7870401 (198)	total: 32.3s	remaining: 48.8s
199:	test: 0.7868011	best: 0.7870401 (198)	total: 32.4s	remaining: 48.6s
200:	test: 0.7868723	best: 0.7870401 (198)	total: 32.6s	remaining: 48.4s
201:	test: 0.7868082	best: 0.7870401 (198)	total: 32.7s	remaining: 48.2s
202:	test: 0.7868794	best: 0.7870401 (198)	total: 32.8s	remaining: 48s
203:	test: 0.7870771	best: 0.7870771 (203)	total: 33s	remaining: 47.8s
204:	test: 0.7871345	best: 0.7871345 (204)	total: 33.1s	remaining: 47.6s
205:	test: 0.7870695	best: 0.7871345 (204)	total: 33.3s	remaining: 47.5s
206:	test: 0.7871459	best: 0.7871459 (206)	total: 33.4s	remaining: 47.3s
207:	test: 0.7871966	best: 0.7871966 (207)	total: 33.5s	remaining: 47.1s
208:	test: 0.7873794	best: 0.7873794 (208)	total: 33.7s	remaining: 46.9s
209:	test: 0.7873446	best: 0.7873794 (208)	total: 33.8s	remaining: 46.7s
210:	test: 0.7873128	best: 0.7873794 (208)	total: 33.9s	remaining: 46.5s
211:	test: 0.7872492	best: 0.7873794 (208)	total: 34.1s	remaining: 46.3s
212:	test: 0.7872729	best: 0.7873794 (208)	total: 34.2s	remaining: 46.1s
213:	test: 0.7871745	best: 0.7873794 (208)	total: 34.4s	remaining: 45.9s
214:	test: 0.7872982	best: 0.7873794 (208)	total: 34.5s	remaining: 45.7s
215:	test: 0.7871945	best: 0.7873794 (208)	total: 34.6s	remaining: 45.5s
216:	test: 0.7873796	best: 0.7873796 (216)	total: 34.8s	remaining: 45.4s
217:	test: 0.7873871	best: 0.7873871 (217)	total: 35s	remaining: 45.3s
218:	test: 0.7877416	best: 0.7877416 (218)	total: 35.2s	remaining: 45.2s
219:	test: 0.7878138	best: 0.7878138 (219)	total: 35.3s	remaining: 45s
220:	test: 0.7878000	best: 0.7878138 (219)	total: 35.5s	remaining: 44.8s
221:	test: 0.7876462	best: 0.7878138 (219)	total: 35.6s	remaining: 44.6s
222:	test: 0.7876817	best: 0.7878138 (219)	total: 35.7s	remaining: 44.4s
223:	test: 0.7877470	best: 0.7878138 (219)	total: 35.9s	remaining: 44.2s
224:	test: 0.7877769	best: 0.7878138 (219)	total: 36.1s	remaining: 44.1s
225:	test: 0.7879031	best: 0.7879031 (225)	total: 36.3s	remaining: 44s
226:	test: 0.7880261	best: 0.7880261 (226)	total: 36.4s	remaining: 43.8s
227:	test: 0.7879384	best: 0.7880261 (226)	total: 36.5s	remaining: 43.6s
228:	test: 0.7879205	best: 0.7880261 (226)	total: 36.7s	remaining: 43.4s
229:	test: 0.7878648	best: 0.7880261 (226)	total: 36.8s	remaining: 43.2s
230:	test: 0.7879750	best: 0.7880261 (226)	total: 37s	remaining: 43s
231:	test: 0.7879354	best: 0.7880261 (226)	total: 37.1s	remaining: 42.9s
232:	test: 0.7878624	best: 0.7880261 (226)	total: 37.2s	remaining: 42.7s
233:	test: 0.7880333	best: 0.7880333 (233)	total: 37.4s	remaining: 42.5s
234:	test: 0.7882990	best: 0.7882990 (234)	total: 37.5s	remaining: 42.3s
235:	test: 0.7884111	best: 0.7884111 (235)	total: 37.7s	remaining: 42.1s
236:	test: 0.7883822	best: 0.7884111 (235)	total: 37.8s	remaining: 42s
237:	test: 0.7882667	best: 0.7884111 (235)	total: 37.9s	remaining: 41.8s
238:	test: 0.7882253	best: 0.7884111 (235)	total: 38.1s	remaining: 41.6s
239:	test: 0.7880914	best: 0.7884111 (235)	total: 38.2s	remaining: 41.4s
240:	test: 0.7881547	best: 0.7884111 (235)	total: 38.4s	remaining: 41.2s
241:	test: 0.7882401	best: 0.7884111 (235)	total: 38.5s	remaining: 41.1s
242:	test: 0.7883035	best: 0.7884111 (235)	total: 38.7s	remaining: 40.9s
243:	test: 0.7885286	best: 0.7885286 (243)	total: 38.8s	remaining: 40.7s
244:	test: 0.7885641	best: 0.7885641 (244)	total: 38.9s	remaining: 40.5s
245:	test: 0.7886208	best: 0.7886208 (245)	total: 39.1s	remaining: 40.3s
246:	test: 0.7887671	best: 0.7887671 (246)	total: 39.2s	remaining: 40.2s
247:	test: 0.7888288	best: 0.7888288 (247)	total: 39.3s	remaining: 40s
248:	test: 0.7889075	best: 0.7889075 (248)	total: 39.5s	remaining: 39.8s
249:	test: 0.7890680	best: 0.7890680 (249)	total: 39.6s	remaining: 39.6s
250:	test: 0.7890089	best: 0.7890680 (249)	total: 39.7s	remaining: 39.4s
251:	test: 0.7891589	best: 0.7891589 (251)	total: 39.9s	remaining: 39.2s
252:	test: 0.7890964	best: 0.7891589 (251)	total: 40s	remaining: 39.1s
253:	test: 0.7891121	best: 0.7891589 (251)	total: 40.2s	remaining: 38.9s
254:	test: 0.7889124	best: 0.7891589 (251)	total: 40.3s	remaining: 38.7s
255:	test: 0.7888936	best: 0.7891589 (251)	total: 40.4s	remaining: 38.5s
256:	test: 0.7889180	best: 0.7891589 (251)	total: 40.6s	remaining: 38.4s
257:	test: 0.7889282	best: 0.7891589 (251)	total: 40.7s	remaining: 38.2s
258:	test: 0.7890424	best: 0.7891589 (251)	total: 40.8s	remaining: 38s
259:	test: 0.7889736	best: 0.7891589 (251)	total: 41s	remaining: 37.8s
260:	test: 0.7888315	best: 0.7891589 (251)	total: 41.1s	remaining: 37.6s
261:	test: 0.7888315	best: 0.7891589 (251)	total: 41.2s	remaining: 37.5s
262:	test: 0.7888772	best: 0.7891589 (251)	total: 41.4s	remaining: 37.3s
263:	test: 0.7889208	best: 0.7891589 (251)	total: 41.5s	remaining: 37.1s
264:	test: 0.7889571	best: 0.7891589 (251)	total: 41.6s	remaining: 36.9s
265:	test: 0.7890956	best: 0.7891589 (251)	total: 41.8s	remaining: 36.8s
266:	test: 0.7892786	best: 0.7892786 (266)	total: 41.9s	remaining: 36.6s
267:	test: 0.7891723	best: 0.7892786 (266)	total: 42s	remaining: 36.4s
268:	test: 0.7891218	best: 0.7892786 (266)	total: 42.2s	remaining: 36.2s
269:	test: 0.7892366	best: 0.7892786 (266)	total: 42.3s	remaining: 36s
270:	test: 0.7892270	best: 0.7892786 (266)	total: 42.4s	remaining: 35.9s
271:	test: 0.7893942	best: 0.7893942 (271)	total: 42.6s	remaining: 35.7s
272:	test: 0.7894654	best: 0.7894654 (272)	total: 42.7s	remaining: 35.5s
273:	test: 0.7894585	best: 0.7894654 (272)	total: 42.8s	remaining: 35.3s
274:	test: 0.7895146	best: 0.7895146 (274)	total: 43s	remaining: 35.2s
275:	test: 0.7895665	best: 0.7895665 (275)	total: 43.1s	remaining: 35s
276:	test: 0.7894775	best: 0.7895665 (275)	total: 43.3s	remaining: 34.8s
277:	test: 0.7894577	best: 0.7895665 (275)	total: 43.4s	remaining: 34.7s
278:	test: 0.7893401	best: 0.7895665 (275)	total: 43.5s	remaining: 34.5s
279:	test: 0.7895388	best: 0.7895665 (275)	total: 43.7s	remaining: 34.3s
280:	test: 0.7894565	best: 0.7895665 (275)	total: 43.8s	remaining: 34.2s
281:	test: 0.7894091	best: 0.7895665 (275)	total: 44s	remaining: 34s
282:	test: 0.7894463	best: 0.7895665 (275)	total: 44.2s	remaining: 33.9s
283:	test: 0.7895262	best: 0.7895665 (275)	total: 44.3s	remaining: 33.7s
284:	test: 0.7897276	best: 0.7897276 (284)	total: 44.5s	remaining: 33.5s
285:	test: 0.7897837	best: 0.7897837 (285)	total: 44.6s	remaining: 33.4s
286:	test: 0.7896619	best: 0.7897837 (285)	total: 44.7s	remaining: 33.2s
287:	test: 0.7897467	best: 0.7897837 (285)	total: 44.9s	remaining: 33s
288:	test: 0.7896848	best: 0.7897837 (285)	total: 45s	remaining: 32.8s
289:	test: 0.7896188	best: 0.7897837 (285)	total: 45.1s	remaining: 32.7s
290:	test: 0.7897320	best: 0.7897837 (285)	total: 45.3s	remaining: 32.5s
291:	test: 0.7897426	best: 0.7897837 (285)	total: 45.4s	remaining: 32.3s
292:	test: 0.7898121	best: 0.7898121 (292)	total: 45.6s	remaining: 32.2s
293:	test: 0.7898579	best: 0.7898579 (293)	total: 45.7s	remaining: 32s
294:	test: 0.7898198	best: 0.7898579 (293)	total: 45.8s	remaining: 31.9s
295:	test: 0.7898969	best: 0.7898969 (295)	total: 46s	remaining: 31.7s
296:	test: 0.7899019	best: 0.7899019 (296)	total: 46.1s	remaining: 31.5s
297:	test: 0.7898671	best: 0.7899019 (296)	total: 46.2s	remaining: 31.3s
298:	test: 0.7899039	best: 0.7899039 (298)	total: 46.4s	remaining: 31.2s
299:	test: 0.7898730	best: 0.7899039 (298)	total: 46.5s	remaining: 31s
300:	test: 0.7898085	best: 0.7899039 (298)	total: 46.6s	remaining: 30.8s
301:	test: 0.7898735	best: 0.7899039 (298)	total: 46.8s	remaining: 30.7s
302:	test: 0.7898863	best: 0.7899039 (298)	total: 46.9s	remaining: 30.5s
303:	test: 0.7898839	best: 0.7899039 (298)	total: 47s	remaining: 30.3s
304:	test: 0.7899235	best: 0.7899235 (304)	total: 47.2s	remaining: 30.2s
